COUPLES,ENT
HNa,-626.89968904356
BH,-46.06278526494
HMg,-812.7273397545999
HN,-147.04039944856
BeH,-195.86889829286
HO,-230.52018508988
HLi,-104.5230564858
CH,-88.37503630682
HSi,-62.46686714356
HP,-99.18226254566
AlH,-36.66805986396
HS,-154.84610436411998
FH,-341.82166785522
ClH,-228.01807145114
BNa,-657.99077518084
MgNa,-1423.86690328222
NNa,-759.65176761092
BeNa,-807.16362601466
NaO,-843.5770425613999
LiNa,-714.87088775516
CNa,-700.0438693069
NaSi,-674.5449200514
NaP,-711.666959661
AlNa,-648.2512231334
NaS,-767.903665212
FNa,-955.45340596988
ClNa,-841.5446012986
BMg,-844.53124978496
BN,-180.52723019364
BBe,-227.62581229548
BO,-263.42835029074
BLi,-135.92349130880666
BC,-119.7977346339
BSi,-94.2230678017
BP,-131.32000833555998
AlB,-68.57199640002
BS,-187.00216537103333
BF,-373.0987420233
BCl,-259.4823584582
MgN,-946.2514067112
BeMg,-993.65560270054
MgO,-1031.63669912304
LiMg,-901.5335596404
CMg,-886.10728395218
MgSi,-860.7645198959
MgP,-897.7779874248399
AlMg,-834.56465249876
MgS,-954.73473844172
FMg,-1140.7476507694798
ClMg,-1026.77710861328
BeN,-329.36091648497995
NO,-361.88622107073337
LiN,-237.10348332364
CN,-220.64237774254
NSi,-196.4361899861733
NP,-232.3181496972
AlN,-171.20362513182
NS,-286.87235238022004
FN,-472.2892871036
ClN,-359.5701521553
BeO,-414.37249336292
BeLi,-284.95919594018
BeC,-269.43783779336
BeSi,-243.94689791072
BeP,-280.59750561208
AlBe,-217.90618651822
BeS,-337.1473473612
BeF,-523.3252899705001
BeCl,-409.44246068756
LiO,-321.00422891326
CO,-304.09470431304
OSi,-279.82312934674
OP,-315.7832668178
AlO,-254.86555620142
OS,-370.8302988895
FO,-555.26143018694
ClO,-442.6434376665
CLi,-177.51171403346
LiSi,-152.25374466035998
LiP,-189.19934784964
AlLi,-125.94361902464
LiS,-245.2281438083
FLi,-432.95999336664
ClLi,-318.9693432548
CSi,-136.68669895676
CP,-172.8968686205
AlC,-110.28212839405998
CS,-228.20624248288
CF,-414.63691347432
CCl,-300.9350794643
PSi,-147.54631995584
AlSi,-84.86425713588
SSi,-203.4284853249
FSi,-389.88324526636
ClSi,-275.93912951733995
AlP,-121.74998355857998
PS,-239.82330743586
FP,-426.06095413288
ClP,-312.45440674092
AlS,-177.78207915366
AlF,-364.23860912458
AlCl,-250.350736742
FS,-481.0924082607
ClS,-367.99168708042
ClF,-553.4014594844999
