COUPLES,ENT
BNa,-657.9911059083599 
MgNa,-1423.8666288617599 
NNa,-759.6513620769399 
BeNa,-807.16357166736 
NaO,-843.5751569601599 
LiNa,-714.87153031028 
CNa,-700.04496709822 
BMg,-844.5314877292 
BN,-180.52723081924 
BBe,-227.62597050427996 
BO,-263.4280666556 
BLi,-135.92344253274666 
BC,-119.79770681442 
MgN,-946.2527018905399 
BeMg,-993.6594473311201 
MgO,-1031.63669951404 
LiMg,-901.5321345548799 
NO,-361.88590448290665 
LiN,-237.07238967798003 
CN,-220.65430443231332 
BeO,-414.37249306916 
BeLi,-284.9594751288  
LiO,-321.00332208531995 
CO,-304.09447305558 
CLi,-177.51180882274 
CMg,-886.06439346592 
BeC,-269.21954422906 
BeN,-329.22268852788 
