Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,184,Heredity,2,2,-452.095,-226.047,12
4,137,keptBest,1,1,-225.726,-225.726,2
7,246,keptBest,1,1,-225.726,-225.726,2
6,211,keptBest,1,1,-225.726,-225.726,2
5,167,keptBest,1,1,-225.726,-225.726,2
3,103,RandTop,1,1,-225.726,-225.726,2
5,173,Random,1,1,-225.699,-225.699,2
7,240,Heredity,1,1,-225.69,-225.69,71
4,135,Random,1,1,-225.69,-225.69,71
2,53,Heredity,1,1,-225.69,-225.69,71
2,56,Heredity,1,1,-225.69,-225.69,71
6,207,Heredity,1,1,-225.69,-225.69,71
2,67,Permutate,1,1,-225.69,-225.69,71
3,95,Heredity,1,1,-225.69,-225.69,71
7,241,Heredity,1,1,-225.69,-225.69,71
7,242,Heredity,1,1,-225.69,-225.69,71
5,169,Heredity,1,1,-225.69,-225.69,71
5,170,Heredity,1,1,-225.69,-225.69,71
7,245,Random,1,1,-225.69,-225.69,71
3,101,keptBest,1,1,-225.69,-225.69,71
4,136,Random,1,1,-225.689,-225.689,71
4,140,RandTop,1,1,-225.689,-225.689,71
3,96,Heredity,1,1,-225.689,-225.689,71
2,69,LatMutate,1,1,-225.689,-225.689,71
2,64,keptBest,1,1,-225.689,-225.689,71
6,206,Heredity,1,1,-225.689,-225.689,71
2,55,Heredity,1,1,-225.689,-225.689,71
5,177,LatMutate,1,1,-225.689,-225.689,71
3,100,Random,1,1,-225.689,-225.689,71
4,141,RandTop,1,1,-225.689,-225.689,71
4,142,RandTop,1,1,-225.689,-225.689,71
1,21,Random,1,1,-225.689,-225.689,71
1,20,Random,1,1,-225.689,-225.689,71
7,248,RandTop,1,1,-225.689,-225.689,71
7,247,RandTop,1,1,-225.689,-225.689,71
1,23,Random,1,1,-225.689,-225.689,71
3,102,RandTop,1,1,-225.688,-225.688,71
2,63,RandTop,1,1,-225.688,-225.688,71
4,139,RandTop,1,1,-225.688,-225.688,71
7,249,RandTop,1,1,-225.688,-225.688,71
4,133,Heredity,1,1,-225.688,-225.688,71
3,97,Heredity,1,1,-225.688,-225.688,71
1,14,Random,1,1,-225.688,-225.688,71
3,93,Heredity,1,1,-225.688,-225.688,71
3,94,Heredity,1,1,-225.688,-225.688,71
7,251,LatMutate,1,1,-225.688,-225.688,71
6,214,RandTop,1,1,-225.688,-225.688,71
6,215,RandTop,1,1,-225.688,-225.688,71
3,104,RandTop,1,1,-225.688,-225.688,71
5,174,RandTop,1,1,-225.687,-225.687,71
1,30,RandTop,1,1,-225.687,-225.687,71
2,66,RandTop,1,1,-225.687,-225.687,71
1,24,Random,1,1,-225.683,-225.683,71
3,106,LatMutate,1,1,-225.68,-225.68,71
5,172,Random,1,1,-225.68,-225.68,71
1,25,Random,1,1,-225.679,-225.679,71
1,17,Random,1,1,-225.679,-225.679,71
3,105,RandTop,1,1,-225.679,-225.679,71
1,32,RandTop,1,1,-225.679,-225.679,71
3,98,Heredity,1,1,-225.678,-225.678,71
4,143,LatMutate,1,1,-225.678,-225.678,71
1,13,Random,1,1,-225.676,-225.676,71
1,18,Random,1,1,-225.675,-225.675,71
7,250,LatMutate,1,1,-225.672,-225.672,71
3,86,keptBest,2,2,-451.341,-225.67,107
6,196,keptBest,2,2,-451.341,-225.67,107
2,49,keptBest,2,2,-451.341,-225.67,107
7,232,keptBest,2,2,-451.341,-225.67,107
4,123,keptBest,2,2,-451.341,-225.67,107
5,159,keptBest,2,2,-451.341,-225.67,107
1,7,RandTop,2,2,-451.341,-225.67,107
1,29,RandTop,1,1,-225.666,-225.666,166
6,188,Random,2,2,-451.309,-225.654,71
2,43,LatMutate,2,2,-451.306,-225.653,71
2,38,Heredity,2,2,-451.306,-225.653,71
4,125,Random,2,2,-451.301,-225.65,12
2,62,Random,1,1,-225.645,-225.645,225
7,243,Random,1,1,-225.645,-225.645,225
6,213,Random,1,1,-225.642,-225.642,71
2,57,Heredity,1,1,-225.641,-225.641,71
6,208,Random,1,1,-225.641,-225.641,71
6,209,Random,1,1,-225.641,-225.641,71
5,178,LatMutate,1,1,-225.641,-225.641,71
2,58,Random,1,1,-225.641,-225.641,71
1,27,RandTop,1,1,-225.64,-225.64,71
3,80,Permutate,2,2,-451.281,-225.64,225
2,34,Heredity,2,2,-451.28,-225.64,225
2,54,Heredity,1,1,-225.639,-225.639,71
5,176,LatMutate,1,1,-225.639,-225.639,71
6,201,LatMutate,2,2,-451.272,-225.636,225
7,233,keptBest,2,2,-451.272,-225.636,225
5,161,keptBest,2,2,-451.271,-225.635,225
4,124,keptBest,2,2,-451.271,-225.635,225
4,108,Heredity,2,2,-451.27,-225.635,225
7,219,Heredity,2,2,-451.27,-225.635,225
6,197,keptBest,2,2,-451.271,-225.635,225
3,70,Heredity,2,2,-451.271,-225.635,225
4,107,Heredity,2,2,-451.267,-225.634,225
5,148,Heredity,2,2,-451.267,-225.633,225
7,239,softmutate,2,2,-451.263,-225.632,71
3,90,softmutate,2,2,-451.262,-225.631,225
6,203,softmutate,2,2,-451.263,-225.631,71
1,5,Random,2,2,-451.245,-225.622,107
5,162,Random,2,2,-451.231,-225.615,12
1,4,Random,2,2,-451.228,-225.614,71
2,35,Heredity,2,2,-451.226,-225.613,71
5,146,Heredity,2,2,-451.226,-225.613,71
1,9,RandTop,2,2,-451.227,-225.613,71
1,3,Random,2,2,-451.226,-225.613,71
6,181,Heredity,2,2,-451.227,-225.613,71
1,10,RandTop,2,2,-451.226,-225.613,71
4,132,softmutate,2,2,-451.226,-225.613,71
7,225,Random,2,2,-451.217,-225.609,71
5,155,Permutate,2,2,-451.215,-225.608,71
5,156,Permutate,2,2,-451.215,-225.608,71
4,115,Random,2,2,-451.215,-225.607,71
1,1,Random,2,2,-451.204,-225.602,107
5,175,RandTop,1,1,-225.593,-225.593,166
2,65,RandTop,1,1,-225.591,-225.591,12
5,160,Random,2,2,-451.151,-225.576,225
4,128,LatMutate,2,2,-451.136,-225.568,71
6,200,LatMutate,2,2,-451.135,-225.568,71
7,237,softmutate,2,2,-451.133,-225.566,71
4,119,RandTop,2,2,-451.119,-225.56,194
5,163,keptBest,2,2,-451.119,-225.56,194
6,198,keptBest,2,2,-451.119,-225.56,194
7,234,keptBest,2,2,-451.119,-225.56,194
5,145,Heredity,2,2,-451.117,-225.558,194
4,126,keptBest,2,2,-451.115,-225.558,194
3,87,keptBest,2,2,-451.115,-225.558,194
2,39,Heredity,2,2,-451.115,-225.558,194
5,164,LatMutate,2,2,-451.114,-225.557,194
6,179,Heredity,2,2,-451.111,-225.556,12
5,149,Heredity,2,2,-451.111,-225.556,12
2,47,softmutate,2,2,-451.11,-225.555,12
6,191,RandTop,2,2,-451.105,-225.553,2
3,88,keptBest,2,2,-451.0,-225.5,11
1,12,RandTop,2,2,-451.0,-225.5,11
2,50,keptBest,2,2,-451.0,-225.5,11
2,44,softmutate,2,2,-450.997,-225.499,11
4,118,RandTop,2,2,-450.997,-225.498,11
7,216,Heredity,2,2,-450.992,-225.496,12
7,238,softmutate,2,2,-450.988,-225.494,11
7,222,Random,2,2,-450.973,-225.487,194
2,33,Heredity,2,2,-450.959,-225.48,12
7,220,Heredity,2,2,-450.959,-225.48,12
3,82,LatMutate,2,2,-450.96,-225.48,12
4,130,softmutate,2,2,-450.959,-225.48,12
6,202,softmutate,2,2,-450.961,-225.48,63
4,110,Heredity,2,2,-450.959,-225.48,12
2,40,RandTop,2,2,-450.961,-225.48,63
5,147,Heredity,2,2,-450.96,-225.48,12
2,51,softmutate,2,2,-450.959,-225.48,12
6,189,Random,2,2,-450.961,-225.48,12
7,227,Permutate,2,2,-450.961,-225.48,12
6,194,Permutate,2,2,-450.96,-225.48,12
6,192,Permutate,2,2,-450.96,-225.48,12
6,190,Random,2,2,-450.961,-225.48,12
2,46,softmutate,2,2,-450.958,-225.479,12
2,45,softmutate,2,2,-450.959,-225.479,12
7,217,Heredity,2,2,-450.959,-225.479,12
7,218,Heredity,2,2,-450.959,-225.479,12
6,180,Heredity,2,2,-450.958,-225.479,12
4,138,softmutate,2,2,-450.958,-225.479,12
3,72,Heredity,2,2,-450.958,-225.479,12
2,52,softmutate,2,2,-450.958,-225.479,12
3,73,Heredity,2,2,-450.958,-225.479,12
3,91,softmutate,2,2,-450.959,-225.479,12
5,144,Heredity,2,2,-450.959,-225.479,12
4,131,softmutate,2,2,-450.959,-225.479,12
5,150,Heredity,2,2,-450.959,-225.479,12
5,151,Heredity,2,2,-450.959,-225.479,12
7,229,LatMutate,2,2,-450.958,-225.479,12
3,83,softmutate,2,2,-450.958,-225.479,12
4,112,Heredity,2,2,-450.959,-225.479,12
4,114,Heredity,2,2,-450.959,-225.479,12
5,166,softmutate,2,2,-450.958,-225.479,63
4,111,Heredity,2,2,-450.959,-225.479,12
7,226,Permutate,2,2,-450.958,-225.479,12
4,109,Heredity,2,2,-450.958,-225.479,12
7,221,Heredity,2,2,-450.959,-225.479,12
3,92,softmutate,2,2,-450.959,-225.479,12
5,165,LatMutate,2,2,-450.958,-225.479,12
3,71,Heredity,2,2,-450.959,-225.479,12
7,228,Permutate,2,2,-450.957,-225.478,12
5,152,Random,2,2,-450.957,-225.478,12
7,236,softmutate,2,2,-450.954,-225.477,12
7,252,softmutate,2,2,-450.951,-225.476,12
4,120,Permutate,2,2,-450.952,-225.476,12
6,187,Random,2,2,-450.938,-225.469,187
5,168,softmutate,2,2,-450.924,-225.462,12
3,89,Random,2,2,-450.908,-225.454,12
3,77,Random,2,2,-450.888,-225.444,11
7,223,Random,2,2,-450.887,-225.444,11
5,153,Random,2,2,-450.886,-225.443,11
6,186,Random,2,2,-450.887,-225.443,11
6,205,softmutate,2,2,-450.857,-225.429,1
4,113,Heredity,2,2,-450.825,-225.412,160
6,193,Permutate,2,2,-450.788,-225.394,12
7,230,softmutate,2,2,-450.773,-225.386,2
3,76,Random,2,2,-450.712,-225.356,10
4,121,Permutate,2,2,-450.63,-225.315,123
5,154,RandTop,2,2,-450.631,-225.315,123
2,41,RandTop,2,2,-450.587,-225.293,65
3,75,Heredity,2,2,-450.523,-225.262,47
3,74,Heredity,2,2,-450.524,-225.262,47
4,127,Permutate,2,2,-450.524,-225.262,47
2,42,Permutate,2,2,-450.461,-225.23,12
4,116,Random,2,2,-450.431,-225.215,12
3,81,Permutate,2,2,-450.42,-225.21,2
2,68,keptBest,1,1,-225.198,-225.198,44
1,26,Random,1,1,-225.198,-225.198,44
1,31,RandTop,1,1,-225.191,-225.191,38
5,171,Random,1,1,-225.19,-225.19,38
1,11,RandTop,2,2,-450.346,-225.173,25
3,79,RandTop,2,2,-450.326,-225.163,2
7,235,RandTop,2,2,-450.268,-225.134,2
4,129,LatMutate,2,2,-450.264,-225.132,2
4,117,RandTop,2,2,-450.207,-225.103,11
1,8,RandTop,2,2,-450.176,-225.088,12
1,2,Random,2,2,-450.176,-225.088,12
2,36,Heredity,2,2,-450.168,-225.084,2
2,37,Heredity,2,2,-450.167,-225.083,2
3,78,RandTop,2,2,-450.14,-225.07,47
6,210,Random,1,1,-225.058,-225.058,38
2,61,Random,1,1,-225.058,-225.058,38
3,99,Random,1,1,-225.058,-225.058,38
6,212,Random,1,1,-225.058,-225.058,38
6,204,softmutate,2,2,-450.112,-225.056,2
6,199,LatMutate,2,2,-450.037,-225.019,38
2,60,Random,1,1,-225.012,-225.012,38
7,244,Random,1,1,-225.011,-225.011,38
1,19,Random,1,1,-225.011,-225.011,38
1,28,RandTop,1,1,-225.011,-225.011,38
2,59,Random,1,1,-225.011,-225.011,38
4,134,Random,1,1,-225.011,-225.011,38
1,22,Random,1,1,-225.01,-225.01,38
1,6,Random,2,2,-449.834,-224.917,38
7,224,Random,2,2,-449.798,-224.899,5
