Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
1,3,RandTop,2,2,-1018.363,-509.182,59
5,171,softmutate,2,2,-1017.904,-508.952,8
4,124,keptBest,2,2,-1017.899,-508.949,8
3,83,keptBest,2,2,-1017.899,-508.949,8
2,52,softmutate,2,2,-1017.899,-508.949,8
5,160,keptBest,2,2,-1017.899,-508.949,8
5,150,Heredity,2,2,-1017.884,-508.942,160
2,48,RandTop,2,2,-1017.856,-508.928,6
3,89,softmutate,2,2,-1017.838,-508.919,12
5,167,Permutate,2,2,-1017.785,-508.893,164
4,114,Heredity,2,2,-1017.785,-508.892,164
3,71,Heredity,2,2,-1017.784,-508.892,164
5,168,Permutate,2,2,-1017.775,-508.888,166
2,60,softmutate,2,2,-1017.769,-508.885,166
2,42,softmutate,2,2,-1017.769,-508.885,166
5,170,softmutate,2,2,-1017.568,-508.784,12
3,85,keptBest,2,2,-1017.557,-508.778,12
5,161,keptBest,2,2,-1017.557,-508.778,12
4,125,keptBest,2,2,-1017.557,-508.778,12
2,35,Heredity,2,2,-1017.557,-508.778,12
5,149,Heredity,2,2,-1017.439,-508.72,2
5,152,Heredity,2,2,-1017.395,-508.698,129
5,162,keptBest,2,2,-1017.396,-508.698,129
3,91,softmutate,2,2,-1017.396,-508.698,129
3,92,softmutate,2,2,-1017.395,-508.698,129
4,126,keptBest,2,2,-1017.396,-508.698,129
3,78,LatMutate,2,2,-1017.394,-508.697,129
4,111,Heredity,2,2,-1017.394,-508.697,129
3,90,softmutate,2,2,-1017.393,-508.697,129
4,134,softmutate,2,2,-1017.394,-508.697,129
4,117,Random,2,2,-1017.391,-508.696,129
5,172,softmutate,2,2,-1017.391,-508.696,129
3,69,Heredity,2,2,-1017.393,-508.696,129
3,93,softmutate,2,2,-1017.392,-508.696,129
3,70,Heredity,2,2,-1017.393,-508.696,129
5,144,Heredity,2,2,-1017.391,-508.695,129
5,146,Heredity,2,2,-1017.39,-508.695,129
4,127,keptBest,2,2,-1017.36,-508.68,2
5,163,keptBest,2,2,-1017.36,-508.68,2
3,88,softmutate,2,2,-1017.36,-508.68,2
2,33,Heredity,2,2,-1017.354,-508.677,2
3,86,keptBest,2,2,-1017.354,-508.677,2
2,43,softmutate,2,2,-1017.265,-508.632,2
5,169,softmutate,2,2,-1017.264,-508.632,2
5,174,LatMutate,2,2,-1017.113,-508.556,1
4,140,Random,1,1,-508.548,-508.548,6
4,108,Heredity,2,2,-1017.09,-508.545,11
2,45,keptBest,2,2,-1017.088,-508.544,11
1,10,RandTop,2,2,-1017.088,-508.544,11
3,97,keptBest,1,1,-508.542,-508.542,38
2,64,Random,1,1,-508.542,-508.542,38
4,137,LatMutate,2,2,-1017.076,-508.538,20
3,74,Heredity,2,2,-1017.074,-508.537,20
4,122,Random,2,2,-1017.074,-508.537,20
1,7,Random,2,2,-1017.071,-508.535,20
5,173,LatMutate,2,2,-1017.066,-508.533,5
2,40,LatMutate,2,2,-1017.066,-508.533,2
3,81,Heredity,2,2,-1017.051,-508.526,5
3,80,softmutate,2,2,-1016.975,-508.487,65
5,176,Random,1,1,-508.486,-508.486,1
4,132,LatMutate,2,2,-1016.968,-508.484,65
2,34,Heredity,2,2,-1016.965,-508.483,65
3,76,RandTop,2,2,-1016.966,-508.483,194
2,49,RandTop,2,2,-1016.963,-508.481,65
5,145,Heredity,2,2,-1016.963,-508.481,65
1,16,Random,1,1,-508.478,-508.478,65
2,59,keptBest,1,1,-508.478,-508.478,65
4,112,Heredity,2,2,-1016.938,-508.469,5
5,177,Random,1,1,-508.469,-508.469,38
4,135,Permutate,2,2,-1016.938,-508.469,1
1,27,Random,1,1,-508.469,-508.469,1
3,101,Random,1,1,-508.458,-508.458,38
2,50,RandTop,2,2,-1016.908,-508.454,8
1,6,Random,2,2,-1016.905,-508.453,12
1,19,Random,1,1,-508.451,-508.451,8
5,180,LatMutate,1,1,-508.444,-508.444,38
3,99,Random,1,1,-508.433,-508.433,38
4,141,RandTop,1,1,-508.427,-508.427,187
1,17,Random,1,1,-508.427,-508.427,187
2,68,LatMutate,1,1,-508.427,-508.427,187
1,18,Random,1,1,-508.427,-508.427,187
3,103,RandTop,1,1,-508.426,-508.426,187
1,28,RandTop,1,1,-508.426,-508.426,187
1,26,RandTop,1,1,-508.426,-508.426,187
1,24,RandTop,1,1,-508.426,-508.426,187
3,105,Permutate,1,1,-508.426,-508.426,187
3,102,Random,1,1,-508.426,-508.426,187
2,65,Random,1,1,-508.426,-508.426,187
4,143,softmutate,1,1,-508.426,-508.426,187
3,100,Random,1,1,-508.426,-508.426,187
1,13,Random,1,1,-508.426,-508.426,187
5,178,Random,1,1,-508.426,-508.426,187
4,139,Random,1,1,-508.426,-508.426,187
