Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,157,keptBest,2,2,-516.315,-258.158,123
2,47,keptBest,2,2,-516.262,-258.131,1
4,115,Permutate,2,2,-516.246,-258.123,227
3,88,keptBest,2,2,-516.2,-258.1,65
4,107,Heredity,2,2,-516.117,-258.059,11
4,110,Heredity,2,2,-516.111,-258.055,129
2,35,Heredity,2,2,-515.909,-257.955,59
2,32,Heredity,2,2,-515.908,-257.954,59
3,74,Heredity,2,2,-515.906,-257.953,59
5,168,softmutate,2,2,-515.906,-257.953,59
1,18,Random,1,1,-257.953,-257.953,221
5,143,Heredity,2,2,-515.891,-257.946,156
5,145,Heredity,2,2,-515.891,-257.945,156
5,165,softmutate,2,2,-515.885,-257.943,59
5,156,Heredity,3,3,-773.829,-257.943,38
5,153,Permutate,2,2,-515.884,-257.942,129
5,142,Heredity,2,2,-515.879,-257.939,129
3,93,LatMutate,2,2,-515.877,-257.939,156
4,116,Permutate,2,2,-515.874,-257.937,129
2,60,LatMutate,2,2,-515.847,-257.923,1
2,62,Heredity,1,1,-257.921,-257.921,221
4,119,LatMutate,2,2,-515.843,-257.921,12
5,161,LatMutate,2,2,-515.839,-257.919,12
2,52,softmutate,2,2,-515.786,-257.893,129
1,2,Random,2,2,-515.742,-257.871,2
1,6,Random,2,2,-513.8,-256.9,63
