Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
1,1,Random,2,2,-486.554,-243.277,139
4,88,keptBest,2,2,-486.075,-243.037,12
5,109,keptBest,2,2,-486.075,-243.037,12
3,62,LatMutate,2,2,-486.075,-243.037,12
4,76,Heredity,2,2,-486.075,-243.037,12
5,100,RandTop,2,2,-486.056,-243.028,51
5,110,keptBest,2,2,-486.055,-243.028,51
4,89,keptBest,2,2,-486.055,-243.028,51
3,56,Random,2,2,-486.055,-243.028,51
4,81,RandTop,2,2,-486.055,-243.027,51
3,67,keptBest,2,2,-486.054,-243.027,51
1,13,RandTop,2,2,-486.054,-243.027,51
2,43,keptBest,2,2,-486.054,-243.027,51
3,68,keptBest,2,2,-486.051,-243.026,12
3,65,softmutate,2,2,-486.052,-243.026,51
2,34,Heredity,2,2,-486.051,-243.026,12
4,85,LatMutate,2,2,-486.051,-243.026,51
1,10,RandTop,2,2,-486.05,-243.025,51
1,3,Random,2,2,-486.024,-243.012,12
1,2,Random,2,2,-486.024,-243.012,12
2,44,keptBest,2,2,-486.024,-243.012,12
3,61,LatMutate,2,2,-486.022,-243.011,12
5,102,Permutate,2,2,-486.02,-243.01,2
4,78,Random,2,2,-486.02,-243.01,2
3,54,Heredity,2,2,-486.012,-243.006,2
3,55,Heredity,2,2,-486.011,-243.006,2
5,94,Heredity,2,2,-486.011,-243.006,2
5,104,LatMutate,2,2,-486.013,-243.006,2
5,105,softmutate,2,2,-486.012,-243.006,2
4,73,Heredity,2,2,-486.008,-243.004,2
1,8,Random,2,2,-486.005,-243.003,8
5,101,Permutate,2,2,-485.98,-242.99,8
1,6,Random,2,2,-485.979,-242.99,8
3,57,Random,2,2,-485.979,-242.99,8
3,52,Heredity,2,2,-485.978,-242.989,8
3,51,Heredity,2,2,-485.978,-242.989,8
5,96,Heredity,2,2,-485.978,-242.989,8
5,97,Heredity,2,2,-485.978,-242.989,8
4,75,Heredity,2,2,-485.978,-242.989,8
2,31,Heredity,2,2,-485.978,-242.989,8
5,107,softmutate,2,2,-485.978,-242.989,8
5,106,softmutate,2,2,-485.978,-242.989,8
2,32,Heredity,2,2,-485.977,-242.989,8
4,77,Heredity,2,2,-485.977,-242.989,8
2,40,softmutate,2,2,-485.972,-242.986,166
2,33,Heredity,2,2,-485.934,-242.967,5
4,79,Random,2,2,-485.933,-242.967,5
5,114,RandTop,1,1,-242.96,-242.96,44
1,5,Random,2,2,-485.904,-242.952,8
5,111,Random,1,1,-242.944,-242.944,44
4,92,LatMutate,1,1,-242.944,-242.944,44
5,115,LatMutate,1,1,-242.944,-242.944,44
2,50,Permutate,1,1,-242.944,-242.944,44
1,14,Random,1,1,-242.944,-242.944,44
1,27,RandTop,1,1,-242.944,-242.944,44
2,46,Heredity,1,1,-242.944,-242.944,44
2,45,Heredity,1,1,-242.944,-242.944,44
1,22,Random,1,1,-242.943,-242.943,44
2,47,Random,1,1,-242.943,-242.943,44
3,70,Random,1,1,-242.943,-242.943,44
3,71,RandTop,1,1,-242.943,-242.943,44
1,19,Random,1,1,-242.943,-242.943,44
1,20,Random,1,1,-242.942,-242.942,44
5,103,Permutate,2,2,-485.88,-242.94,69
4,83,Permutate,2,2,-485.881,-242.94,69
4,86,softmutate,2,2,-485.848,-242.924,44
2,39,LatMutate,2,2,-485.814,-242.907,2
5,98,Heredity,2,2,-485.789,-242.895,2
1,4,Random,2,2,-485.774,-242.887,44
3,59,Permutate,2,2,-485.688,-242.844,44
1,18,Random,1,1,-242.838,-242.838,44
4,84,Permutate,2,2,-485.671,-242.836,44
3,60,Permutate,2,2,-485.615,-242.807,1
1,16,Random,1,1,-242.786,-242.786,44
2,38,Permutate,2,2,-485.538,-242.769,1
4,82,Permutate,2,2,-485.521,-242.761,1
4,91,Random,1,1,-242.749,-242.749,44
2,30,Heredity,2,2,-485.463,-242.731,5
3,64,softmutate,2,2,-485.461,-242.73,5
5,93,Heredity,2,2,-485.381,-242.69,2
5,99,Random,2,2,-485.267,-242.633,12
2,41,softmutate,2,2,-485.263,-242.631,12
2,36,Random,2,2,-485.254,-242.627,65
2,37,RandTop,2,2,-485.026,-242.513,11
3,58,RandTop,2,2,-484.932,-242.466,15
4,74,Heredity,2,2,-484.912,-242.456,1
1,11,RandTop,2,2,-481.959,-240.979,225
1,15,Random,1,1,-240.911,-240.911,225
5,113,Random,1,1,-240.903,-240.903,225
3,53,Heredity,2,2,-481.746,-240.873,139
3,63,softmutate,2,2,-481.744,-240.872,139
2,35,Heredity,2,2,-481.737,-240.868,12
1,21,Random,1,1,-240.495,-240.495,65
1,17,Random,1,1,-240.384,-240.384,123
1,29,RandTop,1,1,-240.377,-240.377,123
4,90,Heredity,1,1,-240.375,-240.375,65
2,49,RandTop,1,1,-240.365,-240.365,65
1,23,RandTop,1,1,-240.365,-240.365,65
1,25,RandTop,1,1,-240.363,-240.363,123
4,80,RandTop,2,2,-480.724,-240.362,123
5,112,Random,1,1,-240.353,-240.353,123
3,69,Heredity,1,1,-240.296,-240.296,123
2,48,Random,1,1,-240.203,-240.203,12
1,26,RandTop,1,1,-240.202,-240.202,12
1,24,RandTop,1,1,-240.202,-240.202,12
1,28,RandTop,1,1,-240.202,-240.202,12
1,12,RandTop,2,2,-480.336,-240.168,65
1,9,RandTop,2,2,-480.269,-240.135,123
