Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
8,273,keptBest,2,2,-1051.159,-525.579,15
4,122,keptBest,2,2,-1050.746,-525.373,12
5,162,keptBest,2,2,-1050.746,-525.373,12
2,46,keptBest,2,2,-1050.746,-525.373,12
1,10,Random,2,2,-1050.746,-525.373,12
3,87,keptBest,2,2,-1050.746,-525.373,12
7,232,Heredity,2,2,-1050.743,-525.372,12
8,267,Heredity,2,2,-1050.744,-525.372,12
4,111,Heredity,2,2,-1050.744,-525.372,12
2,58,softmutate,2,2,-1050.743,-525.371,12
8,284,softmutate,2,2,-1050.741,-525.371,12
4,114,Heredity,2,2,-1050.742,-525.371,12
6,205,Permutate,2,2,-1050.743,-525.371,12
4,118,Permutate,2,2,-1050.741,-525.37,12
9,311,keptBest,2,2,-1050.658,-525.329,12
7,249,softmutate,2,2,-1050.658,-525.329,12
8,274,keptBest,2,2,-1050.658,-525.329,12
6,207,LatMutate,2,2,-1050.631,-525.316,2
4,108,Heredity,2,2,-1050.615,-525.308,12
6,211,LatMutate,2,2,-1050.572,-525.286,12
3,80,Heredity,2,2,-1050.564,-525.282,63
5,163,keptBest,2,2,-1050.542,-525.271,166
7,237,keptBest,2,2,-1050.542,-525.271,166
9,312,keptBest,2,2,-1050.542,-525.271,166
8,275,keptBest,2,2,-1050.542,-525.271,166
6,200,keptBest,2,2,-1050.542,-525.271,166
2,38,Heredity,2,2,-1050.542,-525.271,166
4,123,keptBest,2,2,-1050.542,-525.271,166
3,88,keptBest,2,2,-1050.542,-525.271,166
7,226,Heredity,2,2,-1050.541,-525.27,166
8,286,LatMutate,2,2,-1050.54,-525.27,166
2,42,Heredity,2,2,-1050.54,-525.27,166
9,319,softmutate,2,2,-1050.538,-525.269,166
4,132,softmutate,2,2,-1050.538,-525.269,166
7,248,softmutate,2,2,-1050.539,-525.269,166
7,224,Heredity,2,2,-1050.492,-525.246,12
6,186,Heredity,2,2,-1050.474,-525.237,164
3,102,softmutate,2,2,-1050.47,-525.235,164
2,47,keptBest,2,2,-1050.471,-525.235,164
1,8,RandTop,2,2,-1050.471,-525.235,164
5,172,softmutate,2,2,-1050.458,-525.229,12
5,175,softmutate,2,2,-1050.444,-525.222,12
8,272,Random,2,2,-1050.442,-525.221,12
3,71,Heredity,2,2,-1050.439,-525.219,12
6,201,keptBest,2,2,-1050.333,-525.167,25
8,276,keptBest,2,2,-1050.333,-525.167,25
5,164,keptBest,2,2,-1050.333,-525.167,25
9,313,keptBest,2,2,-1050.333,-525.167,25
7,238,keptBest,2,2,-1050.333,-525.167,25
4,127,keptBest,2,2,-1050.333,-525.167,25
3,92,RandTop,2,2,-1050.333,-525.167,25
6,202,keptBest,2,2,-1050.318,-525.159,12
7,220,Heredity,2,2,-1050.318,-525.159,12
