Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,124,keptBest,2,2,-1501.384,-750.692,2
4,114,Heredity,2,2,-1500.945,-750.472,2
4,108,Heredity,2,2,-1500.934,-750.467,2
3,75,Heredity,2,2,-1500.867,-750.433,2
3,87,keptBest,2,2,-1500.803,-750.402,63
1,2,Random,2,2,-1500.803,-750.402,63
5,172,keptBest,2,2,-1500.803,-750.402,63
4,125,keptBest,2,2,-1500.803,-750.402,63
2,48,keptBest,2,2,-1500.803,-750.402,63
4,111,Heredity,2,2,-1500.801,-750.401,2
5,163,RandTop,2,2,-1500.792,-750.396,63
1,17,RandTop,2,2,-1500.788,-750.394,63
5,170,softmutate,2,2,-1500.772,-750.386,2
1,12,RandTop,2,2,-1500.77,-750.385,63
3,85,Random,2,2,-1500.758,-750.379,63
2,41,Random,2,2,-1500.731,-750.366,63
2,44,LatMutate,2,2,-1500.725,-750.363,63
4,123,Permutate,2,2,-1500.665,-750.333,12
5,179,softmutate,2,2,-1500.667,-750.333,12
1,7,Random,2,2,-1500.652,-750.326,46
4,126,keptBest,2,2,-1500.652,-750.326,46
2,49,keptBest,2,2,-1500.652,-750.326,46
5,153,Heredity,2,2,-1500.651,-750.326,63
3,88,keptBest,2,2,-1500.652,-750.326,46
5,173,keptBest,2,2,-1500.652,-750.326,46
5,164,Permutate,2,2,-1500.65,-750.325,12
1,1,Random,2,2,-1500.636,-750.318,12
1,4,Random,2,2,-1500.637,-750.318,12
5,158,Random,2,2,-1500.628,-750.314,12
3,95,softmutate,2,2,-1500.605,-750.302,63
3,84,Random,2,2,-1500.567,-750.283,63
4,127,keptBest,2,2,-1500.567,-750.283,63
5,174,keptBest,2,2,-1500.567,-750.283,63
4,120,Random,2,2,-1500.558,-750.279,63
3,94,softmutate,2,2,-1500.551,-750.276,63
5,149,Heredity,2,2,-1500.532,-750.266,63
1,10,RandTop,2,2,-1500.527,-750.264,63
3,89,keptBest,2,2,-1500.527,-750.264,63
2,51,keptBest,2,2,-1500.527,-750.264,63
4,122,Permutate,2,2,-1500.518,-750.259,63
3,73,Heredity,2,2,-1500.509,-750.255,12
2,37,Heredity,2,2,-1500.471,-750.235,12
1,13,RandTop,2,2,-1500.456,-750.228,2
4,113,Heredity,2,2,-1500.439,-750.22,63
5,161,Random,2,2,-1500.428,-750.214,15
4,112,Heredity,2,2,-1500.399,-750.2,2
5,175,keptBest,2,2,-1500.399,-750.2,2
4,135,LatMutate,2,2,-1500.4,-750.2,2
5,147,Heredity,2,2,-1500.383,-750.192,2
2,58,softmutate,2,2,-1500.364,-750.182,2
4,110,Heredity,2,2,-1500.321,-750.161,2
5,167,LatMutate,2,2,-1500.318,-750.159,12
3,90,keptBest,2,2,-1500.234,-750.117,63
2,39,Heredity,2,2,-1500.234,-750.117,63
4,128,keptBest,2,2,-1500.234,-750.117,63
5,168,softmutate,2,2,-1500.234,-750.117,12
3,101,softmutate,2,2,-1500.216,-750.108,2
3,72,Heredity,2,2,-1500.214,-750.107,63
2,33,Heredity,2,2,-1500.207,-750.104,63
5,150,Heredity,2,2,-1500.197,-750.098,63
3,97,softmutate,2,2,-1500.189,-750.095,2
2,40,Heredity,2,2,-1500.183,-750.092,63
5,157,Heredity,2,2,-1500.175,-750.087,63
3,76,Heredity,2,2,-1500.165,-750.082,63
4,121,RandTop,2,2,-1500.159,-750.079,11
4,129,LatMutate,2,2,-1500.152,-750.076,2
5,156,Heredity,2,2,-1500.148,-750.074,11
4,119,Heredity,2,2,-1500.146,-750.073,15
3,81,Heredity,2,2,-1500.128,-750.064,2
5,155,Heredity,2,2,-1500.119,-750.06,15
3,70,Heredity,2,2,-1500.112,-750.056,15
2,62,softmutate,2,2,-1500.095,-750.047,2
4,116,Heredity,2,2,-1500.076,-750.038,15
2,56,softmutate,2,2,-1500.068,-750.034,11
3,82,Heredity,2,2,-1500.036,-750.018,2
3,98,softmutate,2,2,-1500.032,-750.016,2
5,146,Heredity,2,2,-1500.029,-750.015,2
5,152,Heredity,2,2,-1500.006,-750.003,15
4,117,Heredity,2,2,-1500.0,-750.0,2
5,148,Heredity,2,2,-1499.993,-749.996,15
4,133,softmutate,2,2,-1499.96,-749.98,63
5,145,Heredity,2,2,-1499.955,-749.978,15
3,71,Heredity,2,2,-1499.945,-749.972,2
2,46,Heredity,2,2,-1499.932,-749.966,2
3,83,Heredity,2,2,-1499.933,-749.966,2
2,54,LatMutate,2,2,-1499.916,-749.958,63
3,74,Heredity,2,2,-1499.914,-749.957,63
4,134,softmutate,2,2,-1499.894,-749.947,12
4,138,softmutate,2,2,-1499.843,-749.922,2
5,154,Heredity,2,2,-1499.798,-749.899,11
3,99,softmutate,2,2,-1499.787,-749.894,15
4,131,softmutate,2,2,-1499.77,-749.885,2
2,60,softmutate,2,2,-1499.685,-749.842,11
5,169,softmutate,2,2,-1499.671,-749.836,2
3,104,softmutate,2,2,-1499.607,-749.804,2
4,137,softmutate,2,2,-1499.587,-749.793,2
4,136,softmutate,2,2,-1499.513,-749.757,2
2,50,RandTop,2,2,-1499.353,-749.677,2
1,5,Random,2,2,-1499.35,-749.675,8
1,15,RandTop,2,2,-1499.351,-749.675,44
2,52,keptBest,2,2,-1499.351,-749.675,44
3,78,Heredity,2,2,-1499.33,-749.665,2
2,57,softmutate,2,2,-1499.275,-749.638,1
5,180,softmutate,2,2,-1499.246,-749.623,2
1,14,Random,2,2,-1499.219,-749.61,44
3,93,LatMutate,2,2,-1499.196,-749.598,1
4,132,softmutate,2,2,-1499.113,-749.556,2
5,151,Heredity,2,2,-1498.448,-749.224,4
5,159,Random,2,2,-1497.81,-748.905,183
1,9,RandTop,2,2,-1497.789,-748.895,183
1,27,Random,1,1,-748.89,-748.89,183
1,22,Random,1,1,-748.883,-748.883,183
1,20,Random,1,1,-748.88,-748.88,183
1,16,RandTop,2,2,-1497.753,-748.877,183
4,142,RandTop,1,1,-748.876,-748.876,183
2,66,RandTop,1,1,-748.871,-748.871,183
2,65,RandTop,1,1,-748.862,-748.862,183
5,181,RandTop,1,1,-748.836,-748.836,183
3,106,RandTop,1,1,-748.835,-748.835,183
3,100,Permutate,2,2,-1497.665,-748.833,183
4,143,RandTop,1,1,-748.822,-748.822,183
5,165,Permutate,2,2,-1497.577,-748.789,191
1,29,RandTop,1,1,-748.778,-748.778,183
3,103,LatMutate,2,2,-1497.547,-748.774,46
3,105,Random,1,1,-748.761,-748.761,191
2,64,Random,1,1,-748.757,-748.757,191
2,68,RandTop,1,1,-748.721,-748.721,35
3,77,Heredity,2,2,-1497.398,-748.699,51
4,118,Heredity,2,2,-1497.37,-748.685,191
2,69,Permutate,1,1,-748.626,-748.626,25
1,30,RandTop,1,1,-748.625,-748.625,25
2,59,Heredity,1,1,-748.617,-748.617,25
1,19,Random,1,1,-748.615,-748.615,25
3,92,Permutate,2,2,-1497.227,-748.614,25
1,24,Random,1,1,-748.613,-748.613,25
4,141,Random,1,1,-748.61,-748.61,38
1,18,Random,1,1,-748.606,-748.606,6
1,26,Random,1,1,-748.596,-748.596,6
3,102,Random,1,1,-748.594,-748.594,25
3,107,RandTop,1,1,-748.591,-748.591,25
4,139,Random,1,1,-748.588,-748.588,25
1,32,RandTop,1,1,-748.582,-748.582,25
2,67,RandTop,1,1,-748.581,-748.581,25
1,28,RandTop,1,1,-748.579,-748.579,25
1,25,Random,1,1,-748.578,-748.578,6
1,31,RandTop,1,1,-748.56,-748.56,25
2,61,Random,1,1,-748.537,-748.537,25
2,63,Random,1,1,-748.522,-748.522,6
1,21,Random,1,1,-748.515,-748.515,1
4,140,Random,1,1,-748.513,-748.513,25
2,45,Heredity,2,2,-1497.02,-748.51,65
1,23,Random,1,1,-748.509,-748.509,6
5,178,softmutate,2,2,-1496.127,-748.064,12
