Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,111,Permutate,2,2,-3390.835,-1695.418,63
4,84,RandTop,2,2,-3389.935,-1694.968,11
5,115,keptBest,2,2,-3389.935,-1694.968,11
2,39,Random,2,2,-3389.783,-1694.891,11
4,81,Heredity,2,2,-3389.762,-1694.881,2
3,59,Heredity,2,2,-3389.752,-1694.876,11
3,58,Heredity,2,2,-3389.729,-1694.864,11
4,80,Heredity,2,2,-3389.701,-1694.85,2
5,116,keptBest,2,2,-3389.583,-1694.791,2
4,76,Heredity,2,2,-3389.583,-1694.791,2
5,99,Heredity,2,2,-3389.577,-1694.789,12
5,106,Heredity,2,2,-3389.564,-1694.782,11
5,105,Heredity,2,2,-3389.548,-1694.774,2
3,60,Random,2,2,-3389.502,-1694.751,11
5,104,Heredity,2,2,-3389.477,-1694.739,12
3,62,RandTop,2,2,-3389.463,-1694.732,194
4,92,keptBest,2,2,-3389.463,-1694.732,194
3,55,Heredity,2,2,-3389.459,-1694.729,12
3,56,Heredity,2,2,-3389.414,-1694.707,11
5,103,Heredity,2,2,-3389.409,-1694.704,12
5,100,Heredity,2,2,-3389.37,-1694.685,12
3,57,Heredity,2,2,-3389.367,-1694.683,2
2,36,Heredity,2,2,-3389.361,-1694.68,2
2,34,Heredity,2,2,-3389.349,-1694.675,2
2,47,softmutate,2,2,-3389.348,-1694.674,12
2,32,Heredity,2,2,-3389.341,-1694.67,2
5,102,Heredity,2,2,-3389.341,-1694.67,2
2,35,Heredity,2,2,-3389.34,-1694.67,2
2,38,Heredity,2,2,-3389.313,-1694.657,2
2,33,Heredity,2,2,-3389.298,-1694.649,2
3,66,Random,2,2,-3389.236,-1694.618,2
4,90,softmutate,2,2,-3389.23,-1694.615,2
4,75,Heredity,2,2,-3389.194,-1694.597,2
3,54,Heredity,2,2,-3389.098,-1694.549,2
5,98,Heredity,2,2,-3389.053,-1694.526,2
2,45,LatMutate,2,2,-3388.946,-1694.473,15
3,70,keptBest,2,2,-3388.946,-1694.473,15
4,77,Heredity,2,2,-3388.907,-1694.454,2
5,112,LatMutate,2,2,-3388.871,-1694.436,2
3,67,softmutate,2,2,-3388.871,-1694.435,2
4,85,Permutate,2,2,-3388.744,-1694.372,65
4,93,keptBest,2,2,-3388.722,-1694.361,65
2,49,keptBest,2,2,-3388.722,-1694.361,65
1,13,RandTop,2,2,-3388.722,-1694.361,65
3,71,keptBest,2,2,-3388.722,-1694.361,65
2,31,Heredity,2,2,-3388.706,-1694.353,11
2,40,Random,2,2,-3388.657,-1694.329,65
5,107,Heredity,2,2,-3388.63,-1694.315,2
4,79,Heredity,2,2,-3388.595,-1694.297,2
4,78,Heredity,2,2,-3388.537,-1694.269,11
4,86,Permutate,2,2,-3388.505,-1694.253,65
3,65,LatMutate,2,2,-3388.346,-1694.173,15
5,101,Heredity,2,2,-3388.311,-1694.156,2
4,89,softmutate,2,2,-3387.974,-1693.987,2
1,3,Random,2,2,-3387.836,-1693.918,47
2,50,keptBest,2,2,-3387.836,-1693.918,47
1,7,Random,2,2,-3387.827,-1693.914,47
1,5,Random,2,2,-3387.825,-1693.912,47
2,44,Random,2,2,-3387.816,-1693.908,47
1,16,Random,1,1,-1693.857,-1693.857,123
1,27,RandTop,1,1,-1693.853,-1693.853,123
1,12,RandTop,2,2,-3387.606,-1693.803,123
1,22,Random,1,1,-1693.803,-1693.803,123
1,20,Random,1,1,-1693.797,-1693.797,123
1,29,RandTop,1,1,-1693.787,-1693.787,123
4,97,Random,1,1,-1693.755,-1693.755,123
2,46,softmutate,2,2,-3387.504,-1693.752,12
1,21,Random,1,1,-1693.741,-1693.741,123
2,51,Random,1,1,-1693.738,-1693.738,123
5,119,RandTop,1,1,-1693.729,-1693.729,47
4,88,softmutate,2,2,-3387.458,-1693.729,2
3,72,Random,1,1,-1693.722,-1693.722,65
4,94,Random,1,1,-1693.661,-1693.661,65
5,113,softmutate,2,2,-3387.32,-1693.66,2
1,18,Random,1,1,-1693.643,-1693.643,47
1,15,Random,1,1,-1693.625,-1693.625,221
1,19,Random,1,1,-1693.625,-1693.625,221
1,23,RandTop,1,1,-1693.625,-1693.625,221
1,26,RandTop,1,1,-1693.625,-1693.625,221
1,24,RandTop,1,1,-1693.625,-1693.625,221
1,17,Random,1,1,-1693.624,-1693.624,221
2,52,RandTop,1,1,-1693.624,-1693.624,221
5,118,RandTop,1,1,-1693.623,-1693.623,221
3,74,RandTop,1,1,-1693.622,-1693.622,221
2,53,RandTop,1,1,-1693.618,-1693.618,221
4,95,Random,1,1,-1693.533,-1693.533,12
1,30,RandTop,1,1,-1693.526,-1693.526,10
3,73,Random,1,1,-1693.464,-1693.464,12
1,25,RandTop,1,1,-1693.423,-1693.423,12
1,28,RandTop,1,1,-1693.406,-1693.406,12
5,117,Random,1,1,-1693.346,-1693.346,12
1,14,Random,1,1,-1693.342,-1693.342,12
4,96,RandTop,1,1,-1693.302,-1693.302,166
3,68,softmutate,2,2,-3385.261,-1692.63,2
