Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
2,47,keptBest,2,2,-1062.007,-531.003,44
5,111,LatMutate,2,2,-1061.792,-530.896,160
3,61,Permutate,2,2,-1061.707,-530.853,164
2,44,LatMutate,2,2,-1061.574,-530.787,164
2,31,Heredity,2,2,-1061.566,-530.783,164
2,34,Heredity,2,2,-1061.333,-530.666,44
3,59,RandTop,2,2,-1060.956,-530.478,2
2,48,keptBest,2,2,-1060.884,-530.442,12
5,115,keptBest,2,2,-1060.884,-530.442,12
3,71,keptBest,2,2,-1060.884,-530.442,12
1,14,RandTop,2,2,-1060.884,-530.442,12
4,94,keptBest,2,2,-1060.884,-530.442,12
1,6,Random,2,2,-1060.881,-530.441,12
1,4,Random,2,2,-1060.88,-530.44,12
3,58,Random,2,2,-1060.877,-530.439,12
5,104,Heredity,2,2,-1060.783,-530.391,1
1,10,RandTop,2,2,-1060.737,-530.368,12
4,95,keptBest,2,2,-1060.737,-530.368,12
5,116,keptBest,2,2,-1060.737,-530.368,12
2,49,keptBest,2,2,-1060.737,-530.368,12
3,72,keptBest,2,2,-1060.737,-530.368,12
5,112,softmutate,2,2,-1060.725,-530.362,12
3,55,Heredity,2,2,-1060.718,-530.359,12
4,91,softmutate,2,2,-1060.697,-530.348,2
4,88,softmutate,2,2,-1060.692,-530.346,2
4,90,softmutate,2,2,-1060.62,-530.31,12
3,65,softmutate,2,2,-1060.607,-530.303,2
2,33,Heredity,2,2,-1060.52,-530.26,1
1,1,Random,2,2,-1060.505,-530.253,1
2,35,Heredity,2,2,-1060.487,-530.243,12
4,81,Heredity,2,2,-1060.485,-530.242,12
1,9,RandTop,2,2,-1060.274,-530.137,5
4,76,Heredity,2,2,-1060.174,-530.087,12
3,64,LatMutate,2,2,-1060.17,-530.085,12
3,53,Heredity,2,2,-1060.122,-530.061,12
2,46,softmutate,2,2,-1060.111,-530.056,9
1,13,RandTop,2,2,-1059.327,-529.663,38
2,40,RandTop,2,2,-1059.288,-529.644,1
2,38,Random,2,2,-1059.029,-529.515,22
2,42,Permutate,2,2,-1058.896,-529.448,12
4,84,Permutate,2,2,-1058.892,-529.446,12
5,108,RandTop,2,2,-1058.67,-529.335,44
4,87,LatMutate,2,2,-1058.274,-529.137,1
4,83,RandTop,2,2,-1057.331,-528.665,187
3,73,Random,1,1,-528.649,-528.649,187
1,21,Random,1,1,-528.648,-528.648,187
1,20,Random,1,1,-528.647,-528.647,38
1,27,RandTop,1,1,-528.647,-528.647,38
5,117,Random,1,1,-528.647,-528.647,38
1,17,Random,1,1,-528.645,-528.645,38
1,22,Random,1,1,-528.645,-528.645,38
2,51,RandTop,1,1,-528.644,-528.644,38
1,16,Random,1,1,-528.643,-528.643,38
1,19,Random,1,1,-528.643,-528.643,38
2,50,Heredity,1,1,-528.642,-528.642,38
4,96,Random,1,1,-528.642,-528.642,38
1,23,Random,1,1,-528.641,-528.641,187
1,15,Random,1,1,-528.639,-528.639,38
4,97,Random,1,1,-528.636,-528.636,38
1,18,Random,1,1,-528.623,-528.623,38
4,78,Heredity,2,2,-1057.168,-528.584,5
1,8,RandTop,2,2,-1056.315,-528.157,12
1,24,Random,1,1,-528.137,-528.137,191
3,75,RandTop,1,1,-528.053,-528.053,12
1,25,RandTop,1,1,-528.026,-528.026,191
1,28,RandTop,1,1,-528.013,-528.013,191
1,26,RandTop,1,1,-528.005,-528.005,12
3,74,Random,1,1,-527.944,-527.944,12
5,98,Heredity,2,2,-1055.023,-527.511,123
5,99,Heredity,2,2,-1054.89,-527.445,2
5,107,RandTop,2,2,-1053.213,-526.607,13
3,67,softmutate,2,2,-1053.072,-526.536,12
2,30,Heredity,2,2,-1052.402,-526.201,65
