Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
1,7,Random,2,2,-1085.335,-542.668,12
4,92,softmutate,2,2,-1084.91,-542.455,2
3,75,keptBest,2,2,-1084.898,-542.449,160
4,96,keptBest,2,2,-1084.898,-542.449,160
5,119,keptBest,2,2,-1084.898,-542.449,160
1,8,Random,2,2,-1084.898,-542.449,160
2,45,keptBest,2,2,-1084.898,-542.449,160
1,4,Random,2,2,-1084.896,-542.448,160
5,120,keptBest,2,2,-1084.826,-542.413,2
4,82,Heredity,2,2,-1084.826,-542.413,2
2,38,Heredity,2,2,-1084.787,-542.394,8
2,31,Heredity,2,2,-1084.774,-542.387,2
2,37,Heredity,2,2,-1084.773,-542.386,8
1,5,Random,2,2,-1084.725,-542.363,20
2,46,keptBest,2,2,-1084.725,-542.363,20
3,76,keptBest,2,2,-1084.725,-542.363,20
4,83,Heredity,2,2,-1084.714,-542.357,2
2,33,Heredity,2,2,-1084.693,-542.347,2
5,108,Random,2,2,-1084.674,-542.337,1
5,111,Permutate,2,2,-1084.651,-542.326,1
3,67,RandTop,2,2,-1084.647,-542.324,20
1,11,RandTop,2,2,-1084.63,-542.315,1
5,104,Heredity,2,2,-1084.604,-542.302,8
4,80,Heredity,2,2,-1084.582,-542.291,2
5,101,Heredity,2,2,-1084.581,-542.291,2
3,60,Heredity,2,2,-1084.542,-542.271,2
2,36,Heredity,2,2,-1084.527,-542.263,20
5,106,Heredity,2,2,-1084.516,-542.258,1
1,1,Random,2,2,-1084.511,-542.255,44
4,91,LatMutate,2,2,-1084.502,-542.251,2
5,110,RandTop,2,2,-1084.5,-542.25,22
2,41,Permutate,2,2,-1084.48,-542.24,11
2,42,softmutate,2,2,-1084.434,-542.217,8
2,39,Random,2,2,-1084.419,-542.209,1
5,114,LatMutate,2,2,-1084.417,-542.208,1
2,32,Heredity,2,2,-1084.366,-542.183,11
5,115,softmutate,2,2,-1084.202,-542.101,11
5,113,LatMutate,2,2,-1084.194,-542.097,8
4,87,RandTop,2,2,-1084.097,-542.048,15
1,10,RandTop,2,2,-1084.088,-542.044,47
5,117,softmutate,2,2,-1084.031,-542.016,2
3,62,Heredity,2,2,-1084.026,-542.013,1
4,77,Heredity,2,2,-1084.018,-542.009,2
5,116,softmutate,2,2,-1084.004,-542.002,12
3,66,RandTop,2,2,-1083.936,-541.968,2
4,86,RandTop,2,2,-1083.9,-541.95,1
3,64,Random,2,2,-1083.846,-541.923,8
3,72,softmutate,2,2,-1083.792,-541.896,12
3,73,softmutate,2,2,-1083.654,-541.827,12
1,3,Random,2,2,-1083.379,-541.689,12
4,78,Heredity,2,2,-1083.301,-541.651,12
1,17,Random,1,1,-541.514,-541.514,8
1,28,RandTop,1,1,-541.453,-541.453,8
2,51,Permutate,1,1,-541.419,-541.419,119
1,16,Random,1,1,-541.409,-541.409,119
4,98,RandTop,1,1,-541.351,-541.351,8
1,23,RandTop,1,1,-541.349,-541.349,8
1,15,Random,1,1,-541.349,-541.349,8
4,97,Random,1,1,-541.347,-541.347,8
1,30,RandTop,1,1,-541.347,-541.347,38
2,47,Random,1,1,-541.345,-541.345,8
2,52,LatMutate,1,1,-541.345,-541.345,8
1,27,RandTop,1,1,-541.331,-541.331,8
5,109,RandTop,2,2,-1082.638,-541.319,38
3,59,Heredity,2,2,-1082.591,-541.295,1
1,24,RandTop,1,1,-541.291,-541.291,119
1,12,RandTop,2,2,-1082.559,-541.279,44
2,40,RandTop,2,2,-1082.516,-541.258,12
1,13,Random,1,1,-541.253,-541.253,5
1,21,Random,1,1,-541.242,-541.242,5
2,53,LatMutate,1,1,-541.22,-541.22,5
2,49,RandTop,1,1,-541.165,-541.165,5
4,99,RandTop,1,1,-541.11,-541.11,2
1,14,Random,1,1,-541.1,-541.1,2
5,121,Random,1,1,-541.075,-541.075,1
1,20,Random,1,1,-541.071,-541.071,1
2,48,Random,1,1,-541.058,-541.058,2
1,19,Random,1,1,-541.057,-541.057,2
2,50,RandTop,1,1,-541.057,-541.057,2
1,25,RandTop,1,1,-541.057,-541.057,2
1,18,Random,1,1,-541.039,-541.039,12
1,26,RandTop,1,1,-541.011,-541.011,5
1,22,RandTop,1,1,-540.974,-540.974,12
1,9,RandTop,2,2,-1081.853,-540.926,63
1,29,RandTop,1,1,-540.884,-540.884,8
