Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
8,275,keptBest,2,2,-1651.44,-825.72,166
8,268,Random,2,2,-1651.289,-825.645,164
5,170,softmutate,2,2,-1651.022,-825.511,1
2,49,keptBest,2,2,-1650.946,-825.473,2
1,9,Random,2,2,-1650.946,-825.473,2
7,244,softmutate,2,2,-1650.947,-825.473,12
3,86,keptBest,2,2,-1650.946,-825.473,2
3,94,LatMutate,2,2,-1650.914,-825.457,12
7,223,Heredity,2,2,-1650.908,-825.454,160
7,225,Heredity,2,2,-1650.884,-825.442,160
7,253,softmutate,2,2,-1650.872,-825.436,160
5,147,Heredity,2,2,-1650.837,-825.419,160
6,196,Heredity,2,2,-1650.825,-825.412,166
2,47,Permutate,2,2,-1650.709,-825.354,2
3,87,keptBest,2,2,-1650.709,-825.354,2
1,3,Random,2,2,-1650.683,-825.341,2
6,188,Heredity,2,2,-1650.668,-825.334,1
6,210,softmutate,2,2,-1650.625,-825.313,8
4,139,LatMutate,2,2,-1650.586,-825.293,1
5,163,keptBest,2,2,-1650.578,-825.289,44
6,201,keptBest,2,2,-1650.578,-825.289,44
4,125,keptBest,2,2,-1650.578,-825.289,44
3,101,Permutate,2,2,-1650.578,-825.289,44
7,239,keptBest,2,2,-1650.561,-825.28,12
5,164,keptBest,2,2,-1650.561,-825.28,12
6,202,keptBest,2,2,-1650.561,-825.28,12
8,276,keptBest,2,2,-1650.561,-825.28,12
3,79,Random,2,2,-1650.561,-825.28,12
4,126,keptBest,2,2,-1650.561,-825.28,12
3,98,softmutate,2,2,-1650.536,-825.268,2
6,203,keptBest,2,2,-1650.525,-825.262,63
4,127,keptBest,2,2,-1650.525,-825.262,63
5,165,keptBest,2,2,-1650.525,-825.262,63
8,278,keptBest,2,2,-1650.525,-825.262,63
3,92,Permutate,2,2,-1650.525,-825.262,63
7,245,keptBest,2,2,-1650.525,-825.262,63
3,91,Permutate,2,2,-1650.522,-825.261,63
6,194,RandTop,2,2,-1650.522,-825.261,63
4,118,Permutate,2,2,-1650.522,-825.261,63
5,156,Permutate,2,2,-1650.522,-825.261,63
1,6,RandTop,2,2,-1650.52,-825.26,63
3,88,keptBest,2,2,-1650.52,-825.26,63
2,50,keptBest,2,2,-1650.52,-825.26,63
2,48,Permutate,2,2,-1650.519,-825.26,63
6,198,Heredity,2,2,-1650.515,-825.257,12
8,267,Random,2,2,-1650.512,-825.256,63
2,45,RandTop,2,2,-1650.507,-825.253,63
3,81,Random,2,2,-1650.5,-825.25,63
2,44,RandTop,2,2,-1650.496,-825.248,63
1,8,Random,2,2,-1650.493,-825.247,63
7,246,keptBest,2,2,-1650.482,-825.241,2
5,166,keptBest,2,2,-1650.482,-825.241,2
8,279,keptBest,2,2,-1650.482,-825.241,2
4,135,softmutate,2,2,-1650.482,-825.241,2
6,208,keptBest,2,2,-1650.482,-825.241,2
4,115,Random,2,2,-1650.477,-825.239,63
1,4,Random,2,2,-1650.464,-825.232,63
8,291,LatMutate,2,2,-1650.458,-825.229,12
8,269,Random,2,2,-1650.439,-825.22,12
3,78,Heredity,2,2,-1650.436,-825.218,63
5,148,Heredity,2,2,-1650.432,-825.216,63
6,184,Heredity,2,2,-1650.428,-825.214,63
7,227,Heredity,2,2,-1650.427,-825.213,63
8,260,Heredity,2,2,-1650.427,-825.213,63
3,99,softmutate,2,2,-1650.424,-825.212,63
5,146,Heredity,2,2,-1650.421,-825.211,63
4,140,softmutate,2,2,-1650.418,-825.209,2
5,151,Heredity,2,2,-1650.413,-825.206,12
4,108,Heredity,2,2,-1650.411,-825.206,63
8,277,Random,2,2,-1650.393,-825.197,12
8,290,softmutate,2,2,-1650.389,-825.195,15
6,187,Heredity,2,2,-1650.386,-825.193,63
7,250,LatMutate,2,2,-1650.379,-825.189,2
8,280,keptBest,2,2,-1650.379,-825.189,2
2,35,Heredity,2,2,-1650.378,-825.189,63
2,42,Random,2,2,-1650.378,-825.189,11
4,110,Heredity,2,2,-1650.364,-825.182,63
8,270,RandTop,2,2,-1650.338,-825.169,63
8,284,LatMutate,2,2,-1650.332,-825.166,1
2,51,keptBest,2,2,-1650.323,-825.161,11
3,89,keptBest,2,2,-1650.323,-825.161,11
1,13,RandTop,2,2,-1650.323,-825.161,11
4,128,keptBest,2,2,-1650.323,-825.161,11
2,54,softmutate,2,2,-1650.317,-825.158,2
6,215,softmutate,2,2,-1650.3,-825.15,11
4,112,Heredity,2,2,-1650.272,-825.136,2
4,130,LatMutate,2,2,-1650.259,-825.13,15
4,131,LatMutate,2,2,-1650.242,-825.121,2
3,74,Heredity,2,2,-1650.196,-825.098,11
4,111,Heredity,2,2,-1650.18,-825.09,12
6,217,softmutate,2,2,-1650.146,-825.073,2
8,288,softmutate,2,2,-1650.147,-825.073,2
7,256,softmutate,2,2,-1650.141,-825.07,1
7,236,Random,2,2,-1650.123,-825.062,2
7,235,Random,2,2,-1650.112,-825.056,11
2,39,Heredity,2,2,-1650.11,-825.055,2
8,272,Permutate,2,2,-1650.099,-825.049,166
7,248,keptBest,2,2,-1650.096,-825.048,166
7,240,Permutate,2,2,-1650.097,-825.048,166
8,281,Permutate,2,2,-1650.095,-825.048,166
6,204,Permutate,2,2,-1650.096,-825.048,166
4,134,softmutate,2,2,-1650.08,-825.04,2
6,218,softmutate,2,2,-1650.064,-825.032,2
3,95,softmutate,2,2,-1650.04,-825.02,2
4,133,softmutate,2,2,-1650.028,-825.014,2
7,243,softmutate,2,2,-1650.021,-825.01,63
3,102,LatMutate,2,2,-1650.017,-825.009,2
2,56,softmutate,2,2,-1650.012,-825.006,12
7,251,LatMutate,2,2,-1649.99,-824.995,12
5,159,LatMutate,2,2,-1649.932,-824.966,8
2,41,Random,2,2,-1649.919,-824.96,5
8,271,RandTop,2,2,-1649.914,-824.957,11
5,174,softmutate,2,2,-1649.881,-824.94,2
3,84,RandTop,2,2,-1649.837,-824.919,59
6,193,RandTop,2,2,-1649.834,-824.917,59
3,90,keptBest,2,2,-1649.829,-824.915,59
2,46,RandTop,2,2,-1649.829,-824.915,59
2,52,keptBest,2,2,-1649.734,-824.867,5
1,5,Random,2,2,-1649.734,-824.867,5
4,109,Heredity,2,2,-1649.723,-824.862,139
7,249,LatMutate,2,2,-1649.699,-824.85,11
6,205,LatMutate,2,2,-1649.593,-824.797,2
1,11,RandTop,2,2,-1649.567,-824.784,44
7,257,softmutate,2,2,-1649.526,-824.763,5
6,206,LatMutate,2,2,-1649.485,-824.742,11
8,282,LatMutate,2,2,-1649.481,-824.741,11
4,137,softmutate,2,2,-1649.475,-824.737,2
5,173,softmutate,2,2,-1649.472,-824.736,59
8,285,softmutate,2,2,-1649.468,-824.734,2
6,189,Heredity,2,2,-1649.459,-824.73,59
7,255,softmutate,2,2,-1649.455,-824.728,59
4,138,softmutate,2,2,-1649.447,-824.724,2
5,172,softmutate,2,2,-1649.425,-824.712,2
6,216,softmutate,2,2,-1649.35,-824.675,2
1,10,RandTop,2,2,-1649.347,-824.673,8
2,53,keptBest,2,2,-1649.347,-824.673,8
3,93,LatMutate,2,2,-1649.339,-824.67,13
