Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
9,212,keptBest,2,2,-3230.011,-1615.006,59
5,103,Heredity,2,2,-3229.589,-1614.794,59
1,6,Random,2,2,-3229.567,-1614.784,13
2,45,keptBest,2,2,-3229.567,-1614.784,13
10,219,Heredity,2,2,-3229.539,-1614.77,59
2,31,Heredity,2,2,-3229.533,-1614.766,2
4,82,Heredity,2,2,-3229.529,-1614.765,59
5,105,Heredity,2,2,-3229.524,-1614.762,59
5,107,Heredity,2,2,-3229.521,-1614.761,59
9,193,Heredity,2,2,-3229.52,-1614.76,59
7,151,Heredity,2,2,-3229.519,-1614.76,59
8,171,Heredity,2,2,-3229.51,-1614.755,59
9,194,Heredity,2,2,-3229.501,-1614.751,59
10,221,Heredity,2,2,-3229.498,-1614.749,31
9,197,Heredity,2,2,-3229.495,-1614.747,59
8,172,Heredity,2,2,-3229.492,-1614.746,59
8,176,Heredity,2,2,-3229.486,-1614.743,6
8,175,Heredity,2,2,-3229.484,-1614.742,6
4,85,Permutate,2,2,-3229.479,-1614.739,2
8,178,Random,2,2,-3229.473,-1614.736,2
7,149,Heredity,2,2,-3229.469,-1614.734,6
3,58,Heredity,2,2,-3229.465,-1614.733,59
10,223,Heredity,2,2,-3229.465,-1614.732,59
2,34,Heredity,2,2,-3229.462,-1614.731,11
10,218,Heredity,2,2,-3229.453,-1614.727,59
10,217,Heredity,2,2,-3229.449,-1614.725,59
10,222,Heredity,2,2,-3229.443,-1614.722,11
7,152,Heredity,2,2,-3229.43,-1614.715,59
4,83,Heredity,2,2,-3229.426,-1614.713,11
7,153,Heredity,2,2,-3229.427,-1614.713,59
5,104,Heredity,2,2,-3229.421,-1614.711,31
4,78,Heredity,2,2,-3229.416,-1614.708,59
6,128,Heredity,2,2,-3229.412,-1614.706,1
1,11,RandTop,2,2,-3229.399,-1614.7,2
6,140,LatMutate,2,2,-3229.391,-1614.695,6
9,196,Heredity,2,2,-3229.38,-1614.69,59
8,173,Heredity,2,2,-3229.345,-1614.672,59
6,126,Heredity,2,2,-3229.32,-1614.66,59
4,80,Heredity,2,2,-3229.312,-1614.656,59
7,158,Permutate,2,2,-3229.287,-1614.643,194
2,39,LatMutate,2,2,-3229.273,-1614.636,2
6,132,Heredity,2,2,-3229.264,-1614.632,59
2,42,softmutate,2,2,-3229.262,-1614.631,2
5,109,Heredity,2,2,-3229.244,-1614.622,2
3,77,LatMutate,1,1,-1614.618,-1614.618,8
9,203,RandTop,2,2,-3229.234,-1614.617,65
1,7,RandTop,2,2,-3229.233,-1614.617,65
6,127,Heredity,2,2,-3229.231,-1614.615,59
5,111,RandTop,2,2,-3229.216,-1614.608,63
8,174,Heredity,2,2,-3229.215,-1614.608,59
2,33,Heredity,2,2,-3229.205,-1614.603,59
2,53,RandTop,1,1,-1614.602,-1614.602,38
1,25,RandTop,1,1,-1614.6,-1614.6,65
2,52,RandTop,1,1,-1614.597,-1614.597,65
7,169,Random,1,1,-1614.588,-1614.588,65
1,28,RandTop,1,1,-1614.588,-1614.588,8
2,47,Heredity,1,1,-1614.587,-1614.587,12
8,170,Heredity,2,2,-3229.173,-1614.586,1
6,131,Heredity,2,2,-3229.165,-1614.583,59
7,154,Heredity,2,2,-3229.159,-1614.58,2
5,106,Heredity,2,2,-3229.16,-1614.58,59
3,59,Heredity,2,2,-3229.147,-1614.574,59
9,199,Heredity,2,2,-3229.137,-1614.568,11
8,192,Random,1,1,-1614.567,-1614.567,38
6,124,Heredity,2,2,-3229.134,-1614.567,11
9,195,Heredity,2,2,-3229.097,-1614.548,59
7,156,RandTop,2,2,-3229.088,-1614.544,12
4,100,LatMutate,1,1,-1614.544,-1614.544,12
6,130,Heredity,2,2,-3229.081,-1614.541,59
8,177,Random,2,2,-3229.081,-1614.54,38
7,155,RandTop,2,2,-3229.078,-1614.539,38
7,147,Heredity,2,2,-3229.073,-1614.537,59
9,209,softmutate,2,2,-3229.07,-1614.535,2
5,108,Heredity,2,2,-3229.064,-1614.532,11
9,204,Permutate,2,2,-3229.059,-1614.529,1
5,110,Random,2,2,-3229.022,-1614.511,11
1,3,Random,2,2,-3229.023,-1614.511,141
2,35,Random,2,2,-3229.019,-1614.509,141
2,54,LatMutate,1,1,-1614.507,-1614.507,12
9,202,Random,2,2,-3229.01,-1614.505,141
5,118,softmutate,2,2,-3229.009,-1614.505,13
7,157,Permutate,2,2,-3228.969,-1614.485,38
4,95,Heredity,1,1,-1614.483,-1614.483,10
8,183,Permutate,2,2,-3228.965,-1614.482,38
6,129,Heredity,2,2,-3228.957,-1614.478,13
8,184,LatMutate,2,2,-3228.951,-1614.475,2
6,137,Permutate,2,2,-3228.934,-1614.467,38
7,162,softmutate,2,2,-3228.926,-1614.463,1
10,229,Permutate,2,2,-3228.915,-1614.457,38
5,114,LatMutate,2,2,-3228.907,-1614.454,2
5,112,Permutate,2,2,-3228.899,-1614.449,26
9,210,softmutate,2,2,-3228.898,-1614.449,2
7,159,Permutate,2,2,-3228.865,-1614.432,26
8,191,Heredity,1,1,-1614.432,-1614.432,65
10,228,Permutate,2,2,-3228.85,-1614.425,51
8,182,Permutate,2,2,-3228.851,-1614.425,51
4,81,Heredity,2,2,-3228.847,-1614.424,11
9,205,Permutate,2,2,-3228.834,-1614.417,51
2,49,Heredity,1,1,-1614.412,-1614.412,10
6,133,Random,2,2,-3228.815,-1614.407,12
2,41,softmutate,2,2,-3228.789,-1614.395,2
10,220,Heredity,2,2,-3228.787,-1614.393,59
3,69,softmutate,2,2,-3228.781,-1614.391,1
2,48,Heredity,1,1,-1614.382,-1614.382,2
1,5,Random,2,2,-3228.764,-1614.382,15
6,139,LatMutate,2,2,-3228.75,-1614.375,12
9,206,LatMutate,2,2,-3228.746,-1614.373,2
3,66,LatMutate,2,2,-3228.745,-1614.372,2
10,232,softmutate,2,2,-3228.737,-1614.369,2
3,57,Heredity,2,2,-3228.687,-1614.344,38
9,211,softmutate,2,2,-3228.667,-1614.334,2
4,87,LatMutate,2,2,-3228.648,-1614.324,2
10,231,LatMutate,2,2,-3228.641,-1614.32,12
5,116,softmutate,2,2,-3228.639,-1614.319,2
3,67,LatMutate,2,2,-3228.635,-1614.318,2
4,88,LatMutate,2,2,-3228.613,-1614.306,2
2,40,softmutate,2,2,-3228.606,-1614.303,2
9,216,RandTop,1,1,-1614.295,-1614.295,47
3,56,Heredity,2,2,-3228.585,-1614.292,12
4,79,Heredity,2,2,-3228.579,-1614.29,12
3,68,softmutate,2,2,-3228.546,-1614.273,2
8,187,softmutate,2,2,-3228.506,-1614.253,2
1,2,Random,2,2,-3228.482,-1614.241,47
4,86,Permutate,2,2,-3228.468,-1614.234,51
1,12,RandTop,2,2,-3228.456,-1614.228,47
10,233,softmutate,2,2,-3228.424,-1614.212,12
1,22,Random,1,1,-1614.212,-1614.212,38
9,207,LatMutate,2,2,-3228.401,-1614.2,2
1,9,RandTop,2,2,-3228.398,-1614.199,47
1,17,Random,1,1,-1614.196,-1614.196,10
2,46,Heredity,1,1,-1614.187,-1614.187,123
10,226,Permutate,2,2,-3228.369,-1614.184,47
7,160,LatMutate,2,2,-3228.367,-1614.183,2
3,65,Permutate,2,2,-3228.36,-1614.18,10
5,113,Permutate,2,2,-3228.359,-1614.179,10
1,30,RandTop,1,1,-1614.176,-1614.176,10
7,150,Heredity,2,2,-3228.333,-1614.167,38
4,98,Random,1,1,-1614.162,-1614.162,187
4,96,Random,1,1,-1614.159,-1614.159,10
4,91,softmutate,2,2,-3228.314,-1614.157,2
10,239,RandTop,1,1,-1614.15,-1614.15,187
9,200,Random,2,2,-3228.285,-1614.142,2
5,115,LatMutate,2,2,-3228.277,-1614.139,2
9,201,Random,2,2,-3228.279,-1614.139,47
1,14,Random,1,1,-1614.111,-1614.111,10
3,64,Permutate,2,2,-3228.216,-1614.108,2
2,32,Heredity,2,2,-3228.185,-1614.093,1
3,55,Heredity,2,2,-3228.179,-1614.09,10
5,102,Heredity,2,2,-3228.178,-1614.089,51
8,179,RandTop,2,2,-3228.149,-1614.074,47
6,134,Random,2,2,-3228.131,-1614.065,2
4,89,softmutate,2,2,-3228.099,-1614.05,12
5,117,softmutate,2,2,-3228.072,-1614.036,2
6,142,softmutate,2,2,-3228.071,-1614.036,2
1,29,RandTop,1,1,-1614.035,-1614.035,1
7,163,softmutate,2,2,-3228.037,-1614.018,2
1,18,Random,1,1,-1614.012,-1614.012,47
9,208,softmutate,2,2,-3227.998,-1613.999,2
2,51,RandTop,1,1,-1613.999,-1613.999,2
10,225,Random,2,2,-3227.988,-1613.994,123
5,101,Heredity,2,2,-3227.971,-1613.986,65
7,161,LatMutate,2,2,-3227.964,-1613.982,2
2,37,Permutate,2,2,-3227.953,-1613.977,47
4,97,Random,1,1,-1613.976,-1613.976,1
1,19,Random,1,1,-1613.972,-1613.972,10
1,24,Random,1,1,-1613.967,-1613.967,10
1,23,Random,1,1,-1613.963,-1613.963,2
10,238,RandTop,1,1,-1613.96,-1613.96,2
4,90,softmutate,2,2,-3227.91,-1613.955,2
10,224,Random,2,2,-3227.882,-1613.941,2
6,146,Random,1,1,-1613.929,-1613.929,5
8,186,softmutate,2,2,-3227.838,-1613.919,12
3,73,Random,1,1,-1613.915,-1613.915,2
1,10,RandTop,2,2,-3227.768,-1613.884,47
3,60,Heredity,2,2,-3227.748,-1613.874,10
5,122,Random,1,1,-1613.87,-1613.87,47
3,76,RandTop,1,1,-1613.869,-1613.869,2
4,99,RandTop,1,1,-1613.859,-1613.859,1
2,50,Random,1,1,-1613.828,-1613.828,5
6,141,softmutate,2,2,-3227.637,-1613.819,1
1,21,Random,1,1,-1613.775,-1613.775,2
8,185,LatMutate,2,2,-3227.529,-1613.764,2
1,4,Random,2,2,-3227.529,-1613.764,47
7,168,Random,1,1,-1613.716,-1613.716,2
1,26,RandTop,1,1,-1613.703,-1613.703,47
3,75,RandTop,1,1,-1613.676,-1613.676,123
1,16,Random,1,1,-1613.668,-1613.668,123
7,167,Random,1,1,-1613.668,-1613.668,123
6,136,RandTop,2,2,-3227.33,-1613.665,123
1,15,Random,1,1,-1613.658,-1613.658,123
6,125,Heredity,2,2,-3227.313,-1613.656,51
1,27,RandTop,1,1,-1613.64,-1613.64,47
7,148,Heredity,2,2,-3227.148,-1613.574,10
1,20,Random,1,1,-1613.538,-1613.538,12
9,215,Random,1,1,-1613.521,-1613.521,12
10,237,Random,1,1,-1613.508,-1613.508,12
5,123,RandTop,1,1,-1613.497,-1613.497,12
3,74,Random,1,1,-1613.478,-1613.478,12
9,198,Heredity,2,2,-3226.938,-1613.469,47
3,61,Heredity,2,2,-3226.907,-1613.454,10
2,36,Random,2,2,-3226.857,-1613.429,194
10,230,LatMutate,2,2,-3226.631,-1613.316,12
