Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,87,keptBest,2,2,-987.217,-493.608,11
3,101,keptBest,1,1,-493.543,-493.543,12
5,163,keptBest,2,2,-987.012,-493.506,123
5,178,keptBest,2,2,-986.985,-493.493,141
5,175,softmutate,2,2,-986.874,-493.437,12
2,43,RandTop,2,2,-986.812,-493.406,12
2,70,LatMutate,1,1,-493.405,-493.405,10
5,168,LatMutate,2,2,-986.798,-493.399,2
3,89,keptBest,2,2,-986.796,-493.398,123
2,36,Heredity,2,2,-986.796,-493.398,123
3,80,RandTop,2,2,-986.783,-493.392,59
5,147,Heredity,2,2,-986.778,-493.389,59
1,18,Random,1,1,-493.385,-493.385,166
2,68,keptBest,1,1,-493.385,-493.385,166
1,20,Random,1,1,-493.385,-493.385,2
2,48,softmutate,2,2,-986.77,-493.385,12
3,97,Heredity,1,1,-493.38,-493.38,47
2,35,keptBest,2,2,-986.759,-493.38,10
4,119,Heredity,2,2,-986.759,-493.38,59
1,3,Random,2,2,-986.759,-493.38,10
5,171,softmutate,2,2,-986.759,-493.379,11
4,121,Random,2,2,-986.755,-493.377,59
3,102,keptBest,1,1,-493.375,-493.375,123
2,61,Random,1,1,-493.375,-493.375,123
3,73,Heredity,2,2,-986.749,-493.374,12
1,10,RandTop,2,2,-986.747,-493.374,59
2,51,keptBest,2,2,-986.747,-493.374,59
2,42,RandTop,2,2,-986.749,-493.374,2
1,22,Random,1,1,-493.373,-493.373,123
2,69,LatMutate,1,1,-493.372,-493.372,47
5,170,LatMutate,2,2,-986.743,-493.372,2
3,99,Heredity,1,1,-493.372,-493.372,2
4,112,Heredity,2,2,-986.741,-493.371,166
5,151,Heredity,2,2,-986.743,-493.371,2
5,160,RandTop,2,2,-986.741,-493.37,129
1,31,RandTop,1,1,-493.37,-493.37,12
4,133,RandTop,2,2,-986.74,-493.37,123
2,60,Heredity,1,1,-493.369,-493.369,123
5,164,RandTop,2,2,-986.735,-493.368,129
3,96,Heredity,1,1,-493.368,-493.368,123
2,52,Heredity,1,1,-493.367,-493.367,123
1,13,RandTop,2,2,-986.733,-493.367,129
3,95,Heredity,1,1,-493.366,-493.366,123
1,17,Random,1,1,-493.366,-493.366,123
1,25,Random,1,1,-493.366,-493.366,123
3,100,Heredity,1,1,-493.366,-493.366,123
4,144,LatMutate,1,1,-493.365,-493.365,123
4,141,Permutate,2,2,-986.73,-493.365,2
5,182,RandTop,1,1,-493.365,-493.365,12
3,104,RandTop,1,1,-493.365,-493.365,123
2,63,RandTop,1,1,-493.365,-493.365,12
1,26,RandTop,1,1,-493.365,-493.365,123
2,55,Heredity,1,1,-493.364,-493.364,123
2,39,Random,2,2,-986.728,-493.364,13
1,32,Random,1,1,-493.364,-493.364,123
1,19,Random,1,1,-493.364,-493.364,123
1,11,RandTop,2,2,-986.726,-493.363,65
3,105,RandTop,1,1,-493.361,-493.361,123
4,143,Random,1,1,-493.36,-493.36,12
3,74,Heredity,2,2,-986.718,-493.359,1
2,50,softmutate,2,2,-986.715,-493.358,2
1,2,Random,2,2,-986.711,-493.356,11
1,7,RandTop,2,2,-986.71,-493.355,2
3,91,softmutate,2,2,-986.706,-493.353,2
1,29,RandTop,1,1,-493.353,-493.353,12
4,138,softmutate,2,2,-986.681,-493.34,11
5,146,Heredity,2,2,-986.677,-493.339,47
5,153,Heredity,2,2,-986.674,-493.337,2
3,90,softmutate,2,2,-986.669,-493.335,129
4,117,Heredity,2,2,-986.669,-493.335,65
4,111,Heredity,2,2,-986.657,-493.329,65
3,93,softmutate,2,2,-986.654,-493.327,12
2,44,softmutate,2,2,-986.654,-493.327,129
2,46,softmutate,2,2,-986.651,-493.325,2
1,30,RandTop,1,1,-493.322,-493.322,123
1,14,RandTop,2,2,-986.645,-493.322,156
2,49,softmutate,2,2,-986.631,-493.316,2
3,86,Heredity,2,2,-986.618,-493.309,12
5,173,softmutate,2,2,-986.611,-493.306,11
4,136,softmutate,2,2,-986.613,-493.306,67
2,58,Heredity,1,1,-493.306,-493.306,65
3,85,LatMutate,2,2,-986.611,-493.305,10
2,47,softmutate,2,2,-986.607,-493.303,2
1,28,RandTop,1,1,-493.297,-493.297,12
5,180,softmutate,2,2,-986.562,-493.281,2
3,84,LatMutate,2,2,-986.558,-493.279,67
3,94,softmutate,2,2,-986.557,-493.278,2
1,15,Random,1,1,-493.275,-493.275,10
1,1,Random,2,2,-986.545,-493.273,221
4,139,softmutate,2,2,-986.547,-493.273,11
1,4,Random,2,2,-986.543,-493.272,221
3,92,softmutate,2,2,-986.529,-493.265,11
5,145,Heredity,2,2,-986.523,-493.262,8
5,176,softmutate,2,2,-986.513,-493.257,2
4,115,Heredity,2,2,-986.495,-493.248,221
4,108,Heredity,2,2,-986.449,-493.224,59
2,40,Random,2,2,-986.435,-493.217,38
2,65,RandTop,1,1,-493.213,-493.213,166
2,45,softmutate,2,2,-986.412,-493.206,1
4,120,Random,2,2,-986.384,-493.192,1
1,23,Random,1,1,-493.168,-493.168,166
1,24,Random,1,1,-493.167,-493.167,166
