Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,85,keptBest,2,2,-1373.762,-686.881,15
6,190,Random,2,2,-1373.753,-686.877,63
4,119,Random,2,2,-1373.708,-686.854,13
6,212,keptBest,1,1,-686.753,-686.753,160
5,175,Random,1,1,-686.721,-686.721,8
2,57,softmutate,2,2,-1373.361,-686.68,2
2,66,RandTop,1,1,-686.679,-686.679,8
1,30,RandTop,1,1,-686.679,-686.679,8
4,115,Heredity,2,2,-1373.357,-686.679,2
2,63,Random,1,1,-686.675,-686.675,8
3,84,RandTop,2,2,-1373.351,-686.675,13
6,210,RandTop,1,1,-686.673,-686.673,8
2,65,Random,1,1,-686.673,-686.673,1
3,103,Random,1,1,-686.666,-686.666,8
6,204,softmutate,2,2,-1373.332,-686.666,13
6,199,LatMutate,2,2,-1373.328,-686.664,15
6,216,softmutate,1,1,-686.661,-686.661,1
2,46,RandTop,2,2,-1373.319,-686.659,1
4,140,RandTop,1,1,-686.657,-686.657,1
1,22,Random,1,1,-686.657,-686.657,1
4,142,softmutate,2,2,-1373.305,-686.653,2
4,129,LatMutate,2,2,-1373.3,-686.65,2
5,174,softmutate,2,2,-1373.301,-686.65,2
4,133,softmutate,2,2,-1373.297,-686.648,63
1,29,RandTop,1,1,-686.645,-686.645,1
4,107,Heredity,2,2,-1373.29,-686.645,1
4,130,LatMutate,2,2,-1373.277,-686.638,2
4,132,softmutate,2,2,-1373.271,-686.635,2
5,149,Heredity,2,2,-1373.27,-686.635,1
5,151,Heredity,2,2,-1373.269,-686.634,38
4,131,softmutate,2,2,-1373.268,-686.634,2
2,56,softmutate,2,2,-1373.259,-686.629,8
3,93,LatMutate,2,2,-1373.248,-686.624,13
5,144,Heredity,2,2,-1373.24,-686.62,6
6,207,Random,1,1,-686.619,-686.619,8
3,69,Heredity,2,2,-1373.236,-686.618,8
1,26,RandTop,1,1,-686.613,-686.613,1
3,99,softmutate,2,2,-1373.221,-686.611,2
1,28,RandTop,1,1,-686.609,-686.609,8
2,68,softmutate,1,1,-686.608,-686.608,1
5,146,Heredity,2,2,-1373.214,-686.607,63
6,214,RandTop,1,1,-686.599,-686.599,8
4,110,Heredity,2,2,-1373.18,-686.59,38
6,200,LatMutate,2,2,-1373.052,-686.526,2
5,169,softmutate,2,2,-1373.012,-686.506,2
4,138,softmutate,2,2,-1372.339,-686.17,1
2,45,RandTop,2,2,-1372.324,-686.162,1
6,191,RandTop,2,2,-1372.315,-686.158,1
4,134,softmutate,2,2,-1371.467,-685.734,1
