Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
7,234,keptBest,2,2,-1899.214,-949.607,1
4,123,keptBest,2,2,-1899.174,-949.587,42
2,49,keptBest,2,2,-1899.07,-949.535,2
7,224,Heredity,2,2,-1898.805,-949.402,2
7,241,LatMutate,2,2,-1898.802,-949.401,2
6,206,softmutate,2,2,-1898.801,-949.4,2
3,71,Heredity,2,2,-1898.787,-949.394,2
5,164,keptBest,2,2,-1898.787,-949.394,2
4,126,keptBest,2,2,-1898.787,-949.394,2
6,201,keptBest,2,2,-1898.787,-949.394,2
3,89,keptBest,2,2,-1898.781,-949.39,8
1,11,Random,2,2,-1898.781,-949.39,8
2,50,keptBest,2,2,-1898.781,-949.39,8
4,127,keptBest,2,2,-1898.781,-949.39,8
8,259,Heredity,2,2,-1898.778,-949.389,2
3,84,Permutate,2,2,-1898.775,-949.388,42
7,223,Heredity,2,2,-1898.777,-949.388,2
3,91,Permutate,2,2,-1898.765,-949.382,2
8,281,softmutate,2,2,-1898.761,-949.381,2
2,58,softmutate,2,2,-1898.754,-949.377,2
8,278,LatMutate,2,2,-1898.751,-949.376,1
4,122,Permutate,2,2,-1898.75,-949.375,1
5,150,Heredity,2,2,-1898.747,-949.374,2
2,34,Heredity,2,2,-1898.743,-949.372,2
2,44,Heredity,2,2,-1898.743,-949.372,1
2,56,softmutate,2,2,-1898.743,-949.371,2
4,134,softmutate,2,2,-1898.742,-949.371,2
6,187,Heredity,2,2,-1898.743,-949.371,2
8,273,keptBest,2,2,-1898.736,-949.368,1
6,202,Permutate,2,2,-1898.736,-949.368,1
7,238,keptBest,2,2,-1898.736,-949.368,1
5,173,Permutate,2,2,-1898.734,-949.367,1
4,109,Heredity,2,2,-1898.733,-949.367,1
3,77,Heredity,2,2,-1898.73,-949.365,8
4,136,softmutate,2,2,-1898.727,-949.364,2
5,170,softmutate,2,2,-1898.729,-949.364,2
8,260,Heredity,2,2,-1898.725,-949.363,2
2,37,Heredity,2,2,-1898.725,-949.362,2
2,36,Heredity,2,2,-1898.721,-949.361,12
7,218,Heredity,2,2,-1898.722,-949.361,2
3,98,softmutate,2,2,-1898.721,-949.361,2
2,45,Heredity,2,2,-1898.711,-949.356,8
