Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
10,351,RandTop,2,2,-1717.21,-858.605,129
5,167,Permutate,2,2,-1716.797,-858.399,11
5,160,Heredity,2,2,-1716.794,-858.397,129
8,270,Heredity,2,2,-1716.792,-858.396,129
10,343,Heredity,2,2,-1716.788,-858.394,129
8,271,Heredity,2,2,-1716.777,-858.389,129
7,231,Heredity,2,2,-1716.766,-858.383,129
7,232,Heredity,2,2,-1716.766,-858.383,129
9,323,softmutate,2,2,-1716.76,-858.38,139
7,223,Heredity,2,2,-1716.756,-858.378,129
1,13,Random,2,2,-1716.743,-858.372,11
3,82,Heredity,2,2,-1716.74,-858.37,129
9,314,LatMutate,2,2,-1716.737,-858.369,139
9,297,Heredity,2,2,-1716.736,-858.368,31
4,121,Heredity,2,2,-1716.734,-858.367,6
9,300,Heredity,2,2,-1716.728,-858.364,12
9,305,Heredity,2,2,-1716.728,-858.364,129
3,72,Heredity,2,2,-1716.729,-858.364,31
3,80,RandTop,2,2,-1716.722,-858.361,11
4,127,keptBest,2,2,-1716.722,-858.361,11
2,36,Heredity,2,2,-1716.716,-858.358,12
5,149,Heredity,2,2,-1716.711,-858.355,129
3,75,Heredity,2,2,-1716.709,-858.354,139
3,85,Random,2,2,-1716.705,-858.352,11
6,192,Permutate,2,2,-1716.694,-858.347,129
6,186,Heredity,2,2,-1716.692,-858.346,31
10,333,Heredity,2,2,-1716.671,-858.336,12
5,151,Heredity,2,2,-1716.667,-858.333,59
8,258,Heredity,2,2,-1716.665,-858.333,12
6,197,Heredity,2,2,-1716.659,-858.33,129
5,156,Random,2,2,-1716.654,-858.327,11
3,88,keptBest,2,2,-1716.642,-858.321,1
2,34,Heredity,2,2,-1716.642,-858.321,1
9,299,Heredity,2,2,-1716.632,-858.316,6
3,70,Heredity,2,2,-1716.626,-858.313,31
10,338,Heredity,2,2,-1716.615,-858.307,11
4,109,Heredity,2,2,-1716.612,-858.306,1
5,147,Heredity,2,2,-1716.61,-858.305,11
4,112,Heredity,2,2,-1716.608,-858.304,11
6,187,Heredity,2,2,-1716.607,-858.304,11
6,211,softmutate,2,2,-1716.607,-858.303,12
10,341,Heredity,2,2,-1716.582,-858.291,129
3,76,Heredity,2,2,-1716.573,-858.286,11
7,238,keptBest,2,2,-1716.567,-858.283,59
8,275,keptBest,2,2,-1716.567,-858.283,59
