Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,85,keptBest,2,2,-629.781,-314.89,42
4,125,keptBest,2,2,-629.762,-314.881,1
4,123,Random,2,2,-629.687,-314.844,12
5,166,RandTop,2,2,-629.626,-314.813,67
4,107,keptBest,3,3,-944.242,-314.747,1
4,138,LatMutate,2,2,-629.378,-314.689,2
4,129,Permutate,2,2,-629.365,-314.682,8
2,37,Heredity,2,2,-629.361,-314.681,8
4,136,softmutate,2,2,-629.361,-314.681,2
4,132,softmutate,2,2,-629.362,-314.681,8
1,14,RandTop,2,2,-629.36,-314.68,1
2,35,Heredity,2,2,-629.357,-314.679,2
4,117,Heredity,2,2,-629.359,-314.679,2
2,53,softmutate,2,2,-629.358,-314.679,2
3,91,softmutate,2,2,-629.356,-314.678,2
4,130,LatMutate,2,2,-629.356,-314.678,2
1,13,RandTop,2,2,-629.356,-314.678,1
4,139,softmutate,2,2,-629.356,-314.678,2
3,74,Heredity,2,2,-629.357,-314.678,2
5,145,Heredity,2,2,-629.357,-314.678,2
1,5,Random,2,2,-629.353,-314.677,2
5,175,softmutate,2,2,-629.355,-314.677,2
4,135,softmutate,2,2,-629.354,-314.677,2
5,171,LatMutate,2,2,-629.354,-314.677,2
5,157,Random,2,2,-629.354,-314.677,2
2,59,Heredity,1,1,-314.672,-314.672,107
1,21,Random,1,1,-314.672,-314.672,107
2,58,Heredity,1,1,-314.671,-314.671,107
3,105,Permutate,1,1,-314.671,-314.671,107
1,22,Random,1,1,-314.671,-314.671,107
1,30,RandTop,1,1,-314.67,-314.67,107
4,140,Random,1,1,-314.67,-314.67,107
1,23,Random,1,1,-314.669,-314.669,107
4,137,Heredity,1,1,-314.669,-314.669,107
1,18,Random,1,1,-314.669,-314.669,107
2,55,Heredity,1,1,-314.669,-314.669,42
3,98,Random,1,1,-314.669,-314.669,107
3,99,Random,1,1,-314.669,-314.669,107
2,57,Heredity,1,1,-314.669,-314.669,107
2,62,Random,1,1,-314.669,-314.669,107
1,8,Random,2,2,-629.338,-314.669,2
2,63,Random,1,1,-314.669,-314.669,107
2,46,keptBest,2,2,-629.338,-314.669,2
3,106,LatMutate,1,1,-314.669,-314.669,107
4,144,RandTop,1,1,-314.668,-314.668,107
5,180,Heredity,1,1,-314.668,-314.668,107
5,182,RandTop,1,1,-314.668,-314.668,107
3,104,RandTop,1,1,-314.668,-314.668,107
3,97,Heredity,1,1,-314.668,-314.668,107
2,65,RandTop,1,1,-314.667,-314.667,107
1,26,RandTop,1,1,-314.664,-314.664,42
2,47,keptBest,2,2,-629.326,-314.663,12
1,12,Random,2,2,-629.326,-314.663,12
2,56,Heredity,1,1,-314.641,-314.641,42
3,72,Heredity,2,2,-629.263,-314.632,2
5,174,softmutate,2,2,-629.208,-314.604,129
5,146,Heredity,2,2,-629.207,-314.604,63
4,114,Heredity,2,2,-629.208,-314.604,63
5,148,Heredity,2,2,-629.209,-314.604,63
2,34,Heredity,2,2,-629.207,-314.603,129
5,152,Heredity,2,2,-629.18,-314.59,15
2,60,keptBest,1,1,-314.589,-314.589,1
1,24,Random,1,1,-314.589,-314.589,1
2,68,LatMutate,1,1,-314.581,-314.581,8
4,142,RandTop,1,1,-314.581,-314.581,8
5,160,Heredity,2,2,-629.142,-314.571,2
5,168,Permutate,2,2,-629.139,-314.57,129
2,41,Permutate,2,2,-629.139,-314.57,129
1,1,Random,2,2,-629.136,-314.568,129
4,128,Permutate,2,2,-629.137,-314.568,129
4,127,keptBest,2,2,-629.135,-314.567,129
3,78,RandTop,2,2,-629.135,-314.567,129
1,11,RandTop,2,2,-629.132,-314.566,36
2,49,RandTop,2,2,-629.13,-314.565,1
1,10,RandTop,2,2,-629.121,-314.561,63
2,43,softmutate,2,2,-629.121,-314.561,63
1,9,RandTop,2,2,-629.117,-314.559,63
5,181,Random,1,1,-314.557,-314.557,2
5,155,Random,2,2,-629.104,-314.552,4
2,67,LatMutate,1,1,-314.549,-314.549,2
1,28,RandTop,1,1,-314.547,-314.547,12
1,25,Random,1,1,-314.546,-314.546,12
3,103,RandTop,1,1,-314.546,-314.546,12
2,50,RandTop,2,2,-629.09,-314.545,36
4,143,RandTop,1,1,-314.545,-314.545,12
4,133,softmutate,2,2,-629.083,-314.542,12
2,54,softmutate,2,2,-629.085,-314.542,12
1,2,Random,2,2,-628.968,-314.484,2
5,158,RandTop,2,2,-628.962,-314.481,1
5,178,softmutate,2,2,-628.938,-314.469,2
2,48,RandTop,2,2,-628.891,-314.446,69
2,64,RandTop,1,1,-314.442,-314.442,8
5,156,Random,2,2,-628.882,-314.441,2
3,93,softmutate,2,2,-628.883,-314.441,2
3,83,Heredity,2,2,-628.871,-314.436,1
1,15,RandTop,2,2,-628.864,-314.432,1
4,110,Heredity,2,2,-628.841,-314.421,1
5,150,Heredity,2,2,-628.841,-314.421,1
1,7,Random,2,2,-628.831,-314.415,1
2,42,softmutate,2,2,-628.766,-314.383,2
2,38,Random,2,2,-628.763,-314.382,1
1,19,Random,1,1,-314.37,-314.37,8
3,76,Random,2,2,-628.731,-314.365,2
3,94,softmutate,2,2,-628.708,-314.354,1
3,101,Random,1,1,-314.35,-314.35,12
1,27,RandTop,1,1,-314.349,-314.349,12
2,61,Heredity,1,1,-314.349,-314.349,12
2,66,Permutate,1,1,-314.349,-314.349,12
1,31,RandTop,1,1,-314.349,-314.349,12
1,3,Random,2,2,-628.695,-314.348,2
4,141,RandTop,1,1,-314.348,-314.348,12
1,16,RandTop,2,2,-628.693,-314.347,2
3,96,softmutate,2,2,-628.68,-314.34,2
4,131,LatMutate,2,2,-628.672,-314.336,2
5,170,LatMutate,2,2,-628.615,-314.308,1
3,100,Random,1,1,-314.301,-314.301,12
3,102,RandTop,1,1,-314.283,-314.283,12
1,29,RandTop,1,1,-314.28,-314.28,2
3,75,Heredity,2,2,-628.468,-314.234,2
1,20,Random,1,1,-314.232,-314.232,160
3,81,LatMutate,2,2,-628.46,-314.23,2
5,176,softmutate,2,2,-628.438,-314.219,2
