Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,63,keptBest,2,2,-3621.497,-1810.749,123
5,102,RandTop,2,2,-3621.274,-1810.637,129
3,64,keptBest,2,2,-3621.179,-1810.59,11
4,81,RandTop,2,2,-3621.099,-1810.549,10
5,100,Random,2,2,-3621.087,-1810.543,74
1,3,Random,2,2,-3621.082,-1810.541,10
1,13,RandTop,2,2,-3621.079,-1810.539,65
1,10,RandTop,2,2,-3621.04,-1810.52,10
1,16,RandTop,2,2,-3621.031,-1810.516,65
1,6,Random,2,2,-3621.023,-1810.512,123
4,80,Random,2,2,-3621.019,-1810.51,65
3,56,Permutate,2,2,-3621.012,-1810.506,141
1,14,RandTop,2,2,-3620.972,-1810.486,65
5,103,Permutate,2,2,-3620.966,-1810.483,65
3,55,RandTop,2,2,-3620.956,-1810.478,65
2,41,Heredity,1,1,-1810.443,-1810.443,12
1,24,Random,1,1,-1810.438,-1810.438,1
1,2,Random,2,2,-3620.867,-1810.433,70
4,90,Heredity,1,1,-1810.427,-1810.427,166
1,4,Random,2,2,-3620.852,-1810.426,1
5,117,Random,1,1,-1810.415,-1810.415,123
4,93,Random,1,1,-1810.415,-1810.415,12
5,120,LatMutate,1,1,-1810.415,-1810.415,65
1,12,RandTop,2,2,-3620.805,-1810.403,2
2,47,RandTop,1,1,-1810.36,-1810.36,12
1,19,Random,1,1,-1810.327,-1810.327,12
2,43,Random,1,1,-1810.312,-1810.312,12
5,115,Random,1,1,-1810.287,-1810.287,5
1,23,Random,1,1,-1810.284,-1810.284,5
3,71,Random,1,1,-1810.26,-1810.26,12
4,97,LatMutate,1,1,-1810.184,-1810.184,2
2,44,Random,1,1,-1810.141,-1810.141,2
1,21,Random,1,1,-1810.019,-1810.019,2
2,33,Heredity,2,2,-3620.004,-1810.002,65
1,20,Random,1,1,-1809.991,-1809.991,2
2,31,Heredity,2,2,-3619.946,-1809.973,65
5,99,Heredity,2,2,-3619.893,-1809.946,65
3,54,Heredity,2,2,-3619.886,-1809.943,65
3,53,Heredity,2,2,-3619.875,-1809.938,12
4,79,Heredity,2,2,-3619.787,-1809.894,65
3,62,softmutate,2,2,-3619.782,-1809.891,2
4,83,LatMutate,2,2,-3619.706,-1809.853,12
4,78,Heredity,2,2,-3619.697,-1809.849,2
3,57,LatMutate,2,2,-3619.646,-1809.823,2
4,87,softmutate,2,2,-3619.627,-1809.814,12
4,77,Heredity,2,2,-3619.594,-1809.797,2
3,58,LatMutate,2,2,-3619.575,-1809.788,15
2,32,Heredity,2,2,-3619.566,-1809.783,2
4,86,softmutate,2,2,-3619.465,-1809.733,1
2,35,softmutate,2,2,-3619.432,-1809.716,2
5,105,softmutate,2,2,-3619.402,-1809.701,2
3,61,softmutate,2,2,-3619.364,-1809.682,2
4,85,softmutate,2,2,-3619.295,-1809.648,2
3,60,softmutate,2,2,-3619.25,-1809.625,2
5,104,softmutate,2,2,-3619.223,-1809.611,2
3,59,softmutate,2,2,-3619.069,-1809.535,1
5,106,softmutate,2,2,-3618.872,-1809.436,2
4,84,softmutate,2,2,-3616.718,-1808.359,2
