Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,76,Random,2,2,-3796.941,-1898.471,187
4,87,keptBest,2,2,-3796.579,-1898.29,71
2,45,keptBest,2,2,-3796.374,-1898.187,12
1,10,RandTop,2,2,-3796.374,-1898.187,12
4,88,keptBest,2,2,-3796.374,-1898.187,12
6,134,keptBest,2,2,-3796.374,-1898.187,12
3,64,keptBest,2,2,-3796.374,-1898.187,12
5,113,keptBest,2,2,-3796.374,-1898.187,12
4,78,Permutate,2,2,-3796.37,-1898.185,12
5,102,Permutate,2,2,-3796.368,-1898.184,12
2,38,Permutate,2,2,-3796.368,-1898.184,12
1,9,RandTop,2,2,-3796.364,-1898.182,12
5,100,Random,2,2,-3796.357,-1898.179,12
5,101,RandTop,2,2,-3796.354,-1898.177,12
4,77,RandTop,2,2,-3796.35,-1898.175,12
4,80,Random,2,2,-3796.316,-1898.158,12
3,55,Random,2,2,-3796.314,-1898.157,12
6,128,softmutate,2,2,-3796.235,-1898.117,8
6,141,Random,1,1,-1898.073,-1898.073,12
4,95,Random,1,1,-1898.07,-1898.07,12
4,94,Random,1,1,-1898.068,-1898.068,12
5,119,Random,1,1,-1898.068,-1898.068,12
3,68,Heredity,1,1,-1898.066,-1898.066,12
6,145,Random,1,1,-1898.064,-1898.064,12
3,73,RandTop,1,1,-1898.063,-1898.063,12
3,69,Heredity,1,1,-1898.062,-1898.062,12
6,144,LatMutate,1,1,-1898.061,-1898.061,12
3,74,Permutate,1,1,-1898.061,-1898.061,12
3,65,Heredity,1,1,-1898.061,-1898.061,12
4,89,Heredity,1,1,-1898.061,-1898.061,12
2,53,LatMutate,1,1,-1898.061,-1898.061,12
6,140,Random,1,1,-1898.06,-1898.06,12
2,47,Heredity,1,1,-1898.06,-1898.06,12
6,135,Heredity,1,1,-1898.06,-1898.06,12
6,143,Permutate,1,1,-1898.059,-1898.059,12
3,66,Heredity,1,1,-1898.059,-1898.059,12
2,48,Heredity,1,1,-1898.058,-1898.058,12
6,137,Heredity,1,1,-1898.058,-1898.058,12
6,142,RandTop,1,1,-1898.057,-1898.057,12
5,118,Heredity,1,1,-1898.055,-1898.055,12
4,92,Heredity,1,1,-1898.054,-1898.054,12
1,15,Random,1,1,-1898.053,-1898.053,12
5,116,Heredity,1,1,-1898.053,-1898.053,12
4,91,Heredity,1,1,-1898.053,-1898.053,12
6,138,Heredity,1,1,-1898.053,-1898.053,12
3,67,Heredity,1,1,-1898.052,-1898.052,12
5,117,Heredity,1,1,-1898.05,-1898.05,12
5,122,LatMutate,1,1,-1898.05,-1898.05,12
4,90,Heredity,1,1,-1898.049,-1898.049,12
6,136,Heredity,1,1,-1898.049,-1898.049,12
5,121,RandTop,1,1,-1898.048,-1898.048,12
5,115,Heredity,1,1,-1898.048,-1898.048,12
2,52,RandTop,1,1,-1898.047,-1898.047,166
6,139,Heredity,1,1,-1898.047,-1898.047,12
4,93,Heredity,1,1,-1898.046,-1898.046,12
4,96,Random,1,1,-1898.045,-1898.045,12
2,49,Random,1,1,-1898.044,-1898.044,12
2,50,Random,1,1,-1898.043,-1898.043,12
1,30,RandTop,1,1,-1898.043,-1898.043,12
1,23,Random,1,1,-1898.042,-1898.042,166
4,98,RandTop,1,1,-1898.041,-1898.041,12
1,12,RandTop,2,2,-3796.081,-1898.04,12
1,20,Random,1,1,-1898.033,-1898.033,12
1,17,Random,1,1,-1898.032,-1898.032,12
2,51,Random,1,1,-1898.032,-1898.032,12
5,114,Heredity,1,1,-1898.03,-1898.03,12
5,120,Random,1,1,-1898.025,-1898.025,12
1,2,Random,2,2,-3796.045,-1898.023,71
2,46,Heredity,1,1,-1898.015,-1898.015,12
1,1,Random,2,2,-3795.99,-1897.995,12
1,28,RandTop,1,1,-1897.984,-1897.984,12
3,70,Heredity,1,1,-1897.969,-1897.969,12
4,81,Random,2,2,-3795.91,-1897.955,12
5,103,Permutate,2,2,-3795.86,-1897.93,12
1,24,Random,1,1,-1897.911,-1897.911,38
1,3,Random,2,2,-3795.716,-1897.858,12
4,99,LatMutate,1,1,-1897.858,-1897.858,166
1,19,Random,1,1,-1897.854,-1897.854,38
3,71,Random,1,1,-1897.852,-1897.852,38
4,97,RandTop,1,1,-1897.848,-1897.848,38
1,22,Random,1,1,-1897.844,-1897.844,6
3,72,Random,1,1,-1897.842,-1897.842,38
5,110,softmutate,2,2,-3795.681,-1897.841,2
1,7,Random,2,2,-3795.681,-1897.841,2
3,75,LatMutate,1,1,-1897.79,-1897.79,12
3,57,RandTop,2,2,-3795.554,-1897.777,47
4,79,Permutate,2,2,-3795.536,-1897.768,44
2,31,Heredity,2,2,-3795.528,-1897.764,2
6,123,Random,2,2,-3795.508,-1897.754,44
5,105,softmutate,2,2,-3795.495,-1897.747,2
1,8,RandTop,2,2,-3795.42,-1897.71,123
6,131,softmutate,2,2,-3795.392,-1897.696,2
1,21,Random,1,1,-1897.686,-1897.686,221
1,26,RandTop,1,1,-1897.686,-1897.686,221
1,25,RandTop,1,1,-1897.686,-1897.686,221
1,27,RandTop,1,1,-1897.686,-1897.686,221
1,18,Random,1,1,-1897.685,-1897.685,221
1,16,Random,1,1,-1897.685,-1897.685,221
1,29,RandTop,1,1,-1897.685,-1897.685,221
2,33,Heredity,2,2,-3795.275,-1897.637,2
3,58,RandTop,2,2,-3795.26,-1897.63,221
2,36,RandTop,2,2,-3795.258,-1897.629,221
6,124,RandTop,2,2,-3795.259,-1897.629,221
1,5,Random,2,2,-3795.243,-1897.621,12
1,14,RandTop,2,2,-3795.235,-1897.618,221
1,13,RandTop,2,2,-3795.235,-1897.618,221
1,11,RandTop,2,2,-3795.235,-1897.617,221
3,56,RandTop,2,2,-3795.207,-1897.604,221
2,40,Random,2,2,-3795.207,-1897.603,221
2,37,RandTop,2,2,-3795.155,-1897.577,10
2,41,softmutate,2,2,-3795.113,-1897.556,12
3,61,softmutate,2,2,-3794.931,-1897.466,12
3,60,LatMutate,2,2,-3794.866,-1897.433,2
5,106,softmutate,2,2,-3794.813,-1897.406,2
5,109,softmutate,2,2,-3794.792,-1897.396,166
4,83,softmutate,2,2,-3794.665,-1897.333,2
4,84,softmutate,2,2,-3794.648,-1897.324,12
6,127,softmutate,2,2,-3794.613,-1897.307,2
6,129,softmutate,2,2,-3794.464,-1897.232,2
2,34,Heredity,2,2,-3794.426,-1897.213,1
2,32,Heredity,2,2,-3794.371,-1897.186,10
5,104,LatMutate,2,2,-3794.287,-1897.144,12
4,82,softmutate,2,2,-3794.277,-1897.138,8
2,35,Heredity,2,2,-3794.22,-1897.11,2
6,126,softmutate,2,2,-3794.185,-1897.093,123
3,54,Heredity,2,2,-3794.086,-1897.043,2
6,130,softmutate,2,2,-3794.044,-1897.022,12
4,85,softmutate,2,2,-3793.982,-1896.991,2
5,107,softmutate,2,2,-3793.69,-1896.845,2
5,108,softmutate,2,2,-3793.213,-1896.607,2
2,42,softmutate,2,2,-3792.293,-1896.147,12
