Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,109,Permutate,2,2,-5698.155,-2849.078,59
1,8,RandTop,2,2,-5698.066,-2849.033,123
6,134,Permutate,2,2,-5697.907,-2848.953,12
1,14,RandTop,2,2,-5697.735,-2848.867,10
6,131,RandTop,2,2,-5697.733,-2848.867,65
2,41,RandTop,2,2,-5697.731,-2848.866,2
4,86,Permutate,2,2,-5697.731,-2848.865,1
1,13,RandTop,2,2,-5697.712,-2848.856,10
1,5,Random,2,2,-5697.67,-2848.835,13
6,130,RandTop,2,2,-5697.664,-2848.832,6
3,77,Permutate,1,1,-2848.815,-2848.815,65
6,143,Heredity,1,1,-2848.814,-2848.814,65
3,61,Random,2,2,-5697.617,-2848.809,123
3,73,Heredity,1,1,-2848.804,-2848.804,123
2,52,RandTop,1,1,-2848.787,-2848.787,65
3,72,Heredity,1,1,-2848.785,-2848.785,10
4,101,LatMutate,1,1,-2848.782,-2848.782,10
6,133,Permutate,2,2,-5697.561,-2848.781,123
5,121,Random,1,1,-2848.778,-2848.778,65
4,97,Random,1,1,-2848.777,-2848.777,5
5,124,RandTop,1,1,-2848.776,-2848.776,8
5,108,RandTop,2,2,-5697.543,-2848.772,123
6,144,Heredity,1,1,-2848.761,-2848.761,12
4,95,Heredity,1,1,-2848.759,-2848.759,10
3,74,Random,1,1,-2848.751,-2848.751,123
1,26,RandTop,1,1,-2848.746,-2848.746,123
1,18,Random,1,1,-2848.745,-2848.745,65
6,145,Heredity,1,1,-2848.743,-2848.743,123
4,99,RandTop,1,1,-2848.742,-2848.742,123
2,40,Random,2,2,-5697.485,-2848.742,123
4,100,RandTop,1,1,-2848.732,-2848.732,166
1,24,Random,1,1,-2848.729,-2848.729,166
1,17,Random,1,1,-2848.727,-2848.727,166
6,147,Random,1,1,-2848.71,-2848.71,12
3,76,RandTop,1,1,-2848.698,-2848.698,2
3,75,RandTop,1,1,-2848.686,-2848.686,2
1,29,RandTop,1,1,-2848.679,-2848.679,65
5,123,RandTop,1,1,-2848.674,-2848.674,2
1,9,RandTop,2,2,-5697.344,-2848.672,1
4,83,Random,2,2,-5697.343,-2848.671,2
1,27,RandTop,1,1,-2848.659,-2848.659,123
5,107,Random,2,2,-5697.305,-2848.652,65
6,146,Random,1,1,-2848.651,-2848.651,12
2,53,RandTop,1,1,-2848.639,-2848.639,123
1,23,Random,1,1,-2848.628,-2848.628,12
4,98,RandTop,1,1,-2848.626,-2848.626,10
1,21,Random,1,1,-2848.617,-2848.617,166
1,19,Random,1,1,-2848.613,-2848.613,65
1,15,Random,1,1,-2848.611,-2848.611,166
2,51,Random,1,1,-2848.604,-2848.604,166
1,30,RandTop,1,1,-2848.6,-2848.6,2
5,118,Heredity,1,1,-2848.588,-2848.588,2
1,22,Random,1,1,-2848.557,-2848.557,12
3,58,Heredity,2,2,-5697.049,-2848.525,59
2,35,Heredity,2,2,-5697.039,-2848.52,11
6,128,Heredity,2,2,-5697.031,-2848.515,59
1,12,RandTop,2,2,-5696.99,-2848.495,2
3,55,Heredity,2,2,-5696.966,-2848.483,11
1,20,Random,1,1,-2848.466,-2848.466,2
5,119,Random,1,1,-2848.451,-2848.451,2
5,114,softmutate,2,2,-5696.868,-2848.434,12
2,38,Heredity,2,2,-5696.825,-2848.412,2
5,102,Heredity,2,2,-5696.81,-2848.405,15
3,54,Heredity,2,2,-5696.789,-2848.395,2
2,32,Heredity,2,2,-5696.789,-2848.395,12
5,104,Heredity,2,2,-5696.775,-2848.387,2
2,33,Heredity,2,2,-5696.736,-2848.368,10
5,103,Heredity,2,2,-5696.734,-2848.367,2
4,80,Heredity,2,2,-5696.723,-2848.361,129
4,81,Heredity,2,2,-5696.717,-2848.358,38
2,45,LatMutate,2,2,-5696.706,-2848.353,2
4,89,softmutate,2,2,-5696.689,-2848.345,2
6,125,Heredity,2,2,-5696.679,-2848.34,2
4,79,Heredity,2,2,-5696.659,-2848.33,123
2,37,Heredity,2,2,-5696.655,-2848.328,11
