Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
2,48,keptBest,2,2,-1275.035,-637.517,5
4,122,keptBest,2,2,-1274.557,-637.278,71
3,92,Permutate,2,2,-1274.557,-637.278,71
5,159,keptBest,2,2,-1274.557,-637.278,71
4,107,Heredity,2,2,-1274.547,-637.274,1
3,87,keptBest,2,2,-1274.546,-637.273,71
4,108,Heredity,2,2,-1274.547,-637.273,71
2,38,Heredity,2,2,-1274.546,-637.273,71
3,74,Heredity,2,2,-1274.543,-637.272,71
5,146,Heredity,2,2,-1274.516,-637.258,71
4,130,softmutate,2,2,-1274.496,-637.248,71
1,1,Random,2,2,-1274.272,-637.136,59
4,124,keptBest,2,2,-1274.272,-637.136,59
2,49,keptBest,2,2,-1274.272,-637.136,59
5,162,keptBest,2,2,-1274.272,-637.136,59
3,88,keptBest,2,2,-1274.272,-637.136,59
4,125,keptBest,2,2,-1274.26,-637.13,12
5,164,keptBest,2,2,-1274.26,-637.13,12
3,84,Random,2,2,-1274.26,-637.13,12
5,151,Random,2,2,-1274.223,-637.111,25
5,166,LatMutate,2,2,-1274.219,-637.109,12
5,168,softmutate,2,2,-1274.209,-637.105,12
4,127,keptBest,2,2,-1274.211,-637.105,25
5,160,Permutate,2,2,-1274.211,-637.105,12
5,165,keptBest,2,2,-1274.211,-637.105,25
3,91,Permutate,2,2,-1274.211,-637.105,25
3,89,keptBest,2,2,-1274.208,-637.104,12
4,117,Permutate,2,2,-1274.207,-637.104,2
2,47,Heredity,2,2,-1274.208,-637.104,12
3,90,Permutate,2,2,-1274.206,-637.103,25
5,147,Heredity,2,2,-1274.2,-637.1,74
4,135,softmutate,2,2,-1274.198,-637.099,12
4,132,softmutate,2,2,-1274.186,-637.093,25
2,62,softmutate,2,2,-1274.178,-637.089,12
3,72,Heredity,2,2,-1274.173,-637.086,44
5,154,LatMutate,2,2,-1274.168,-637.084,10
5,156,Heredity,2,2,-1274.154,-637.077,12
3,82,Heredity,2,2,-1274.142,-637.071,12
5,161,LatMutate,2,2,-1274.14,-637.07,12
4,133,softmutate,2,2,-1274.136,-637.068,2
4,123,Permutate,2,2,-1274.134,-637.067,12
5,163,LatMutate,2,2,-1274.124,-637.062,12
5,176,RandTop,1,1,-637.044,-637.044,123
2,61,keptBest,1,1,-637.044,-637.044,123
1,25,Random,1,1,-637.044,-637.044,123
4,138,Heredity,1,1,-637.044,-637.044,123
1,31,RandTop,1,1,-637.044,-637.044,123
3,98,keptBest,1,1,-637.044,-637.044,123
3,101,Heredity,1,1,-637.043,-637.043,123
2,68,RandTop,1,1,-637.039,-637.039,123
3,104,RandTop,1,1,-637.039,-637.039,123
4,144,RandTop,1,1,-637.039,-637.039,123
3,99,Heredity,1,1,-637.038,-637.038,123
3,95,softmutate,2,2,-1274.04,-637.02,12
1,3,Random,2,2,-1274.021,-637.011,119
2,50,keptBest,2,2,-1274.021,-637.011,119
4,115,RandTop,2,2,-1274.021,-637.01,51
2,51,RandTop,2,2,-1274.016,-637.008,51
3,83,Random,2,2,-1274.008,-637.004,1
1,12,Random,2,2,-1274.006,-637.003,11
2,52,keptBest,2,2,-1274.006,-637.003,11
5,157,Heredity,2,2,-1274.001,-637.001,59
3,73,Heredity,2,2,-1274.001,-637.001,51
1,2,Random,2,2,-1273.984,-636.992,11
4,119,Heredity,2,2,-1273.972,-636.986,51
4,134,softmutate,2,2,-1273.967,-636.983,51
1,16,RandTop,2,2,-1273.957,-636.978,65
4,114,Random,2,2,-1273.929,-636.965,65
4,110,Heredity,2,2,-1273.929,-636.964,13
5,152,RandTop,2,2,-1273.928,-636.964,65
3,77,RandTop,2,2,-1273.925,-636.963,63
2,42,Random,2,2,-1273.925,-636.963,65
3,76,RandTop,2,2,-1273.923,-636.962,63
3,94,softmutate,2,2,-1273.912,-636.956,63
3,71,Heredity,2,2,-1273.912,-636.956,63
1,29,RandTop,1,1,-636.95,-636.95,38
5,169,softmutate,2,2,-1273.898,-636.949,65
4,113,Heredity,2,2,-1273.894,-636.947,63
3,96,softmutate,2,2,-1273.887,-636.944,63
3,70,Heredity,2,2,-1273.886,-636.943,1
2,33,Heredity,2,2,-1273.881,-636.94,63
2,34,Heredity,2,2,-1273.88,-636.94,65
2,69,Permutate,1,1,-636.938,-636.938,38
1,27,RandTop,1,1,-636.937,-636.937,38
1,26,Random,1,1,-636.937,-636.937,38
2,64,Heredity,1,1,-636.937,-636.937,38
2,66,Random,1,1,-636.935,-636.935,38
3,79,Heredity,3,3,-1910.8,-636.933,6
2,40,Heredity,2,2,-1273.864,-636.932,65
1,13,RandTop,2,2,-1273.861,-636.931,6
1,20,Random,1,1,-636.927,-636.927,38
4,128,LatMutate,2,2,-1273.853,-636.927,65
5,173,Random,1,1,-636.926,-636.926,38
1,30,RandTop,1,1,-636.919,-636.919,38
3,80,Heredity,2,2,-1273.833,-636.917,1
2,44,Random,2,2,-1273.829,-636.915,2
2,46,RandTop,2,2,-1273.797,-636.898,11
2,56,softmutate,2,2,-1273.797,-636.898,74
1,32,RandTop,1,1,-636.897,-636.897,6
3,100,Heredity,1,1,-636.889,-636.889,65
2,65,Heredity,1,1,-636.886,-636.886,65
5,180,LatMutate,1,1,-636.884,-636.884,65
1,14,RandTop,2,2,-1273.764,-636.882,74
3,81,Heredity,2,2,-1273.761,-636.88,11
4,131,softmutate,2,2,-1273.751,-636.876,11
2,35,Heredity,2,2,-1273.739,-636.869,11
5,177,RandTop,1,1,-636.864,-636.864,12
2,67,RandTop,1,1,-636.863,-636.863,12
5,170,softmutate,2,2,-1273.718,-636.859,65
3,78,RandTop,2,2,-1273.707,-636.854,4
1,7,RandTop,2,2,-1273.703,-636.852,4
1,6,RandTop,2,2,-1273.704,-636.852,4
4,140,Random,1,1,-636.842,-636.842,1
5,167,softmutate,2,2,-1273.667,-636.833,65
5,179,Permutate,1,1,-636.83,-636.83,191
4,139,Random,1,1,-636.829,-636.829,191
1,22,Random,1,1,-636.829,-636.829,191
1,10,Random,1,1,-636.829,-636.829,191
3,102,Random,1,1,-636.829,-636.829,191
3,106,LatMutate,1,1,-636.828,-636.828,191
2,60,Heredity,1,1,-636.828,-636.828,191
1,19,Random,1,1,-636.828,-636.828,191
1,18,Random,1,1,-636.827,-636.827,191
4,143,RandTop,1,1,-636.827,-636.827,191
4,141,Random,1,1,-636.827,-636.827,191
5,171,Heredity,1,1,-636.827,-636.827,1
1,21,Random,1,1,-636.827,-636.827,191
1,23,Random,1,1,-636.827,-636.827,191
4,137,Heredity,1,1,-636.826,-636.826,191
5,178,RandTop,1,1,-636.826,-636.826,191
4,142,Random,1,1,-636.826,-636.826,191
1,9,Random,1,1,-636.826,-636.826,191
3,103,Random,1,1,-636.825,-636.825,191
5,175,Random,1,1,-636.825,-636.825,191
2,58,softmutate,2,2,-1273.648,-636.824,9
1,28,RandTop,1,1,-636.823,-636.823,191
1,24,Random,1,1,-636.823,-636.823,191
4,136,Heredity,1,1,-636.819,-636.819,191
3,105,LatMutate,1,1,-636.816,-636.816,191
3,86,Heredity,3,3,-1910.426,-636.809,2
5,174,Random,1,1,-636.803,-636.803,191
4,111,Heredity,2,2,-1273.605,-636.803,2
4,126,LatMutate,2,2,-1273.595,-636.797,2
2,41,Random,2,2,-1273.578,-636.789,191
2,45,RandTop,2,2,-1273.576,-636.788,191
4,118,Permutate,2,2,-1273.576,-636.788,191
5,153,Permutate,2,2,-1273.576,-636.788,191
4,109,Heredity,2,2,-1273.563,-636.782,191
5,149,Heredity,2,2,-1273.559,-636.779,191
4,112,Heredity,2,2,-1273.555,-636.778,191
2,55,LatMutate,2,2,-1273.557,-636.778,191
5,148,Heredity,2,2,-1273.549,-636.775,191
2,39,Heredity,2,2,-1273.551,-636.775,191
5,172,Random,1,1,-636.773,-636.773,1
2,59,softmutate,2,2,-1273.523,-636.761,65
4,116,RandTop,2,2,-1273.517,-636.758,6
5,145,Heredity,2,2,-1273.495,-636.748,9
1,11,Random,2,2,-1273.493,-636.747,6
2,57,softmutate,2,2,-1273.462,-636.731,11
5,150,Random,2,2,-1273.461,-636.73,191
3,97,softmutate,2,2,-1273.458,-636.729,8
1,8,RandTop,2,2,-1273.456,-636.728,191
2,54,LatMutate,2,2,-1273.444,-636.722,11
4,129,LatMutate,2,2,-1273.436,-636.718,11
2,53,Permutate,2,2,-1273.42,-636.71,6
1,5,RandTop,2,2,-1273.418,-636.709,6
3,75,Random,2,2,-1273.408,-636.704,6
2,36,Heredity,2,2,-1273.321,-636.66,6
5,155,Heredity,2,2,-1273.297,-636.649,2
4,120,Heredity,2,2,-1273.267,-636.634,10
2,43,Random,2,2,-1273.26,-636.63,4
1,4,RandTop,2,2,-1273.257,-636.628,4
2,37,Heredity,2,2,-1273.252,-636.626,2
1,17,Random,1,1,-636.419,-636.419,38
2,63,softmutate,2,2,-1272.726,-636.363,6
3,93,LatMutate,2,2,-1272.681,-636.341,6
