Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,112,Heredity,2,2,-974.609,-487.305,12
3,83,keptBest,2,2,-974.475,-487.237,63
3,99,keptBest,1,1,-487.153,-487.153,123
7,241,Heredity,1,1,-487.1,-487.1,47
2,64,keptBest,1,1,-487.099,-487.099,47
1,21,Random,1,1,-487.099,-487.099,47
4,135,Heredity,1,1,-487.099,-487.099,47
6,214,Random,1,1,-487.081,-487.081,2
8,293,LatMutate,1,1,-487.081,-487.081,2
5,163,Random,2,2,-974.162,-487.081,12
4,136,keptBest,1,1,-487.08,-487.08,2
3,104,keptBest,1,1,-487.08,-487.08,2
2,66,RandTop,1,1,-487.08,-487.08,2
5,174,keptBest,1,1,-487.08,-487.08,2
6,212,keptBest,1,1,-487.08,-487.08,2
7,249,Permutate,1,1,-487.08,-487.08,2
8,286,keptBest,1,1,-487.08,-487.08,2
2,57,Heredity,1,1,-487.08,-487.08,2
2,58,Heredity,1,1,-487.08,-487.08,2
7,238,softmutate,2,2,-974.158,-487.079,2
1,20,Random,1,1,-487.079,-487.079,2
6,183,Heredity,2,2,-974.158,-487.079,2
4,132,Heredity,1,1,-487.079,-487.079,2
7,240,Heredity,1,1,-487.079,-487.079,2
5,180,Permutate,1,1,-487.079,-487.079,2
4,144,LatMutate,1,1,-487.079,-487.079,2
5,171,Random,1,1,-487.079,-487.079,2
7,244,RandTop,1,1,-487.079,-487.079,10
3,94,Heredity,1,1,-487.079,-487.079,2
7,253,LatMutate,1,1,-487.079,-487.079,2
2,59,Heredity,1,1,-487.078,-487.078,2
7,255,keptBest,1,1,-487.078,-487.078,10
2,61,Heredity,1,1,-487.078,-487.078,10
7,251,Permutate,1,1,-487.078,-487.078,2
5,169,Heredity,1,1,-487.078,-487.078,10
1,25,Random,1,1,-487.078,-487.078,2
6,208,Heredity,1,1,-487.078,-487.078,10
4,131,Heredity,1,1,-487.078,-487.078,2
6,211,Heredity,1,1,-487.078,-487.078,10
6,213,Heredity,1,1,-487.078,-487.078,10
3,95,Heredity,1,1,-487.078,-487.078,10
2,53,Heredity,1,1,-487.078,-487.078,10
6,216,RandTop,1,1,-487.077,-487.077,10
3,98,Random,1,1,-487.077,-487.077,10
3,92,Heredity,1,1,-487.077,-487.077,10
5,161,keptBest,2,2,-974.153,-487.076,63
1,13,Random,2,2,-974.152,-487.076,63
3,84,Heredity,2,2,-974.152,-487.076,1
3,86,keptBest,2,2,-974.152,-487.076,63
4,122,keptBest,2,2,-974.152,-487.076,63
4,143,RandTop,1,1,-487.076,-487.076,10
4,114,Random,2,2,-974.153,-487.076,63
2,43,keptBest,2,2,-974.152,-487.076,63
6,194,softmutate,2,2,-974.15,-487.075,63
2,48,softmutate,2,2,-974.146,-487.073,12
8,262,Random,2,2,-974.139,-487.069,2
8,287,softmutate,2,2,-974.13,-487.065,12
7,229,Random,2,2,-974.129,-487.064,15
6,217,LatMutate,1,1,-487.061,-487.061,10
5,176,RandTop,1,1,-487.055,-487.055,123
5,165,softmutate,2,2,-974.1,-487.05,11
5,152,LatMutate,2,2,-974.101,-487.05,11
6,195,Heredity,2,2,-974.101,-487.05,11
3,96,Heredity,1,1,-487.047,-487.047,12
8,288,Heredity,1,1,-487.047,-487.047,12
1,29,RandTop,1,1,-487.045,-487.045,12
2,65,keptBest,1,1,-487.045,-487.045,12
5,166,softmutate,2,2,-974.087,-487.044,1
8,273,Heredity,2,2,-974.089,-487.044,1
4,126,softmutate,2,2,-974.088,-487.044,69
2,51,softmutate,2,2,-974.086,-487.043,12
2,50,softmutate,2,2,-974.087,-487.043,1
