Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,182,Permutate,1,1,-302.76,-302.76,225
5,158,keptBest,2,2,-605.09,-302.545,13
4,127,Permutate,2,2,-605.09,-302.545,13
5,147,Heredity,2,2,-604.913,-302.456,2
3,92,softmutate,2,2,-604.91,-302.455,2
3,84,keptBest,2,2,-604.881,-302.441,2
2,42,keptBest,2,2,-604.881,-302.441,2
1,9,Random,2,2,-604.881,-302.441,2
2,44,Random,2,2,-604.88,-302.44,2
2,36,Heredity,2,2,-604.851,-302.425,2
1,30,RandTop,1,1,-302.4,-302.4,123
1,22,Random,1,1,-302.4,-302.4,123
5,160,keptBest,2,2,-604.798,-302.399,2
3,85,keptBest,2,2,-604.798,-302.399,2
4,123,keptBest,2,2,-604.798,-302.399,2
2,47,keptBest,2,2,-604.798,-302.399,2
1,16,Random,2,2,-604.798,-302.399,2
4,133,softmutate,2,2,-604.768,-302.384,71
4,124,keptBest,2,2,-604.705,-302.353,11
3,75,Heredity,2,2,-604.705,-302.353,11
4,120,RandTop,2,2,-604.705,-302.353,11
3,88,Permutate,2,2,-604.651,-302.326,12
5,169,Heredity,1,1,-302.325,-302.325,2
4,111,Heredity,2,2,-604.594,-302.297,2
5,173,keptBest,1,1,-302.292,-302.292,12
3,101,keptBest,1,1,-302.292,-302.292,12
1,29,RandTop,1,1,-302.292,-302.292,12
2,59,Heredity,1,1,-302.292,-302.292,12
4,139,keptBest,1,1,-302.292,-302.292,12
2,57,keptBest,1,1,-302.292,-302.292,12
5,148,Heredity,2,2,-604.579,-302.29,71
2,41,Permutate,2,2,-604.576,-302.288,71
4,122,RandTop,2,2,-604.576,-302.288,71
3,79,Permutate,2,2,-604.576,-302.288,71
4,118,Random,2,2,-604.576,-302.288,71
5,161,keptBest,2,2,-604.571,-302.286,1
4,134,softmutate,2,2,-604.571,-302.286,1
4,114,Heredity,2,2,-604.564,-302.282,71
5,153,RandTop,2,2,-604.559,-302.28,12
5,164,softmutate,2,2,-604.555,-302.277,12
2,46,RandTop,2,2,-604.546,-302.273,11
3,86,keptBest,2,2,-604.546,-302.273,11
4,126,keptBest,2,2,-604.546,-302.273,11
4,121,RandTop,2,2,-604.539,-302.269,63
5,167,Heredity,1,1,-302.266,-302.266,10
2,37,Heredity,2,2,-604.526,-302.263,71
1,12,Random,2,2,-604.52,-302.26,2
3,89,softmutate,2,2,-604.508,-302.254,12
2,49,keptBest,2,2,-604.463,-302.231,65
1,4,RandTop,2,2,-604.463,-302.231,65
1,14,RandTop,2,2,-604.46,-302.23,2
2,54,softmutate,2,2,-604.454,-302.227,71
4,119,RandTop,2,2,-604.452,-302.226,2
4,116,Heredity,2,2,-604.45,-302.225,10
2,48,RandTop,2,2,-604.451,-302.225,2
1,8,Random,2,2,-604.45,-302.225,71
5,159,Random,2,2,-604.45,-302.225,71
2,34,Heredity,2,2,-604.45,-302.225,71
5,157,Heredity,2,2,-604.449,-302.224,71
3,87,Heredity,2,2,-604.429,-302.214,12
1,10,Random,2,2,-604.396,-302.198,12
5,168,Heredity,1,1,-302.195,-302.195,12
1,20,Random,1,1,-302.191,-302.191,47
3,74,Heredity,2,2,-604.367,-302.184,2
1,32,RandTop,1,1,-302.18,-302.18,47
3,83,Heredity,2,2,-604.358,-302.179,47
5,162,Permutate,2,2,-604.355,-302.178,47
4,115,Heredity,2,2,-604.357,-302.178,47
1,27,RandTop,2,2,-604.352,-302.176,8
5,154,LatMutate,2,2,-604.327,-302.164,2
3,94,Random,1,1,-302.163,-302.163,12
4,125,Random,2,2,-604.327,-302.163,2
1,25,Random,1,1,-302.163,-302.163,12
4,144,Permutate,1,1,-302.163,-302.163,12
3,106,RandTop,1,1,-302.158,-302.158,47
5,165,softmutate,2,2,-604.316,-302.158,11
4,113,Heredity,2,2,-604.294,-302.147,2
3,82,softmutate,2,2,-604.293,-302.146,2
3,104,RandTop,1,1,-302.142,-302.142,12
3,78,RandTop,2,2,-604.283,-302.141,63
5,145,Heredity,2,2,-604.281,-302.141,12
4,112,Heredity,2,2,-604.277,-302.139,12
4,128,LatMutate,2,2,-604.276,-302.138,63
