Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,118,Heredity,4,2,-818.901,-409.451,164
6,206,Permutate,2,1,-409.371,-409.371,164
6,212,softmutate,4,2,-818.503,-409.251,1
2,61,Permutate,4,2,-818.49,-409.245,160
3,98,softmutate,4,2,-818.487,-409.243,160
2,63,softmutate,4,2,-818.481,-409.24,160
4,130,LatMutate,4,2,-818.475,-409.238,1
1,27,RandTop,4,2,-818.477,-409.238,166
6,216,Random,4,2,-818.475,-409.237,164
1,26,Random,4,2,-818.459,-409.23,164
2,60,Heredity,4,2,-818.458,-409.229,166
6,190,softmutate,4,2,-818.454,-409.227,164
2,68,softmutate,4,2,-818.454,-409.227,164
2,54,Permutate,4,2,-818.452,-409.226,164
3,100,RandTop,4,2,-818.449,-409.225,164
3,99,RandTop,4,2,-818.45,-409.225,164
1,31,RandTop,4,2,-818.448,-409.224,164
6,211,RandTop,4,2,-818.448,-409.224,164
2,52,Random,4,2,-818.447,-409.223,164
4,111,Heredity,4,2,-818.445,-409.223,164
2,35,Heredity,4,2,-818.446,-409.223,164
2,36,Heredity,4,2,-818.447,-409.223,164
2,37,Heredity,4,2,-818.446,-409.223,164
6,187,LatMutate,4,2,-818.444,-409.222,164
5,149,Heredity,4,2,-818.444,-409.222,164
5,148,Heredity,4,2,-818.444,-409.222,164
5,180,softmutate,4,2,-818.433,-409.217,164
2,67,softmutate,4,2,-818.421,-409.211,160
5,164,Heredity,4,2,-818.401,-409.2,156
4,121,Heredity,4,2,-818.393,-409.197,156
5,156,Random,2,1,-409.133,-409.133,164
2,65,RandTop,2,1,-409.129,-409.129,164
1,4,Random,2,1,-409.116,-409.116,156
2,49,keptBest,2,1,-409.116,-409.116,156
5,158,Random,2,1,-409.114,-409.114,156
6,188,keptBest,2,1,-409.114,-409.114,156
3,84,Heredity,4,2,-818.21,-409.105,166
3,91,LatMutate,2,1,-409.095,-409.095,166
1,15,Random,2,1,-409.094,-409.094,166
6,197,Random,2,1,-409.094,-409.094,166
5,154,Heredity,2,1,-409.092,-409.092,166
3,102,softmutate,4,2,-818.149,-409.075,160
3,76,Random,4,2,-818.126,-409.063,59
5,144,keptBest,4,2,-818.126,-409.063,59
6,182,keptBest,4,2,-818.126,-409.063,59
4,112,Random,4,2,-818.126,-409.063,59
4,107,keptBest,4,2,-818.126,-409.063,59
3,85,Heredity,4,2,-818.071,-409.036,156
4,124,Heredity,4,2,-818.039,-409.02,160
1,29,RandTop,4,2,-817.972,-408.986,156
6,199,Heredity,4,2,-817.962,-408.981,160
5,165,Random,4,2,-817.952,-408.976,156
5,179,Heredity,4,2,-817.915,-408.958,1
4,134,Permutate,2,1,-408.95,-408.95,160
2,44,Random,2,1,-408.95,-408.95,160
5,150,Heredity,4,2,-817.884,-408.942,1
5,169,softmutate,4,2,-817.865,-408.933,129
6,189,softmutate,4,2,-817.865,-408.933,129
6,185,Heredity,4,2,-817.865,-408.932,129
4,129,LatMutate,4,2,-817.864,-408.932,129
2,56,softmutate,4,2,-817.859,-408.93,129
5,145,keptBest,4,2,-817.771,-408.886,63
4,110,Heredity,4,2,-817.771,-408.886,63
6,183,keptBest,4,2,-817.771,-408.886,63
6,184,Heredity,4,2,-817.77,-408.885,63
4,116,softmutate,4,2,-817.77,-408.885,63
4,108,keptBest,4,2,-817.769,-408.884,63
2,32,keptBest,4,2,-817.769,-408.884,63
3,74,Heredity,4,2,-817.768,-408.884,63
3,70,keptBest,4,2,-817.769,-408.884,63
1,12,Random,4,2,-817.769,-408.884,63
5,163,Heredity,4,2,-817.765,-408.883,63
6,205,softmutate,4,2,-817.765,-408.882,63
3,105,softmutate,4,2,-817.762,-408.881,63
2,51,Heredity,4,2,-817.758,-408.879,63
5,171,softmutate,4,2,-817.754,-408.877,63
5,170,softmutate,4,2,-817.752,-408.876,8
3,83,Heredity,4,2,-817.75,-408.875,1
5,162,Heredity,4,2,-817.747,-408.873,1
4,139,Heredity,4,2,-817.747,-408.873,63
3,94,Heredity,4,2,-817.707,-408.853,1
3,103,Random,4,2,-817.698,-408.849,12
4,136,softmutate,4,2,-817.642,-408.821,12
3,88,softmutate,4,2,-817.641,-408.82,63
6,203,Heredity,4,2,-817.641,-408.82,63
6,202,Heredity,4,2,-817.632,-408.816,63
4,140,softmutate,4,2,-817.544,-408.772,11
1,13,Random,4,2,-817.528,-408.764,2
4,123,Heredity,4,2,-817.527,-408.764,2
2,39,Heredity,4,2,-817.524,-408.762,2
1,24,Random,4,2,-817.523,-408.761,2
2,50,Heredity,4,2,-817.462,-408.731,160
5,147,Heredity,4,2,-817.463,-408.731,160
6,186,Heredity,4,2,-817.457,-408.729,160
6,200,keptBest,2,1,-408.715,-408.715,21
5,161,keptBest,2,1,-408.715,-408.715,21
4,119,keptBest,2,1,-408.715,-408.715,21
3,82,keptBest,2,1,-408.715,-408.715,21
2,46,RandTop,2,1,-408.715,-408.715,21
4,138,Heredity,6,3,-1226.089,-408.696,6
5,152,Permutate,4,2,-817.377,-408.688,12
2,47,Heredity,4,2,-817.374,-408.687,12
4,127,Permutate,4,2,-817.364,-408.682,8
5,166,Permutate,4,2,-817.339,-408.669,1
6,204,Permutate,4,2,-817.333,-408.667,1
5,168,LatMutate,4,2,-817.314,-408.657,2
3,93,Heredity,4,2,-817.314,-408.657,2
5,146,keptBest,4,2,-817.311,-408.656,115
4,109,keptBest,4,2,-817.311,-408.656,115
1,14,RandTop,4,2,-817.311,-408.656,115
3,71,keptBest,4,2,-817.311,-408.656,115
2,33,keptBest,4,2,-817.311,-408.656,115
6,198,Heredity,4,2,-817.307,-408.654,2
2,55,softmutate,4,2,-817.307,-408.653,2
4,122,Heredity,4,2,-817.293,-408.646,2
1,23,Random,4,2,-817.29,-408.645,8
2,40,Heredity,4,2,-817.213,-408.607,8
2,34,keptBest,4,2,-817.106,-408.553,31
1,1,Random,4,2,-817.106,-408.553,31
3,72,keptBest,4,2,-817.106,-408.553,31
1,17,Random,2,1,-408.547,-408.547,8
5,151,Random,4,2,-817.05,-408.525,11
2,66,Random,4,2,-817.047,-408.524,11
4,117,Random,2,1,-408.509,-408.509,99
5,155,Heredity,2,1,-408.508,-408.508,99
2,59,RandTop,2,1,-408.507,-408.507,8
