Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,139,LatMutate,2,1,-222.64,-222.64,191
5,164,Heredity,2,1,-222.439,-222.439,191
5,180,softmutate,4,2,-444.354,-222.177,12
4,116,RandTop,4,2,-444.352,-222.176,12
5,163,softmutate,4,2,-444.352,-222.176,12
5,153,Heredity,4,2,-444.352,-222.176,12
5,172,keptBest,2,1,-222.169,-222.169,166
3,103,LatMutate,2,1,-222.169,-222.169,166
4,135,keptBest,2,1,-222.169,-222.169,166
3,106,RandTop,4,2,-444.337,-222.168,141
4,140,LatMutate,2,1,-222.147,-222.147,166
4,127,Random,2,1,-222.146,-222.146,166
2,33,keptBest,4,2,-444.288,-222.144,15
4,107,keptBest,4,2,-444.288,-222.144,15
1,26,RandTop,4,2,-444.288,-222.144,15
3,70,keptBest,4,2,-444.288,-222.144,15
1,7,Random,2,1,-222.14,-222.14,12
3,99,keptBest,2,1,-222.14,-222.14,12
2,56,keptBest,2,1,-222.14,-222.14,12
3,105,Heredity,4,2,-443.964,-221.982,2
2,57,Heredity,4,2,-443.645,-221.822,2
4,133,Heredity,4,2,-443.643,-221.822,2
4,132,Heredity,4,2,-443.643,-221.822,2
5,144,keptBest,4,2,-443.643,-221.822,2
2,62,softmutate,4,2,-443.639,-221.82,2
5,145,keptBest,4,2,-443.614,-221.807,7
1,2,Random,4,2,-443.614,-221.807,7
4,108,keptBest,4,2,-443.614,-221.807,7
2,34,keptBest,4,2,-443.614,-221.807,7
1,1,Random,4,2,-443.614,-221.807,7
3,71,keptBest,4,2,-443.614,-221.807,7
4,114,Random,4,2,-443.605,-221.803,2
3,72,keptBest,4,2,-443.528,-221.764,59
1,22,Random,4,2,-443.528,-221.764,59
2,35,keptBest,4,2,-443.528,-221.764,59
2,42,Random,4,2,-443.45,-221.725,8
2,61,softmutate,4,2,-443.446,-221.723,2
5,160,Permutate,4,2,-443.443,-221.722,2
4,119,Permutate,4,2,-443.44,-221.72,2
5,151,Heredity,4,2,-443.427,-221.714,2
3,86,softmutate,4,2,-443.426,-221.713,2
4,109,keptBest,4,2,-443.426,-221.713,2
4,120,softmutate,4,2,-443.423,-221.712,2
2,39,Heredity,4,2,-443.424,-221.712,2
5,147,Heredity,4,2,-443.405,-221.703,2
1,24,RandTop,4,2,-443.404,-221.702,2
4,136,Random,4,2,-443.405,-221.702,2
1,27,RandTop,4,2,-443.399,-221.7,59
4,138,softmutate,4,2,-443.385,-221.693,2
4,117,RandTop,4,2,-443.386,-221.693,2
5,176,softmutate,4,2,-443.382,-221.691,2
5,174,Random,4,2,-443.318,-221.659,12
5,146,keptBest,4,2,-443.312,-221.656,2
4,143,softmutate,4,2,-443.311,-221.656,2
4,121,softmutate,4,2,-443.312,-221.656,2
2,45,softmutate,4,2,-443.311,-221.656,2
3,78,Heredity,4,2,-443.31,-221.655,2
3,83,Permutate,4,2,-443.31,-221.655,2
3,85,softmutate,4,2,-443.311,-221.655,2
5,161,Permutate,4,2,-443.301,-221.65,25
1,30,RandTop,4,2,-443.3,-221.65,25
3,82,Permutate,4,2,-443.3,-221.65,25
4,118,Permutate,4,2,-443.297,-221.649,2
2,65,Heredity,6,3,-664.938,-221.646,1
2,37,Heredity,4,2,-443.26,-221.63,2
2,68,Heredity,6,3,-664.868,-221.623,1
2,59,RandTop,4,2,-443.241,-221.621,6
1,25,RandTop,4,2,-443.232,-221.616,2
2,69,softmutate,4,2,-443.154,-221.577,8
2,41,Random,4,2,-443.155,-221.577,8
2,58,Random,4,2,-443.15,-221.575,8
4,137,Random,4,2,-443.144,-221.572,12
5,156,Random,4,2,-443.143,-221.572,12
4,142,softmutate,4,2,-443.087,-221.543,2
1,29,Random,4,2,-443.079,-221.539,2
5,159,Permutate,4,2,-442.965,-221.483,4
2,43,RandTop,4,2,-442.965,-221.482,4
1,19,Random,4,2,-442.948,-221.474,38
3,84,LatMutate,4,2,-442.88,-221.44,8
4,112,Heredity,4,2,-442.801,-221.4,47
3,87,softmutate,4,2,-442.798,-221.399,8
3,100,Heredity,4,2,-442.794,-221.397,8
4,111,Heredity,4,2,-442.735,-221.368,1
5,155,Random,4,2,-442.688,-221.344,8
3,101,RandTop,4,2,-442.681,-221.341,2
1,5,RandTop,4,2,-442.681,-221.34,2
2,40,Heredity,4,2,-442.658,-221.329,2
3,97,Heredity,4,2,-442.656,-221.328,2
5,150,Heredity,4,2,-442.606,-221.303,12
1,23,Random,4,2,-442.54,-221.27,10
3,81,RandTop,4,2,-442.539,-221.27,10
1,21,Random,4,2,-442.533,-221.267,1
5,173,Heredity,4,2,-442.529,-221.264,1
1,20,Random,4,2,-441.861,-220.931,2
5,162,LatMutate,4,2,-441.415,-220.708,11
2,48,Heredity,2,1,-220.561,-220.561,25
5,158,RandTop,4,2,-441.073,-220.536,123
2,60,RandTop,4,2,-440.095,-220.048,119
2,50,Random,2,1,-220.023,-220.023,123
1,18,RandTop,2,1,-219.949,-219.949,65
5,167,Heredity,2,1,-219.949,-219.949,65
5,177,RandTop,2,1,-219.948,-219.948,65
5,157,Random,4,2,-439.831,-219.916,227
1,28,RandTop,4,2,-439.657,-219.829,65
1,14,Random,2,1,-219.785,-219.785,1
