Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,193,keptBest,4,2,-349.196,-174.598,8
2,51,Permutate,4,2,-348.954,-174.477,1
2,39,Random,4,2,-348.908,-174.454,129
5,164,softmutate,4,2,-348.796,-174.398,12
5,168,softmutate,4,2,-348.795,-174.398,12
6,196,keptBest,4,2,-348.796,-174.398,12
6,208,LatMutate,4,2,-348.761,-174.38,1
1,6,Random,4,2,-348.714,-174.357,2
2,34,Heredity,4,2,-348.713,-174.357,2
6,187,Random,4,2,-348.713,-174.357,2
2,47,keptBest,4,2,-348.714,-174.357,2
2,41,RandTop,4,2,-348.712,-174.356,2
3,91,softmutate,4,2,-348.711,-174.355,2
3,72,Heredity,4,2,-348.682,-174.341,2
4,134,Random,2,1,-174.312,-174.312,12
2,61,Random,2,1,-174.256,-174.256,12
2,64,RandTop,2,1,-174.256,-174.256,12
1,22,Random,2,1,-174.256,-174.256,12
3,89,LatMutate,4,2,-348.484,-174.242,12
2,52,LatMutate,4,2,-348.465,-174.233,2
2,43,Heredity,4,2,-348.463,-174.232,2
5,149,Random,4,2,-348.465,-174.232,64
6,190,Random,4,2,-348.462,-174.231,2
6,209,softmutate,4,2,-348.433,-174.216,2
3,69,Heredity,4,2,-348.433,-174.216,2
6,201,LatMutate,4,2,-348.431,-174.216,2
5,166,softmutate,4,2,-348.429,-174.214,2
5,154,Heredity,4,2,-348.424,-174.212,12
2,38,Random,4,2,-348.424,-174.212,1
5,145,Heredity,4,2,-348.418,-174.209,2
5,141,Heredity,4,2,-348.417,-174.209,2
3,67,Heredity,4,2,-348.416,-174.208,2
6,179,Heredity,4,2,-348.417,-174.208,2
3,74,Heredity,4,2,-348.415,-174.208,2
6,182,Heredity,4,2,-348.417,-174.208,2
6,184,Heredity,4,2,-348.417,-174.208,2
2,36,Heredity,4,2,-348.416,-174.208,2
3,88,LatMutate,4,2,-348.416,-174.208,2
1,1,Random,4,2,-348.414,-174.207,2
6,185,Heredity,4,2,-348.414,-174.207,2
3,95,softmutate,4,2,-348.414,-174.207,2
4,132,softmutate,4,2,-348.414,-174.207,2
5,144,Heredity,4,2,-348.414,-174.207,2
2,48,keptBest,4,2,-348.414,-174.207,2
2,54,softmutate,4,2,-348.395,-174.198,12
5,175,Permutate,2,1,-174.197,-174.197,12
2,37,Heredity,4,2,-348.393,-174.197,12
1,29,RandTop,2,1,-174.197,-174.197,12
2,60,Random,2,1,-174.194,-174.194,12
3,101,RandTop,2,1,-174.193,-174.193,12
3,98,Random,2,1,-174.193,-174.193,1
4,137,Random,2,1,-174.193,-174.193,12
3,102,Permutate,2,1,-174.193,-174.193,12
5,174,RandTop,2,1,-174.192,-174.192,12
6,204,softmutate,4,2,-348.385,-174.192,12
1,24,RandTop,2,1,-174.192,-174.192,12
2,65,RandTop,2,1,-174.175,-174.175,8
3,86,keptBest,4,2,-348.347,-174.173,8
2,42,Permutate,4,2,-348.347,-174.173,8
4,112,Heredity,4,2,-348.321,-174.16,2
4,109,Heredity,4,2,-348.32,-174.16,2
5,140,Heredity,4,2,-348.29,-174.145,1
6,203,keptBest,4,2,-348.29,-174.145,1
3,87,keptBest,4,2,-348.279,-174.139,8
2,49,keptBest,4,2,-348.279,-174.139,8
1,3,Random,4,2,-348.279,-174.139,8
5,171,RandTop,2,1,-174.134,-174.134,12
1,8,Random,4,2,-348.264,-174.132,1
1,17,RandTop,4,2,-348.214,-174.107,12
2,66,LatMutate,2,1,-174.106,-174.106,12
4,120,Heredity,4,2,-348.21,-174.105,1
6,199,Permutate,4,2,-348.149,-174.075,38
2,40,Random,4,2,-348.149,-174.075,12
5,146,Heredity,4,2,-348.146,-174.073,38
6,202,softmutate,4,2,-348.142,-174.071,12
2,33,Heredity,4,2,-348.135,-174.068,1
1,16,RandTop,4,2,-348.133,-174.067,1
5,161,RandTop,4,2,-348.123,-174.061,31
3,76,RandTop,4,2,-348.122,-174.061,31
3,80,Heredity,4,2,-348.113,-174.056,5
4,115,Random,4,2,-348.08,-174.04,38
5,159,keptBest,4,2,-348.08,-174.04,38
2,50,keptBest,4,2,-348.078,-174.039,38
3,93,softmutate,4,2,-348.078,-174.039,2
1,4,Random,4,2,-348.078,-174.039,38
4,108,Heredity,4,2,-348.057,-174.029,1
6,198,Permutate,4,2,-348.057,-174.028,1
5,160,keptBest,4,2,-348.043,-174.022,63
4,130,softmutate,4,2,-348.043,-174.022,63
6,186,Random,4,2,-348.043,-174.021,63
1,12,Random,4,2,-348.038,-174.019,1
6,205,softmutate,4,2,-348.009,-174.004,5
1,19,Random,2,1,-174.003,-174.003,44
4,135,Random,2,1,-174.001,-174.001,44
4,136,Random,2,1,-173.999,-173.999,44
1,13,Random,4,2,-347.993,-173.997,2
5,170,Random,2,1,-173.996,-173.996,44
6,192,RandTop,4,2,-347.989,-173.994,1
5,176,LatMutate,2,1,-173.984,-173.984,44
3,75,Random,4,2,-347.969,-173.984,1
6,206,softmutate,4,2,-347.966,-173.983,11
3,99,Random,2,1,-173.983,-173.983,44
5,173,RandTop,2,1,-173.981,-173.981,44
6,213,RandTop,2,1,-173.981,-173.981,44
1,23,RandTop,2,1,-173.981,-173.981,44
4,138,Permutate,2,1,-173.981,-173.981,44
4,110,Heredity,4,2,-347.963,-173.981,1
6,212,Random,2,1,-173.98,-173.98,44
2,62,RandTop,2,1,-173.98,-173.98,44
3,96,Heredity,2,1,-173.978,-173.978,44
3,103,LatMutate,2,1,-173.978,-173.978,8
1,27,RandTop,2,1,-173.977,-173.977,8
5,150,Random,4,2,-347.922,-173.961,1
6,189,RandTop,4,2,-347.919,-173.96,1
4,131,softmutate,4,2,-347.917,-173.958,1
5,172,RandTop,2,1,-173.94,-173.94,44
2,57,Heredity,2,1,-173.938,-173.938,44
6,211,Random,2,1,-173.938,-173.938,44
4,133,Random,2,1,-173.938,-173.938,44
6,180,Heredity,4,2,-347.852,-173.926,2
3,71,Heredity,4,2,-347.847,-173.924,2
4,106,Heredity,4,2,-347.828,-173.914,2
2,35,Heredity,4,2,-347.76,-173.88,1
5,147,Heredity,4,2,-347.703,-173.851,1
2,55,softmutate,4,2,-347.687,-173.844,5
3,78,Permutate,4,2,-347.63,-173.815,25
6,177,Heredity,4,2,-347.63,-173.815,25
5,165,softmutate,4,2,-347.627,-173.813,2
6,183,Heredity,4,2,-347.617,-173.809,5
6,207,RandTop,4,2,-347.556,-173.778,12
2,56,softmutate,4,2,-347.55,-173.775,2
1,14,Random,4,2,-347.526,-173.763,2
4,127,Permutate,4,2,-347.515,-173.758,1
3,70,Heredity,4,2,-347.468,-173.734,1
6,188,RandTop,4,2,-347.467,-173.733,6
2,45,Heredity,4,2,-347.442,-173.721,15
4,107,Heredity,4,2,-347.443,-173.721,15
1,9,RandTop,4,2,-347.419,-173.71,10
1,30,RandTop,2,1,-173.708,-173.708,12
1,2,Random,4,2,-347.391,-173.695,6
1,10,RandTop,4,2,-347.39,-173.695,6
3,83,Random,4,2,-347.385,-173.693,1
6,191,Random,4,2,-347.344,-173.672,1
1,5,Random,4,2,-347.261,-173.63,1
4,128,LatMutate,4,2,-347.25,-173.625,2
5,152,Random,4,2,-347.245,-173.622,2
4,114,Random,4,2,-347.241,-173.62,7
4,129,LatMutate,4,2,-347.231,-173.616,1
5,155,Random,4,2,-347.219,-173.609,5
3,73,Heredity,4,2,-347.198,-173.599,5
1,11,RandTop,4,2,-347.148,-173.574,6
3,97,Random,2,1,-173.468,-173.468,69
2,58,Heredity,2,1,-173.391,-173.391,12
1,20,Random,2,1,-173.328,-173.328,65
1,28,RandTop,2,1,-173.328,-173.328,65
2,63,RandTop,2,1,-173.327,-173.327,65
4,118,RandTop,4,2,-346.639,-173.32,191
1,26,RandTop,2,1,-173.294,-173.294,12
4,139,LatMutate,2,1,-173.269,-173.269,1
1,25,RandTop,2,1,-173.198,-173.198,47
3,100,RandTop,2,1,-173.198,-173.198,47
1,7,Random,4,2,-346.255,-173.128,47
1,18,Random,2,1,-172.802,-172.802,65
4,116,Random,4,2,-345.412,-172.706,65
3,68,Heredity,4,2,-345.312,-172.656,53
2,59,Heredity,2,1,-172.595,-172.595,6
1,31,RandTop,2,1,-172.591,-172.591,123
3,77,RandTop,4,2,-345.047,-172.523,131
1,21,Random,2,1,-172.485,-172.485,139
5,169,Random,2,1,-172.485,-172.485,139
