Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,108,keptBest,4,2,-919.803,-459.902,141
5,166,Random,4,2,-919.351,-459.675,20
6,184,keptBest,4,2,-919.351,-459.675,20
7,221,keptBest,4,2,-919.351,-459.675,20
3,70,keptBest,4,2,-919.031,-459.516,44
2,32,keptBest,4,2,-919.031,-459.516,44
1,24,RandTop,4,2,-919.031,-459.516,44
6,203,Random,4,2,-919.032,-459.516,44
4,109,keptBest,4,2,-918.736,-459.368,8
3,96,Heredity,4,2,-918.736,-459.368,8
6,185,keptBest,4,2,-918.736,-459.368,8
5,146,keptBest,4,2,-918.736,-459.368,8
7,222,keptBest,4,2,-918.736,-459.368,8
5,177,Heredity,4,2,-918.405,-459.203,164
4,130,Heredity,4,2,-918.402,-459.201,1
3,99,Random,4,2,-918.391,-459.195,40
4,118,Permutate,4,2,-918.254,-459.127,119
5,147,keptBest,4,2,-918.247,-459.123,2
3,74,Heredity,4,2,-918.247,-459.123,2
4,110,keptBest,4,2,-918.247,-459.123,2
1,28,Random,4,2,-918.217,-459.108,5
2,33,keptBest,4,2,-918.217,-459.108,5
3,71,keptBest,4,2,-918.217,-459.108,5
4,132,Heredity,4,2,-918.188,-459.094,12
4,129,Heredity,4,2,-918.111,-459.055,12
3,81,Permutate,4,2,-918.109,-459.054,12
6,195,LatMutate,4,2,-917.887,-458.943,2
7,223,keptBest,4,2,-917.887,-458.943,2
2,67,Heredity,4,2,-917.886,-458.943,1
4,134,softmutate,4,2,-917.883,-458.942,2
7,238,Heredity,4,2,-917.832,-458.916,1
2,65,softmutate,4,2,-917.801,-458.901,2
2,63,softmutate,4,2,-917.793,-458.896,2
5,159,softmutate,4,2,-917.785,-458.892,2
6,212,Heredity,4,2,-917.783,-458.892,2
3,93,Heredity,4,2,-917.783,-458.891,2
3,82,LatMutate,4,2,-917.782,-458.891,2
4,117,Heredity,4,2,-917.778,-458.889,2
4,127,Heredity,4,2,-917.767,-458.883,1
4,143,Permutate,4,2,-917.702,-458.851,1
6,211,Heredity,6,3,-1376.547,-458.849,1
4,140,softmutate,4,2,-917.685,-458.843,4
3,91,Heredity,4,2,-917.68,-458.84,4
3,85,softmutate,4,2,-917.676,-458.838,2
5,148,keptBest,4,2,-917.676,-458.838,2
4,111,keptBest,4,2,-917.676,-458.838,2
