Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
12,401,keptBest,4,2,-547.165,-273.583,2
13,439,keptBest,4,2,-547.093,-273.547,12
10,356,Random,2,1,-273.512,-273.512,166
11,377,Heredity,4,2,-546.764,-273.382,1
6,207,softmutate,4,2,-546.758,-273.379,1
11,368,Heredity,4,2,-546.758,-273.379,2
9,308,Random,4,2,-546.738,-273.369,1
9,312,Permutate,4,2,-546.737,-273.368,1
12,411,Heredity,4,2,-546.728,-273.364,1
12,417,Permutate,4,2,-546.72,-273.36,44
8,275,Heredity,4,2,-546.69,-273.345,2
3,71,keptBest,4,2,-546.691,-273.345,2
2,53,Random,4,2,-546.691,-273.345,2
5,147,keptBest,4,2,-546.687,-273.344,2
4,128,Random,4,2,-546.687,-273.344,2
9,317,Heredity,4,2,-546.687,-273.343,2
11,373,Heredity,4,2,-546.669,-273.334,2
13,464,softmutate,4,2,-546.66,-273.33,164
10,334,Heredity,4,2,-546.653,-273.327,12
12,406,Heredity,4,2,-546.653,-273.326,12
6,216,softmutate,4,2,-546.652,-273.326,12
3,78,Heredity,4,2,-546.653,-273.326,12
11,371,Heredity,4,2,-546.652,-273.326,12
2,58,softmutate,4,2,-546.652,-273.326,12
8,277,Permutate,4,2,-546.652,-273.326,12
8,259,keptBest,4,2,-546.652,-273.326,12
7,220,keptBest,4,2,-546.652,-273.326,12
11,390,softmutate,4,2,-546.65,-273.325,12
2,67,softmutate,4,2,-546.65,-273.325,156
13,452,Random,4,2,-546.631,-273.316,6
5,157,LatMutate,4,2,-546.632,-273.316,6
4,130,LatMutate,4,2,-546.627,-273.314,12
5,148,keptBest,4,2,-546.627,-273.314,12
11,374,Heredity,4,2,-546.614,-273.307,2
12,408,Heredity,4,2,-546.611,-273.305,2
12,407,Heredity,4,2,-546.61,-273.305,2
13,456,Permutate,4,2,-546.611,-273.305,1
10,338,Heredity,4,2,-546.607,-273.304,2
11,378,Heredity,4,2,-546.606,-273.303,2
3,82,softmutate,4,2,-546.607,-273.303,2
4,110,Heredity,4,2,-546.605,-273.303,2
3,73,Heredity,4,2,-546.605,-273.302,2
11,372,Heredity,4,2,-546.592,-273.296,164
12,405,keptBest,4,2,-546.593,-273.296,164
7,221,keptBest,4,2,-546.592,-273.296,164
12,421,softmutate,4,2,-546.593,-273.296,164
11,387,softmutate,4,2,-546.593,-273.296,164
10,332,keptBest,4,2,-546.592,-273.296,164
13,442,keptBest,4,2,-546.593,-273.296,164
8,260,keptBest,4,2,-546.592,-273.296,164
11,366,keptBest,4,2,-546.592,-273.296,164
6,190,softmutate,4,2,-546.592,-273.296,164
4,133,softmutate,4,2,-546.593,-273.296,164
2,42,softmutate,4,2,-546.593,-273.296,164
9,300,Heredity,4,2,-546.592,-273.296,164
7,246,softmutate,4,2,-546.588,-273.294,2
3,96,Permutate,4,2,-546.58,-273.29,1
9,307,Heredity,4,2,-546.577,-273.289,2
3,104,Permutate,4,2,-546.569,-273.284,8
3,97,softmutate,4,2,-546.56,-273.28,12
3,85,softmutate,4,2,-546.551,-273.276,1
7,251,Random,4,2,-546.547,-273.273,2
10,344,Random,4,2,-546.546,-273.273,2
3,106,softmutate,4,2,-546.538,-273.269,2
13,460,LatMutate,4,2,-546.538,-273.269,164
4,115,softmutate,4,2,-546.538,-273.269,2
5,160,softmutate,4,2,-546.539,-273.269,2
4,123,Heredity,4,2,-546.534,-273.267,11
2,59,softmutate,4,2,-546.511,-273.255,1
9,302,Heredity,4,2,-546.506,-273.253,2
6,202,Random,4,2,-546.504,-273.252,1
9,309,Random,4,2,-546.496,-273.248,11
