Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,111,keptBest,4,2,-1677.629,-838.815,12
4,98,keptBest,2,1,-838.694,-838.694,12
4,77,Heredity,4,2,-1677.213,-838.606,12
4,86,softmutate,4,2,-1677.202,-838.601,12
4,90,Heredity,2,1,-838.596,-838.596,71
5,114,Heredity,2,1,-838.594,-838.594,71
2,51,LatMutate,2,1,-838.574,-838.574,71
2,39,Heredity,2,1,-838.573,-838.573,71
3,73,LatMutate,2,1,-838.57,-838.57,71
4,94,Random,2,1,-838.568,-838.568,71
2,41,Heredity,2,1,-838.556,-838.556,71
1,26,RandTop,2,1,-838.548,-838.548,71
4,97,LatMutate,2,1,-838.548,-838.548,71
5,113,Heredity,2,1,-838.548,-838.548,71
2,42,Heredity,2,1,-838.545,-838.545,71
4,91,Heredity,2,1,-838.545,-838.545,71
2,50,LatMutate,2,1,-838.54,-838.54,1
4,95,Random,2,1,-838.539,-838.539,71
3,74,LatMutate,2,1,-838.536,-838.536,71
3,70,Random,2,1,-838.532,-838.532,71
2,43,Random,2,1,-838.531,-838.531,71
1,18,Random,2,1,-838.53,-838.53,71
2,32,Heredity,4,2,-1677.049,-838.524,225
4,93,Random,2,1,-838.521,-838.521,71
1,25,RandTop,2,1,-838.521,-838.521,71
1,24,RandTop,2,1,-838.504,-838.504,71
3,64,softmutate,4,2,-1676.915,-838.457,12
5,120,LatMutate,2,1,-838.444,-838.444,1
5,99,Heredity,4,2,-1676.813,-838.406,12
3,59,Random,4,2,-1676.783,-838.392,140
4,89,keptBest,4,2,-1676.783,-838.392,140
5,112,keptBest,4,2,-1676.783,-838.392,140
4,80,RandTop,4,2,-1676.762,-838.381,59
1,9,Random,4,2,-1676.731,-838.366,2
1,20,Random,2,1,-838.362,-838.362,12
5,108,Permutate,4,2,-1676.639,-838.32,1
4,78,Heredity,4,2,-1676.482,-838.241,8
1,15,RandTop,4,2,-1676.462,-838.231,13
2,38,keptBest,4,2,-1676.462,-838.231,13
3,68,keptBest,4,2,-1676.462,-838.231,13
3,61,RandTop,4,2,-1676.401,-838.2,4
5,103,Random,4,2,-1676.375,-838.187,1
5,107,RandTop,4,2,-1676.336,-838.168,8
1,14,RandTop,4,2,-1676.324,-838.162,1
1,10,Random,4,2,-1676.201,-838.101,2
5,105,Random,4,2,-1676.189,-838.094,2
1,16,RandTop,4,2,-1676.143,-838.071,25
5,106,RandTop,4,2,-1676.136,-838.068,25
1,4,Random,4,2,-1676.133,-838.066,5
1,7,Random,4,2,-1676.132,-838.066,1
3,60,Random,4,2,-1676.122,-838.061,5
4,83,Permutate,4,2,-1676.117,-838.059,1
5,104,Random,4,2,-1676.084,-838.042,1
4,81,RandTop,4,2,-1676.07,-838.035,123
1,11,RandTop,4,2,-1676.067,-838.034,123
3,55,Heredity,4,2,-1676.062,-838.031,25
2,35,RandTop,4,2,-1676.015,-838.007,1
2,49,Permutate,2,1,-837.991,-837.991,5
5,109,softmutate,4,2,-1675.978,-837.989,12
1,30,RandTop,2,1,-837.973,-837.973,123
1,12,RandTop,4,2,-1675.934,-837.967,8
4,79,Heredity,4,2,-1675.919,-837.96,1
4,84,softmutate,4,2,-1675.916,-837.958,2
4,87,softmutate,4,2,-1675.904,-837.952,2
1,21,Random,2,1,-837.946,-837.946,38
2,33,Heredity,4,2,-1675.882,-837.941,2
5,117,RandTop,2,1,-837.929,-837.929,123
1,19,Random,2,1,-837.927,-837.927,123
5,110,softmutate,4,2,-1675.853,-837.927,12
1,22,Random,2,1,-837.927,-837.927,123
3,66,softmutate,4,2,-1675.838,-837.919,1
3,71,RandTop,2,1,-837.917,-837.917,12
1,5,Random,4,2,-1675.831,-837.915,12
3,63,LatMutate,4,2,-1675.799,-837.9,1
5,101,Heredity,4,2,-1675.791,-837.896,1
2,48,Permutate,2,1,-837.891,-837.891,44
2,45,Random,2,1,-837.867,-837.867,123
1,29,RandTop,2,1,-837.864,-837.864,139
1,2,Random,4,2,-1675.724,-837.862,74
1,3,Random,4,2,-1675.722,-837.861,74
1,8,Random,4,2,-1675.723,-837.861,194
5,116,RandTop,2,1,-837.853,-837.853,12
2,40,Heredity,2,1,-837.85,-837.85,5
3,69,Heredity,2,1,-837.846,-837.846,12
1,28,RandTop,2,1,-837.844,-837.844,12
1,6,Random,4,2,-1675.679,-837.84,12
4,92,Heredity,2,1,-837.83,-837.83,123
2,31,Heredity,4,2,-1675.65,-837.825,1
2,36,softmutate,4,2,-1675.634,-837.817,2
5,102,Heredity,4,2,-1675.609,-837.805,1
3,58,Heredity,4,2,-1675.598,-837.799,1
5,115,Heredity,2,1,-837.792,-837.792,8
5,119,LatMutate,2,1,-837.79,-837.79,8
3,54,Heredity,4,2,-1675.538,-837.769,1
1,13,RandTop,4,2,-1675.482,-837.741,63
3,53,Heredity,4,2,-1675.42,-837.71,11
3,65,softmutate,4,2,-1675.404,-837.702,1
5,100,Heredity,4,2,-1675.348,-837.674,1
3,56,Heredity,4,2,-1675.333,-837.667,1
2,44,Random,2,1,-837.618,-837.618,12
2,46,RandTop,2,1,-837.599,-837.599,12
4,96,LatMutate,2,1,-837.597,-837.597,12
2,34,Heredity,4,2,-1675.185,-837.593,38
1,17,Random,2,1,-837.534,-837.534,1
3,72,Permutate,2,1,-837.534,-837.534,1
5,118,Permutate,2,1,-837.534,-837.534,1
1,27,RandTop,2,1,-837.5,-837.5,5
4,85,softmutate,4,2,-1674.252,-837.126,2
2,47,RandTop,2,1,-837.098,-837.098,47
