Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
9,206,keptBest,4,2,-4748.354,-2374.177,227
9,207,keptBest,4,2,-4748.096,-2374.048,11
9,198,Random,4,2,-4747.947,-2373.973,63
8,177,RandTop,4,2,-4747.841,-2373.92,11
1,11,Random,4,2,-4747.747,-2373.874,63
4,92,keptBest,4,2,-4747.747,-2373.874,63
3,67,keptBest,4,2,-4747.747,-2373.874,63
5,115,keptBest,4,2,-4747.747,-2373.874,63
2,46,keptBest,4,2,-4747.747,-2373.874,63
6,140,keptBest,4,2,-4747.747,-2373.874,63
2,47,keptBest,4,2,-4747.555,-2373.778,11
5,116,keptBest,4,2,-4747.555,-2373.778,11
4,93,keptBest,4,2,-4747.555,-2373.778,11
1,18,RandTop,4,2,-4747.555,-2373.778,11
6,141,keptBest,4,2,-4747.555,-2373.778,11
3,68,keptBest,4,2,-4747.555,-2373.778,11
1,6,Random,4,2,-4747.473,-2373.736,11
7,155,Permutate,4,2,-4747.466,-2373.733,11
8,178,RandTop,4,2,-4747.458,-2373.729,11
1,5,Random,4,2,-4747.429,-2373.714,11
1,4,Random,4,2,-4747.367,-2373.684,11
4,83,Random,4,2,-4747.315,-2373.657,63
4,85,RandTop,4,2,-4747.307,-2373.653,63
9,208,keptBest,4,2,-4747.175,-2373.587,127
8,176,RandTop,4,2,-4747.175,-2373.587,127
8,184,keptBest,4,2,-4747.169,-2373.584,127
6,129,Random,4,2,-4747.169,-2373.584,127
7,162,keptBest,4,2,-4747.169,-2373.584,127
3,69,keptBest,4,2,-4747.157,-2373.578,127
1,16,RandTop,4,2,-4747.157,-2373.578,127
2,48,keptBest,4,2,-4747.157,-2373.578,127
4,94,keptBest,4,2,-4747.157,-2373.578,127
5,117,keptBest,4,2,-4747.157,-2373.578,127
2,41,Permutate,4,2,-4747.125,-2373.563,59
1,1,Random,4,2,-4747.118,-2373.559,12
4,84,RandTop,4,2,-4747.048,-2373.524,59
1,8,Random,4,2,-4746.927,-2373.464,187
4,87,Permutate,4,2,-4746.926,-2373.463,187
5,110,Permutate,4,2,-4746.926,-2373.463,187
6,134,Permutate,4,2,-4746.916,-2373.458,187
6,132,RandTop,4,2,-4746.875,-2373.437,59
4,97,Permutate,2,1,-2373.43,-2373.43,71
5,121,Permutate,2,1,-2373.43,-2373.43,71
8,174,Random,4,2,-4746.845,-2373.422,11
8,189,Permutate,2,1,-2373.421,-2373.421,71
2,32,Heredity,4,2,-4746.821,-2373.41,2
5,99,Heredity,4,2,-4746.82,-2373.41,11
6,123,Heredity,4,2,-4746.802,-2373.401,11
3,75,LatMutate,2,1,-2373.385,-2373.385,71
4,79,Heredity,4,2,-4746.742,-2373.371,11
6,125,Heredity,4,2,-4746.716,-2373.358,11
5,105,Heredity,4,2,-4746.672,-2373.336,2
3,63,Permutate,4,2,-4746.665,-2373.332,25
1,17,RandTop,4,2,-4746.636,-2373.318,191
3,71,Random,2,1,-2373.307,-2373.307,139
8,190,LatMutate,2,1,-2373.305,-2373.305,71
9,197,Random,4,2,-4746.604,-2373.302,12
1,15,RandTop,4,2,-4746.602,-2373.301,139
9,211,Random,2,1,-2373.3,-2373.3,71
1,12,RandTop,4,2,-4746.595,-2373.298,12
6,131,RandTop,4,2,-4746.576,-2373.288,191
8,179,Permutate,4,2,-4746.566,-2373.283,160
9,202,Permutate,4,2,-4746.566,-2373.283,160
4,98,LatMutate,2,1,-2373.278,-2373.278,71
1,7,Random,4,2,-4746.545,-2373.273,123
9,193,Heredity,4,2,-4746.522,-2373.261,11
5,103,Heredity,4,2,-4746.512,-2373.256,11
1,3,Random,4,2,-4746.464,-2373.232,139
7,153,RandTop,4,2,-4746.44,-2373.22,1
2,40,RandTop,4,2,-4746.44,-2373.22,11
9,199,RandTop,4,2,-4746.429,-2373.215,12
1,9,Random,4,2,-4746.428,-2373.214,12
2,35,Heredity,4,2,-4746.418,-2373.209,2
1,26,RandTop,2,1,-2373.208,-2373.208,191
4,81,Heredity,4,2,-4746.388,-2373.194,63
7,165,Random,2,1,-2373.187,-2373.187,12
3,61,RandTop,4,2,-4746.36,-2373.18,191
6,130,Random,4,2,-4746.345,-2373.173,63
2,43,LatMutate,4,2,-4746.328,-2373.164,15
2,53,Random,2,1,-2373.15,-2373.15,191
4,80,Heredity,4,2,-4746.271,-2373.136,63
1,19,RandTop,4,2,-4746.269,-2373.134,65
6,124,Heredity,4,2,-4746.265,-2373.132,11
2,36,Heredity,4,2,-4746.251,-2373.126,11
6,122,Heredity,4,2,-4746.249,-2373.124,11
4,86,Permutate,4,2,-4746.246,-2373.123,6
9,194,Heredity,4,2,-4746.242,-2373.121,11
8,172,Heredity,4,2,-4746.243,-2373.121,2
2,51,Random,2,1,-2373.101,-2373.101,191
3,73,Random,2,1,-2373.076,-2373.076,12
2,37,Heredity,4,2,-4746.124,-2373.062,11
9,201,Permutate,4,2,-4746.107,-2373.053,8
4,76,Heredity,4,2,-4746.097,-2373.049,11
3,59,Heredity,4,2,-4746.093,-2373.046,11
3,54,Heredity,4,2,-4746.085,-2373.042,2
1,2,Random,4,2,-4746.079,-2373.04,71
1,28,RandTop,2,1,-2373.037,-2373.037,191
7,164,Random,2,1,-2373.03,-2373.03,12
1,24,Random,2,1,-2373.026,-2373.026,191
1,13,RandTop,4,2,-4746.043,-2373.021,47
9,196,Heredity,4,2,-4746.042,-2373.021,11
8,170,Heredity,4,2,-4746.038,-2373.019,11
3,62,Permutate,4,2,-4746.029,-2373.015,8
8,169,Heredity,4,2,-4746.003,-2373.002,2
7,147,Heredity,4,2,-4746.001,-2373.0,11
6,128,Heredity,4,2,-4745.995,-2372.998,11
3,57,Heredity,4,2,-4745.977,-2372.989,2
2,42,Permutate,4,2,-4745.948,-2372.974,160
5,102,Heredity,4,2,-4745.934,-2372.967,11
8,185,Random,2,1,-2372.967,-2372.967,12
5,108,Random,4,2,-4745.915,-2372.958,164
7,167,RandTop,2,1,-2372.949,-2372.949,71
1,29,RandTop,2,1,-2372.947,-2372.947,191
1,14,RandTop,4,2,-4745.873,-2372.937,10
3,58,Heredity,4,2,-4745.87,-2372.935,2
1,27,RandTop,2,1,-2372.913,-2372.913,191
9,200,RandTop,4,2,-4745.801,-2372.9,191
9,210,Random,2,1,-2372.89,-2372.89,71
8,188,RandTop,2,1,-2372.878,-2372.878,65
6,144,Random,2,1,-2372.86,-2372.86,65
2,50,Random,2,1,-2372.855,-2372.855,139
2,39,RandTop,4,2,-4745.685,-2372.843,2
8,168,Heredity,4,2,-4745.638,-2372.819,2
4,91,softmutate,4,2,-4745.578,-2372.789,2
7,158,softmutate,4,2,-4745.521,-2372.761,71
3,70,Random,2,1,-2372.756,-2372.756,12
5,118,Random,2,1,-2372.753,-2372.753,12
4,78,Heredity,4,2,-4745.487,-2372.744,14
4,77,Heredity,4,2,-4745.478,-2372.739,127
9,191,Heredity,4,2,-4745.467,-2372.733,139
1,20,Random,2,1,-2372.725,-2372.725,65
2,38,Heredity,4,2,-4745.407,-2372.704,11
4,90,softmutate,4,2,-4745.395,-2372.698,2
7,157,LatMutate,4,2,-4745.37,-2372.685,2
6,127,Heredity,4,2,-4745.325,-2372.662,2
1,10,Random,4,2,-4745.307,-2372.653,25
7,152,RandTop,4,2,-4745.301,-2372.651,71
8,186,RandTop,2,1,-2372.633,-2372.633,12
7,166,RandTop,2,1,-2372.628,-2372.628,123
2,44,softmutate,4,2,-4745.254,-2372.627,2
1,22,Random,2,1,-2372.624,-2372.624,123
8,187,RandTop,2,1,-2372.616,-2372.616,123
2,31,Heredity,4,2,-4745.215,-2372.607,11
6,142,Heredity,2,1,-2372.595,-2372.595,123
9,203,LatMutate,4,2,-4745.187,-2372.594,10
5,120,RandTop,2,1,-2372.592,-2372.592,12
7,149,Heredity,4,2,-4745.176,-2372.588,8
6,143,Random,2,1,-2372.581,-2372.581,123
7,163,Random,2,1,-2372.575,-2372.575,123
1,25,Random,2,1,-2372.564,-2372.564,123
6,136,LatMutate,4,2,-4745.098,-2372.549,2
5,100,Heredity,4,2,-4745.08,-2372.54,2
8,173,Heredity,4,2,-4745.066,-2372.533,2
3,65,softmutate,4,2,-4745.046,-2372.523,12
6,126,Heredity,4,2,-4745.036,-2372.518,2
1,30,RandTop,2,1,-2372.506,-2372.506,123
1,21,Random,2,1,-2372.505,-2372.505,123
9,212,RandTop,2,1,-2372.499,-2372.499,123
2,52,RandTop,2,1,-2372.498,-2372.498,123
5,119,RandTop,2,1,-2372.495,-2372.495,123
4,89,softmutate,4,2,-4744.958,-2372.479,2
7,156,LatMutate,4,2,-4744.915,-2372.457,6
7,150,Heredity,4,2,-4744.897,-2372.449,12
4,88,LatMutate,4,2,-4744.82,-2372.41,2
3,60,Heredity,4,2,-4744.804,-2372.402,65
9,192,Heredity,4,2,-4744.801,-2372.401,12
2,45,softmutate,4,2,-4744.796,-2372.398,2
2,34,Heredity,4,2,-4744.785,-2372.393,65
