Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,134,keptBest,4,2,-2085.681,-1042.841,166
6,140,Permutate,2,1,-1042.793,-1042.793,187
3,62,RandTop,4,2,-2085.491,-1042.746,5
5,109,RandTop,4,2,-2085.418,-1042.709,11
8,175,Random,4,2,-2085.274,-1042.637,2
5,107,Random,4,2,-2085.262,-1042.631,2
6,133,softmutate,4,2,-2085.248,-1042.624,12
2,44,softmutate,4,2,-2085.246,-1042.623,2
6,122,Heredity,4,2,-2085.234,-1042.617,5
4,97,LatMutate,2,1,-1042.615,-1042.615,8
6,143,LatMutate,2,1,-1042.61,-1042.61,8
9,195,Heredity,4,2,-2085.215,-1042.607,11
6,128,Heredity,4,2,-2085.208,-1042.604,2
1,16,RandTop,4,2,-2085.204,-1042.602,84
1,12,RandTop,4,2,-2085.201,-1042.6,84
5,108,Random,4,2,-2085.193,-1042.596,84
4,83,Random,4,2,-2085.18,-1042.59,84
2,32,Heredity,4,2,-2085.179,-1042.589,2
5,101,Heredity,4,2,-2085.165,-1042.583,2
9,198,Random,4,2,-2085.143,-1042.571,2
2,38,Random,4,2,-2085.123,-1042.561,44
3,67,keptBest,4,2,-2085.123,-1042.561,44
4,89,keptBest,4,2,-2085.123,-1042.561,44
1,8,Random,4,2,-2085.031,-1042.516,8
6,131,RandTop,4,2,-2085.013,-1042.507,1
5,106,Random,4,2,-2084.985,-1042.492,1
2,43,Permutate,4,2,-2084.978,-1042.489,1
2,45,softmutate,4,2,-2084.972,-1042.486,2
4,77,Heredity,4,2,-2084.961,-1042.48,2
6,126,Heredity,4,2,-2084.935,-1042.468,44
7,149,Heredity,4,2,-2084.895,-1042.448,2
2,40,Random,4,2,-2084.82,-1042.41,44
7,152,RandTop,4,2,-2084.816,-1042.408,5
3,57,Heredity,4,2,-2084.765,-1042.383,5
8,174,Heredity,4,2,-2084.76,-1042.38,8
5,99,Heredity,4,2,-2084.751,-1042.375,44
6,124,Heredity,4,2,-2084.719,-1042.36,2
1,3,Random,4,2,-2084.608,-1042.304,12
7,147,Heredity,4,2,-2084.605,-1042.303,160
9,191,Heredity,4,2,-2084.54,-1042.27,1
4,80,Heredity,4,2,-2084.523,-1042.262,44
1,14,RandTop,4,2,-2084.511,-1042.255,38
5,100,Heredity,4,2,-2084.5,-1042.25,1
8,181,softmutate,4,2,-2084.49,-1042.245,2
8,182,softmutate,4,2,-2084.475,-1042.238,2
3,58,Heredity,4,2,-2084.458,-1042.229,8
9,209,RandTop,2,1,-1042.219,-1042.219,12
4,91,Heredity,2,1,-1042.218,-1042.218,12
1,29,RandTop,2,1,-1042.218,-1042.218,12
