Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,160,keptBest,4,2,-1994.679,-997.339,164
6,205,RandTop,4,2,-1994.276,-997.138,166
7,234,Heredity,4,2,-1994.269,-997.135,166
7,233,Heredity,4,2,-1994.266,-997.133,166
7,232,Heredity,4,2,-1994.25,-997.125,1
4,129,Permutate,4,2,-1994.197,-997.098,11
5,168,Permutate,4,2,-1994.19,-997.095,11
6,198,keptBest,4,2,-1994.19,-997.095,11
2,43,Permutate,4,2,-1994.189,-997.094,11
4,118,Random,4,2,-1994.189,-997.094,11
3,83,keptBest,4,2,-1994.189,-997.094,11
5,169,LatMutate,4,2,-1994.185,-997.092,2
6,199,keptBest,4,2,-1994.185,-997.092,2
4,120,Heredity,4,2,-1994.149,-997.075,12
6,192,Heredity,4,2,-1994.136,-997.068,11
6,207,LatMutate,4,2,-1994.12,-997.06,2
5,165,Permutate,4,2,-1994.111,-997.055,11
5,149,Heredity,4,2,-1994.063,-997.032,11
6,212,softmutate,4,2,-1994.062,-997.031,1
7,246,softmutate,4,2,-1994.055,-997.027,2
3,89,Permutate,4,2,-1994.048,-997.024,2
7,231,RandTop,4,2,-1994.044,-997.022,11
4,132,softmutate,4,2,-1994.037,-997.018,2
6,188,Heredity,4,2,-1994.009,-997.005,12
5,153,Random,4,2,-1994.009,-997.004,11
5,152,Heredity,4,2,-1994.009,-997.004,11
3,71,Heredity,4,2,-1993.967,-996.983,11
3,73,Heredity,4,2,-1993.966,-996.983,11
2,33,Heredity,4,2,-1993.948,-996.974,11
6,194,Heredity,4,2,-1993.922,-996.961,11
3,82,RandTop,4,2,-1993.887,-996.944,11
6,181,Heredity,4,2,-1993.888,-996.944,11
5,172,softmutate,4,2,-1993.879,-996.94,11
3,91,Permutate,4,2,-1993.832,-996.916,2
5,150,Heredity,4,2,-1993.802,-996.901,2
3,77,Heredity,4,2,-1993.798,-996.899,2
2,44,keptBest,4,2,-1993.696,-996.848,2
1,4,Random,4,2,-1993.696,-996.848,2
2,34,Heredity,4,2,-1993.691,-996.846,12
6,193,Heredity,4,2,-1993.671,-996.836,2
7,225,Heredity,4,2,-1993.67,-996.835,11
4,122,Heredity,4,2,-1993.63,-996.815,2
6,195,Heredity,4,2,-1993.603,-996.802,12
5,161,keptBest,4,2,-1993.583,-996.791,2
7,236,keptBest,4,2,-1993.583,-996.791,2
4,135,LatMutate,4,2,-1993.583,-996.791,2
6,200,keptBest,4,2,-1993.583,-996.791,2
3,74,Heredity,4,2,-1993.567,-996.783,2
4,134,LatMutate,4,2,-1993.484,-996.742,2
6,190,Heredity,4,2,-1993.449,-996.725,2
2,52,LatMutate,4,2,-1993.396,-996.698,12
1,5,Random,4,2,-1993.376,-996.688,2
7,252,softmutate,4,2,-1993.366,-996.683,2
2,58,softmutate,4,2,-1993.348,-996.674,2
3,106,softmutate,4,2,-1993.313,-996.656,2
2,38,Heredity,4,2,-1993.295,-996.648,2
2,39,Heredity,4,2,-1993.1,-996.55,2
5,173,softmutate,4,2,-1993.02,-996.51,2
5,177,softmutate,4,2,-1993.021,-996.51,2
6,203,keptBest,4,2,-1993.021,-996.51,2
5,154,Heredity,4,2,-1992.981,-996.491,2
3,81,Random,4,2,-1992.957,-996.479,12
3,78,Heredity,4,2,-1992.892,-996.446,2
4,125,keptBest,4,2,-1992.892,-996.446,2
5,163,Random,4,2,-1992.88,-996.44,12
5,155,Heredity,4,2,-1992.789,-996.395,2
2,40,Heredity,4,2,-1992.781,-996.391,2
2,57,softmutate,4,2,-1992.775,-996.388,2
4,137,softmutate,4,2,-1992.7,-996.35,2
4,131,Permutate,4,2,-1992.665,-996.333,1
4,128,Permutate,4,2,-1992.651,-996.325,6
1,1,Random,4,2,-1992.645,-996.322,40
7,243,LatMutate,4,2,-1992.553,-996.276,12
2,37,Heredity,4,2,-1992.458,-996.229,2
5,159,Random,4,2,-1992.388,-996.194,8
1,13,RandTop,4,2,-1992.307,-996.153,6
5,148,Heredity,4,2,-1992.303,-996.151,8
4,121,Heredity,4,2,-1992.296,-996.148,1
5,158,Heredity,4,2,-1992.292,-996.146,2
3,93,softmutate,4,2,-1992.284,-996.142,2
5,145,Heredity,4,2,-1992.171,-996.086,1
6,204,Permutate,4,2,-1992.145,-996.072,63
3,72,Heredity,4,2,-1992.074,-996.037,2
5,146,Heredity,4,2,-1992.025,-996.013,1
3,96,LatMutate,4,2,-1991.874,-995.937,11
2,63,Heredity,2,1,-995.881,-995.881,166
4,142,Permutate,2,1,-995.881,-995.881,166
4,130,keptBest,2,1,-995.881,-995.881,166
5,166,keptBest,2,1,-995.881,-995.881,166
3,94,keptBest,2,1,-995.881,-995.881,166
5,174,Random,2,1,-995.88,-995.88,166
7,242,keptBest,2,1,-995.879,-995.879,166
6,216,LatMutate,2,1,-995.879,-995.879,166
2,62,Heredity,2,1,-995.877,-995.877,166
2,60,Heredity,2,1,-995.877,-995.877,166
4,112,Heredity,4,2,-1991.743,-995.871,2
5,180,LatMutate,2,1,-995.859,-995.859,1
7,237,keptBest,4,2,-1991.696,-995.848,8
6,187,Random,4,2,-1991.696,-995.848,8
2,69,LatMutate,2,1,-995.844,-995.844,12
2,54,keptBest,2,1,-995.842,-995.842,12
1,7,Random,2,1,-995.842,-995.842,12
4,139,softmutate,4,2,-1991.684,-995.842,2
1,18,Random,2,1,-995.839,-995.839,12
1,10,Random,2,1,-995.799,-995.799,12
7,254,Random,2,1,-995.75,-995.75,12
7,221,Heredity,4,2,-1991.495,-995.748,2
4,126,keptBest,4,2,-1991.413,-995.706,1
2,36,Heredity,4,2,-1991.413,-995.706,1
5,162,keptBest,4,2,-1991.413,-995.706,1
3,84,keptBest,4,2,-1991.413,-995.706,1
3,104,Random,2,1,-995.704,-995.704,12
4,116,Heredity,4,2,-1991.376,-995.688,31
1,22,Random,2,1,-995.677,-995.677,2
3,76,Heredity,4,2,-1991.334,-995.667,31
7,238,keptBest,4,2,-1991.243,-995.621,12
6,182,Heredity,4,2,-1991.243,-995.621,12
2,67,Random,2,1,-995.614,-995.614,12
4,115,Heredity,4,2,-1991.22,-995.61,1
3,85,keptBest,4,2,-1991.196,-995.598,5
2,51,Random,4,2,-1991.196,-995.598,5
7,228,Random,4,2,-1991.134,-995.567,1
2,61,Heredity,2,1,-995.558,-995.558,8
1,6,Random,2,1,-995.511,-995.511,12
5,175,RandTop,2,1,-995.491,-995.491,12
3,98,Random,2,1,-995.485,-995.485,12
6,201,RandTop,4,2,-1990.962,-995.481,1
1,17,Random,2,1,-995.467,-995.467,12
2,64,softmutate,4,2,-1990.933,-995.467,2
1,21,RandTop,2,1,-995.441,-995.441,12
1,30,RandTop,2,1,-995.437,-995.437,12
7,241,LatMutate,4,2,-1990.872,-995.436,12
5,167,keptBest,2,1,-995.435,-995.435,12
4,140,Random,2,1,-995.435,-995.435,12
5,156,Heredity,4,2,-1990.871,-995.435,12
1,23,RandTop,2,1,-995.432,-995.432,12
7,230,Random,4,2,-1990.798,-995.399,5
2,50,Random,4,2,-1990.705,-995.353,1
5,178,LatMutate,4,2,-1990.687,-995.344,1
3,79,Heredity,4,2,-1990.658,-995.329,5
1,9,Random,2,1,-995.306,-995.306,12
4,127,keptBest,4,2,-1990.603,-995.301,3
2,41,RandTop,4,2,-1990.603,-995.301,3
3,86,keptBest,4,2,-1990.603,-995.301,3
3,80,Heredity,4,2,-1990.583,-995.292,1
4,119,Random,4,2,-1990.541,-995.27,3
2,45,keptBest,4,2,-1990.522,-995.261,5
1,3,Random,4,2,-1990.522,-995.261,5
7,222,Heredity,4,2,-1990.455,-995.228,2
6,214,Random,2,1,-995.212,-995.212,12
6,197,Random,4,2,-1990.141,-995.07,1
2,47,keptBest,4,2,-1990.116,-995.058,1
1,12,Random,4,2,-1990.116,-995.058,1
3,87,RandTop,4,2,-1990.069,-995.035,12
2,53,RandTop,4,2,-1990.056,-995.028,1
4,114,Heredity,4,2,-1990.034,-995.017,1
7,229,Random,4,2,-1989.878,-994.939,5
7,219,Random,4,2,-1989.877,-994.938,5
1,2,Random,4,2,-1989.852,-994.926,5
2,49,keptBest,4,2,-1989.852,-994.926,5
2,48,RandTop,4,2,-1989.816,-994.908,6
6,209,softmutate,4,2,-1989.699,-994.85,2
4,123,Random,4,2,-1989.646,-994.823,1
7,226,Heredity,4,2,-1989.644,-994.822,2
4,111,Heredity,4,2,-1989.591,-994.796,1
3,75,Heredity,4,2,-1989.443,-994.722,1
6,206,LatMutate,4,2,-1989.173,-994.586,8
2,42,RandTop,4,2,-1989.168,-994.584,1
2,59,softmutate,4,2,-1989.1,-994.55,2
4,108,Heredity,4,2,-1989.069,-994.534,1
6,218,softmutate,4,2,-1988.786,-994.393,5
