Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,185,Heredity,4,2,-686.452,-343.226,166
6,176,keptBest,4,2,-686.274,-343.137,166
2,49,Permutate,4,2,-685.883,-342.942,11
4,118,RandTop,4,2,-685.879,-342.94,11
1,10,RandTop,4,2,-685.877,-342.939,11
3,81,RandTop,4,2,-685.873,-342.937,11
4,117,Random,4,2,-685.872,-342.936,11
2,46,Random,4,2,-685.871,-342.936,11
1,2,Random,4,2,-685.867,-342.934,11
2,40,Heredity,4,2,-685.845,-342.923,11
4,123,LatMutate,4,2,-685.826,-342.913,11
2,48,RandTop,4,2,-685.824,-342.912,11
7,220,Heredity,4,2,-685.793,-342.897,2
4,108,Heredity,4,2,-685.773,-342.887,11
4,125,softmutate,4,2,-685.735,-342.867,2
7,235,LatMutate,4,2,-685.73,-342.865,11
6,180,Heredity,4,2,-685.725,-342.863,11
5,167,Permutate,4,2,-685.505,-342.753,10
6,195,Permutate,4,2,-685.501,-342.751,10
4,119,Permutate,4,2,-685.501,-342.751,10
4,121,Permutate,4,2,-685.501,-342.751,10
7,229,Random,4,2,-685.496,-342.748,10
3,79,Heredity,4,2,-685.488,-342.744,10
1,31,RandTop,4,2,-685.463,-342.732,10
5,159,Heredity,4,2,-685.417,-342.708,10
3,92,Random,4,2,-685.36,-342.68,10
1,5,Random,4,2,-685.334,-342.667,12
1,1,Random,4,2,-685.247,-342.624,2
2,65,softmutate,4,2,-684.967,-342.484,12
7,233,Permutate,4,2,-684.874,-342.437,35
7,231,Permutate,4,2,-684.874,-342.437,35
7,232,Permutate,4,2,-684.871,-342.436,35
1,8,Random,4,2,-684.669,-342.334,74
4,104,keptBest,4,2,-684.669,-342.334,74
3,67,keptBest,4,2,-684.669,-342.334,74
7,214,keptBest,4,2,-684.669,-342.334,74
5,140,keptBest,4,2,-684.669,-342.334,74
2,33,keptBest,4,2,-684.669,-342.334,74
6,177,keptBest,4,2,-684.669,-342.334,74
3,93,Permutate,4,2,-684.581,-342.291,1
3,91,Heredity,4,2,-684.501,-342.251,35
6,178,keptBest,4,2,-684.501,-342.251,35
4,105,keptBest,4,2,-684.501,-342.251,35
5,141,keptBest,4,2,-684.501,-342.251,35
7,215,keptBest,4,2,-684.501,-342.251,35
2,55,Random,2,1,-342.246,-342.246,12
3,98,LatMutate,2,1,-342.245,-342.245,166
1,11,RandTop,4,2,-684.489,-342.245,6
4,134,Random,2,1,-342.245,-342.245,166
