Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
2,38,softmutate,4,2,-1045.59,-522.795,191
6,144,keptBest,2,1,-522.789,-522.789,166
2,39,keptBest,4,2,-1045.526,-522.763,166
1,5,Random,4,2,-1045.358,-522.679,12
6,132,keptBest,4,2,-1045.114,-522.557,12
5,103,softmutate,4,2,-1045.114,-522.557,12
5,109,keptBest,4,2,-1045.096,-522.548,12
4,84,softmutate,4,2,-1045.096,-522.548,12
4,86,softmutate,4,2,-1044.807,-522.403,1
4,83,Permutate,4,2,-1044.531,-522.266,71
2,53,keptBest,2,1,-522.228,-522.228,12
1,18,Random,2,1,-522.228,-522.228,12
4,98,keptBest,2,1,-522.228,-522.228,12
3,75,keptBest,2,1,-522.228,-522.228,12
1,30,RandTop,2,1,-522.196,-522.196,10
1,20,Random,2,1,-522.152,-522.152,123
3,72,RandTop,2,1,-522.15,-522.15,1
2,46,Random,2,1,-522.148,-522.148,1
1,24,RandTop,2,1,-522.146,-522.146,123
6,138,Random,2,1,-522.141,-522.141,10
4,95,Random,2,1,-522.139,-522.139,123
1,29,RandTop,2,1,-522.137,-522.137,10
1,3,Random,4,2,-1044.135,-522.067,12
2,40,keptBest,4,2,-1044.135,-522.067,12
4,89,keptBest,4,2,-1044.135,-522.067,12
3,66,keptBest,4,2,-1044.135,-522.067,12
2,32,Heredity,4,2,-1043.995,-521.998,12
2,50,Permutate,2,1,-521.98,-521.98,12
6,139,RandTop,2,1,-521.98,-521.98,12
4,90,Heredity,2,1,-521.978,-521.978,12
3,73,Permutate,2,1,-521.978,-521.978,12
3,70,Heredity,2,1,-521.977,-521.977,12
5,118,Permutate,2,1,-521.977,-521.977,12
6,143,LatMutate,2,1,-521.977,-521.977,12
6,133,Heredity,2,1,-521.977,-521.977,12
2,41,Heredity,2,1,-521.977,-521.977,12
4,91,Heredity,2,1,-521.976,-521.976,12
6,124,Heredity,4,2,-1043.95,-521.975,12
3,69,Heredity,2,1,-521.975,-521.975,12
1,22,Random,2,1,-521.974,-521.974,12
3,67,Heredity,2,1,-521.972,-521.972,12
2,51,LatMutate,2,1,-521.972,-521.972,12
2,43,Heredity,2,1,-521.961,-521.961,3
5,117,Random,2,1,-521.955,-521.955,12
5,119,LatMutate,2,1,-521.946,-521.946,12
2,48,RandTop,2,1,-521.923,-521.923,12
5,114,Heredity,2,1,-521.921,-521.921,12
1,17,Random,2,1,-521.919,-521.919,12
1,1,Random,4,2,-1043.833,-521.916,12
1,16,Random,2,1,-521.871,-521.871,2
1,9,RandTop,4,2,-1043.734,-521.867,2
1,11,RandTop,4,2,-1043.732,-521.866,2
1,4,Random,4,2,-1043.73,-521.865,2
2,44,Heredity,2,1,-521.855,-521.855,2
4,79,Random,4,2,-1043.598,-521.799,63
6,128,softmutate,4,2,-1043.588,-521.794,63
2,34,Random,4,2,-1043.434,-521.717,98
5,99,Heredity,4,2,-1043.42,-521.71,1
3,56,Random,4,2,-1043.403,-521.701,98
1,28,RandTop,2,1,-521.695,-521.695,1
3,60,LatMutate,4,2,-1043.391,-521.695,1
6,123,Heredity,4,2,-1043.125,-521.563,8
4,76,Heredity,4,2,-1043.043,-521.521,24
2,36,Permutate,4,2,-1042.958,-521.479,8
1,8,RandTop,4,2,-1042.725,-521.362,38
3,55,Random,4,2,-1042.723,-521.362,38
1,2,Random,4,2,-1042.683,-521.342,8
1,7,RandTop,4,2,-1042.563,-521.281,1
6,127,softmutate,4,2,-1042.474,-521.237,12
3,63,softmutate,4,2,-1042.426,-521.213,12
5,107,softmutate,4,2,-1041.108,-520.554,51
4,85,softmutate,4,2,-1041.037,-520.519,51
2,37,softmutate,4,2,-1040.898,-520.449,8
6,126,RandTop,4,2,-1040.871,-520.436,1
5,104,softmutate,4,2,-1040.021,-520.011,74
5,102,Permutate,4,2,-1039.261,-519.631,156
3,62,softmutate,4,2,-1038.632,-519.316,10
6,129,softmutate,4,2,-1037.088,-518.544,25
6,130,softmutate,4,2,-1037.067,-518.534,2
