Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,107,Permutate,4,2,-1216.796,-608.398,8
6,122,Heredity,4,2,-1216.509,-608.254,12
9,191,Heredity,4,2,-1216.387,-608.193,1
5,97,Heredity,4,2,-1216.245,-608.123,8
8,166,Heredity,4,2,-1216.208,-608.104,5
4,85,Permutate,4,2,-1216.207,-608.103,12
4,86,Permutate,4,2,-1216.038,-608.019,8
5,112,keptBest,4,2,-1216.038,-608.019,8
3,63,softmutate,4,2,-1216.036,-608.018,12
9,187,Heredity,4,2,-1216.028,-608.014,5
9,199,LatMutate,4,2,-1216.028,-608.014,8
3,51,Heredity,4,2,-1215.953,-607.976,8
4,92,keptBest,4,2,-1215.953,-607.976,8
4,74,Heredity,4,2,-1215.947,-607.974,8
3,53,Heredity,4,2,-1215.948,-607.974,1
3,52,Heredity,4,2,-1215.941,-607.97,8
8,173,RandTop,4,2,-1215.924,-607.962,51
6,128,RandTop,4,2,-1215.923,-607.962,51
1,14,RandTop,4,2,-1215.923,-607.961,51
2,35,Permutate,4,2,-1215.709,-607.854,44
7,153,softmutate,4,2,-1215.673,-607.836,44
3,58,RandTop,4,2,-1215.645,-607.823,2
1,9,RandTop,4,2,-1215.6,-607.8,5
4,90,softmutate,4,2,-1215.552,-607.776,2
7,152,Permutate,4,2,-1215.546,-607.773,1
3,60,Permutate,4,2,-1215.54,-607.77,1
5,98,Heredity,4,2,-1215.529,-607.765,1
8,180,keptBest,4,2,-1215.508,-607.754,2
7,142,Heredity,4,2,-1215.508,-607.754,2
9,203,keptBest,4,2,-1215.508,-607.754,2
4,82,Heredity,4,2,-1215.424,-607.712,2
8,172,RandTop,4,2,-1215.378,-607.689,12
9,194,Random,4,2,-1215.327,-607.664,12
3,54,Heredity,4,2,-1215.297,-607.649,1
4,87,LatMutate,4,2,-1215.271,-607.636,1
3,55,Heredity,4,2,-1215.244,-607.622,8
5,118,keptBest,2,1,-607.588,-607.588,65
1,15,Random,2,1,-607.588,-607.588,65
3,73,keptBest,2,1,-607.588,-607.588,65
3,65,keptBest,4,2,-1215.176,-607.588,2
4,96,keptBest,2,1,-607.588,-607.588,65
2,50,keptBest,2,1,-607.588,-607.588,65
2,33,Random,4,2,-1215.176,-607.588,2
1,10,RandTop,4,2,-1215.157,-607.579,6
1,5,Random,4,2,-1215.155,-607.578,6
1,16,Random,2,1,-607.575,-607.575,12
8,186,keptBest,2,1,-607.574,-607.574,12
6,139,Random,2,1,-607.574,-607.574,12
7,164,keptBest,2,1,-607.574,-607.574,12
9,207,keptBest,2,1,-607.574,-607.574,12
2,41,keptBest,4,2,-1215.147,-607.573,8
1,4,Random,4,2,-1215.147,-607.573,8
9,189,Heredity,4,2,-1215.13,-607.565,1
7,150,Random,4,2,-1215.127,-607.563,8
8,182,Heredity,2,1,-607.549,-607.549,44
1,19,Random,2,1,-607.549,-607.549,44
3,72,LatMutate,2,1,-607.549,-607.549,44
2,46,Random,2,1,-607.549,-607.549,44
4,93,Random,2,1,-607.548,-607.548,44
2,44,Heredity,2,1,-607.548,-607.548,44
1,18,Random,2,1,-607.548,-607.548,44
6,138,Random,2,1,-607.548,-607.548,44
3,67,Random,2,1,-607.548,-607.548,44
2,49,LatMutate,2,1,-607.546,-607.546,44
8,183,Random,2,1,-607.545,-607.545,44
1,27,RandTop,2,1,-607.54,-607.54,44
7,160,RandTop,2,1,-607.536,-607.536,2
9,205,Random,2,1,-607.535,-607.535,12
2,47,RandTop,2,1,-607.519,-607.519,69
3,68,Random,2,1,-607.505,-607.505,2
5,113,Heredity,2,1,-607.501,-607.501,2
