Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
11,354,keptBest,4,2,-1813.265,-906.633,2
7,221,Heredity,4,2,-1813.177,-906.588,2
8,278,softmutate,4,2,-1813.168,-906.584,12
2,49,softmutate,4,2,-1812.924,-906.462,14
2,54,Random,2,1,-906.448,-906.448,2
10,336,Random,2,1,-906.433,-906.433,2
4,133,RandTop,4,2,-1812.865,-906.433,12
9,302,RandTop,2,1,-906.433,-906.433,2
11,387,softmutate,4,2,-1812.865,-906.433,2
6,202,RandTop,4,2,-1812.865,-906.432,12
1,23,RandTop,4,2,-1812.864,-906.432,14
1,15,RandTop,4,2,-1812.865,-906.432,14
11,362,Heredity,2,1,-906.432,-906.432,2
5,146,Heredity,2,1,-906.431,-906.431,2
1,22,RandTop,4,2,-1812.861,-906.431,2
9,310,RandTop,2,1,-906.431,-906.431,2
1,6,Random,2,1,-906.431,-906.431,12
7,227,LatMutate,4,2,-1812.857,-906.428,2
1,26,RandTop,4,2,-1812.857,-906.428,14
9,301,RandTop,2,1,-906.427,-906.427,12
7,238,softmutate,4,2,-1812.854,-906.427,14
7,218,RandTop,2,1,-906.427,-906.427,2
3,83,Heredity,4,2,-1812.847,-906.424,1
2,56,RandTop,4,2,-1812.847,-906.423,14
5,150,Random,2,1,-906.421,-906.421,12
4,117,Random,2,1,-906.421,-906.421,12
6,193,Heredity,4,2,-1812.84,-906.42,14
9,295,Heredity,4,2,-1812.837,-906.419,11
9,297,Heredity,4,2,-1812.837,-906.419,11
4,129,Heredity,4,2,-1812.839,-906.419,2
11,391,softmutate,4,2,-1812.835,-906.418,2
11,372,RandTop,2,1,-906.417,-906.417,2
3,85,RandTop,4,2,-1812.832,-906.416,12
11,386,softmutate,4,2,-1812.833,-906.416,12
3,88,Random,2,1,-906.416,-906.416,12
1,8,Random,2,1,-906.416,-906.416,12
9,309,softmutate,4,2,-1812.832,-906.416,2
4,136,softmutate,4,2,-1812.832,-906.416,12
2,47,keptBest,2,1,-906.416,-906.416,12
3,104,Heredity,4,2,-1812.832,-906.416,12
9,289,Heredity,4,2,-1812.83,-906.415,12
2,53,LatMutate,2,1,-906.415,-906.415,12
2,52,Permutate,2,1,-906.415,-906.415,12
9,292,Random,2,1,-906.414,-906.414,12
11,374,Heredity,4,2,-1812.828,-906.414,12
3,77,softmutate,4,2,-1812.826,-906.413,2
6,188,softmutate,4,2,-1812.827,-906.413,12
11,383,Random,4,2,-1812.826,-906.413,12
8,273,Heredity,4,2,-1812.827,-906.413,1
9,308,LatMutate,4,2,-1812.826,-906.413,12
7,235,softmutate,4,2,-1812.826,-906.413,12
2,38,Random,2,1,-906.413,-906.413,12
2,37,Heredity,4,2,-1812.826,-906.413,12
5,160,RandTop,2,1,-906.413,-906.413,12
4,123,LatMutate,4,2,-1812.819,-906.41,2
6,190,Random,2,1,-906.41,-906.41,12
6,184,Heredity,2,1,-906.41,-906.41,12
4,124,softmutate,4,2,-1812.817,-906.409,2
5,143,keptBest,4,2,-1812.817,-906.409,2
9,299,softmutate,4,2,-1812.817,-906.408,12
11,376,LatMutate,4,2,-1812.816,-906.408,12
