Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,69,keptBest,4,2,-2158.767,-1079.384,63
4,119,Heredity,4,2,-2158.398,-1079.199,2
4,106,keptBest,4,2,-2158.362,-1079.181,2
3,89,RandTop,4,2,-2158.362,-1079.181,2
6,198,softmutate,4,2,-2158.359,-1079.179,2
3,71,keptBest,4,2,-2158.354,-1079.177,2
2,60,Random,4,2,-2158.354,-1079.177,2
2,32,keptBest,4,2,-2158.349,-1079.175,2
2,68,softmutate,4,2,-2158.35,-1079.175,2
1,18,Random,4,2,-2158.349,-1079.175,2
2,53,Permutate,4,2,-2158.34,-1079.17,1
3,93,Permutate,4,2,-2158.308,-1079.154,1
2,59,Random,4,2,-2158.298,-1079.149,1
4,121,Heredity,4,2,-2158.288,-1079.144,2
3,81,LatMutate,4,2,-2158.283,-1079.142,2
3,72,keptBest,4,2,-2158.284,-1079.142,2
2,44,Heredity,4,2,-2158.284,-1079.142,2
2,33,keptBest,4,2,-2158.283,-1079.142,2
1,28,Random,4,2,-2158.283,-1079.142,2
2,43,Heredity,4,2,-2158.281,-1079.141,2
3,78,Heredity,4,2,-2158.282,-1079.141,2
2,50,softmutate,4,2,-2158.282,-1079.141,2
6,190,softmutate,4,2,-2158.279,-1079.139,2
6,208,Random,4,2,-2158.275,-1079.138,2
4,126,Heredity,4,2,-2158.272,-1079.136,2
6,181,keptBest,4,2,-2158.21,-1079.105,1
5,171,LatMutate,4,2,-2158.21,-1079.105,1
5,176,softmutate,4,2,-2158.205,-1079.103,1
5,144,keptBest,4,2,-2158.204,-1079.102,1
4,133,RandTop,4,2,-2158.204,-1079.102,1
3,100,LatMutate,4,2,-2158.203,-1079.102,2
1,24,Random,4,2,-2158.156,-1079.078,8
6,182,keptBest,4,2,-2158.152,-1079.076,8
4,140,LatMutate,4,2,-2158.152,-1079.076,8
3,77,Heredity,4,2,-2158.152,-1079.076,1
4,136,Heredity,4,2,-2158.152,-1079.076,1
5,145,keptBest,4,2,-2158.152,-1079.076,8
4,107,keptBest,4,2,-2158.152,-1079.076,1
3,82,softmutate,4,2,-2158.139,-1079.07,2
3,74,Heredity,4,2,-2158.139,-1079.069,2
2,45,Heredity,4,2,-2158.137,-1079.069,2
5,159,Heredity,4,2,-2158.133,-1079.067,2
4,141,softmutate,4,2,-2158.132,-1079.066,2
4,111,softmutate,4,2,-2158.13,-1079.065,2
4,110,Heredity,4,2,-2158.129,-1079.064,2
5,154,softmutate,4,2,-2158.128,-1079.064,2
2,37,Heredity,4,2,-2158.125,-1079.063,2
3,79,Heredity,4,2,-2158.126,-1079.063,2
5,146,keptBest,4,2,-2158.124,-1079.062,9
6,183,keptBest,4,2,-2158.124,-1079.062,9
3,85,softmutate,4,2,-2158.124,-1079.062,9
4,108,keptBest,4,2,-2158.124,-1079.062,9
3,73,keptBest,4,2,-2158.119,-1079.06,9
2,55,Heredity,4,2,-2158.119,-1079.06,9
6,205,softmutate,4,2,-2158.118,-1079.059,9
2,58,Heredity,4,2,-2158.119,-1079.059,46
5,164,Heredity,4,2,-2158.114,-1079.057,9
1,27,Random,4,2,-2158.112,-1079.056,9
2,34,keptBest,4,2,-2158.112,-1079.056,9
5,165,RandTop,4,2,-2158.111,-1079.055,1
6,194,Random,4,2,-2158.108,-1079.054,1
4,130,Heredity,4,2,-2158.101,-1079.051,2
5,160,Heredity,4,2,-2158.07,-1079.035,8
2,65,RandTop,4,2,-2157.986,-1078.993,12
