Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,105,keptBest,4,2,-2013.896,-1006.948,140
6,190,Heredity,4,2,-2013.492,-1006.746,5
6,176,keptBest,4,2,-2013.489,-1006.744,5
5,156,Heredity,4,2,-2013.489,-1006.744,5
3,70,keptBest,4,2,-2013.464,-1006.732,12
1,26,Random,4,2,-2013.464,-1006.732,12
4,106,keptBest,4,2,-2013.464,-1006.732,12
5,141,keptBest,4,2,-2013.464,-1006.732,12
6,177,keptBest,4,2,-2013.464,-1006.732,12
2,32,keptBest,4,2,-2013.464,-1006.732,12
6,204,Random,4,2,-2013.428,-1006.714,4
1,31,Random,4,2,-2013.336,-1006.668,4
5,172,Random,4,2,-2013.144,-1006.572,51
6,178,keptBest,4,2,-2013.144,-1006.572,51
5,144,keptBest,2,1,-1006.48,-1006.48,12
4,109,keptBest,2,1,-1006.48,-1006.48,12
3,75,keptBest,2,1,-1006.48,-1006.48,12
6,182,keptBest,2,1,-1006.48,-1006.48,12
2,39,Random,2,1,-1006.48,-1006.48,12
6,202,Heredity,4,2,-2012.951,-1006.476,4
5,142,keptBest,4,2,-2012.937,-1006.468,11
4,107,keptBest,4,2,-2012.937,-1006.468,11
3,71,keptBest,4,2,-2012.937,-1006.468,11
2,38,Permutate,4,2,-2012.937,-1006.468,11
6,209,softmutate,4,2,-2012.933,-1006.467,11
5,170,Random,4,2,-2012.933,-1006.466,11
2,33,keptBest,4,2,-2012.931,-1006.465,11
1,30,RandTop,4,2,-2012.931,-1006.465,11
4,110,Permutate,4,2,-2012.93,-1006.465,11
5,163,Heredity,4,2,-2012.929,-1006.464,2
1,27,Random,4,2,-2012.927,-1006.463,11
6,188,softmutate,4,2,-2012.927,-1006.463,2
6,201,softmutate,4,2,-2012.912,-1006.456,12
6,200,Heredity,4,2,-2012.91,-1006.455,12
2,47,Heredity,4,2,-2012.902,-1006.451,2
5,152,LatMutate,4,2,-2012.9,-1006.45,2
3,103,Permutate,4,2,-2012.889,-1006.444,2
5,174,softmutate,4,2,-2012.851,-1006.425,8
3,72,keptBest,4,2,-2012.846,-1006.423,12
4,108,keptBest,4,2,-2012.846,-1006.423,12
2,55,Heredity,4,2,-2012.846,-1006.423,12
5,143,keptBest,4,2,-2012.846,-1006.423,12
5,157,Permutate,4,2,-2012.816,-1006.408,12
2,52,softmutate,4,2,-2012.809,-1006.404,12
4,121,softmutate,4,2,-2012.794,-1006.397,12
2,67,softmutate,4,2,-2012.74,-1006.37,1
3,96,Heredity,4,2,-2012.739,-1006.369,1
5,169,Random,4,2,-2012.73,-1006.365,2
3,102,softmutate,4,2,-2012.729,-1006.364,2
4,137,Heredity,4,2,-2012.724,-1006.362,71
2,68,softmutate,4,2,-2012.72,-1006.36,1
3,77,Heredity,4,2,-2012.709,-1006.355,71
3,99,Random,4,2,-2012.709,-1006.355,71
3,95,softmutate,4,2,-2012.707,-1006.354,71
2,50,RandTop,4,2,-2012.708,-1006.354,71
4,120,RandTop,4,2,-2012.706,-1006.353,71
2,34,keptBest,4,2,-2012.706,-1006.353,71
1,25,RandTop,4,2,-2012.706,-1006.353,71
3,93,RandTop,4,2,-2012.702,-1006.351,71
2,66,Heredity,4,2,-2012.703,-1006.351,71
6,206,softmutate,4,2,-2012.693,-1006.346,71
6,193,softmutate,4,2,-2012.693,-1006.346,8
4,130,LatMutate,4,2,-2012.689,-1006.345,71
1,22,RandTop,4,2,-2012.689,-1006.345,71
2,49,RandTop,4,2,-2012.684,-1006.342,71
6,205,softmutate,4,2,-2012.68,-1006.34,71
6,192,LatMutate,4,2,-2012.68,-1006.34,71
4,112,Heredity,4,2,-2012.68,-1006.34,71
6,197,softmutate,4,2,-2012.677,-1006.338,71
3,100,RandTop,4,2,-2012.675,-1006.338,71
3,85,Heredity,4,2,-2012.676,-1006.338,71
1,10,RandTop,2,1,-1006.331,-1006.331,71
4,111,Random,2,1,-1006.326,-1006.326,71
6,196,LatMutate,2,1,-1006.325,-1006.325,71
1,5,Random,2,1,-1006.325,-1006.325,71
2,40,Random,2,1,-1006.324,-1006.324,71
4,134,Permutate,4,2,-2012.643,-1006.321,2
1,7,Random,2,1,-1006.319,-1006.319,71
1,3,Random,2,1,-1006.31,-1006.31,71
3,88,LatMutate,2,1,-1006.31,-1006.31,71
3,89,LatMutate,2,1,-1006.299,-1006.299,71
3,81,Heredity,2,1,-1006.299,-1006.299,71
2,43,Heredity,2,1,-1006.299,-1006.299,1
4,123,Permutate,2,1,-1006.297,-1006.297,71
1,19,RandTop,2,1,-1006.297,-1006.297,71
4,124,LatMutate,2,1,-1006.296,-1006.296,71
2,41,Heredity,2,1,-1006.296,-1006.296,1
6,189,Heredity,2,1,-1006.295,-1006.295,71
2,59,LatMutate,2,1,-1006.294,-1006.294,71
4,117,RandTop,2,1,-1006.293,-1006.293,71
3,87,RandTop,2,1,-1006.292,-1006.292,71
5,162,LatMutate,2,1,-1006.292,-1006.292,71
1,13,Random,2,1,-1006.29,-1006.29,71
4,118,Permutate,2,1,-1006.289,-1006.289,71
2,54,LatMutate,2,1,-1006.288,-1006.288,71
2,42,Heredity,2,1,-1006.276,-1006.276,71
4,116,Heredity,2,1,-1006.27,-1006.27,71
6,194,RandTop,2,1,-1006.269,-1006.269,71
1,15,Random,2,1,-1006.265,-1006.265,71
5,159,Permutate,2,1,-1006.263,-1006.263,71
3,104,softmutate,4,2,-2012.505,-1006.253,71
5,167,Heredity,4,2,-2012.5,-1006.25,2
3,90,Random,2,1,-1006.25,-1006.25,1
2,64,Heredity,4,2,-2012.486,-1006.243,71
4,115,Heredity,2,1,-1006.24,-1006.24,71
6,179,Random,4,2,-2012.479,-1006.239,36
4,135,Heredity,4,2,-2012.436,-1006.218,2
3,83,Heredity,4,2,-2012.373,-1006.187,12
6,195,Random,4,2,-2012.368,-1006.184,8
5,145,Heredity,4,2,-2012.348,-1006.174,12
6,186,Permutate,4,2,-2012.345,-1006.173,12
4,132,Heredity,4,2,-2012.341,-1006.171,12
5,149,Heredity,4,2,-2012.342,-1006.171,12
3,76,Heredity,4,2,-2012.342,-1006.171,12
5,147,Heredity,4,2,-2012.34,-1006.17,12
2,35,keptBest,4,2,-2012.305,-1006.152,15
1,23,RandTop,4,2,-2012.305,-1006.152,15
5,153,Random,2,1,-1006.102,-1006.102,8
3,92,Heredity,4,2,-2012.172,-1006.086,1
4,131,Heredity,4,2,-2012.169,-1006.085,8
6,181,Heredity,2,1,-1006.026,-1006.026,47
2,63,softmutate,4,2,-2012.041,-1006.02,1
4,138,Random,4,2,-2012.017,-1006.009,25
6,207,Random,4,2,-2012.009,-1006.004,5
2,45,Heredity,4,2,-2011.977,-1005.989,15
2,57,RandTop,4,2,-2011.973,-1005.986,1
2,58,Permutate,4,2,-2011.946,-1005.973,6
2,65,Heredity,4,2,-2011.946,-1005.973,1
6,199,Heredity,4,2,-2011.944,-1005.972,1
2,36,keptBest,4,2,-2011.94,-1005.97,11
1,28,Random,4,2,-2011.94,-1005.97,11
2,61,softmutate,4,2,-2011.928,-1005.964,8
5,160,Random,4,2,-2011.904,-1005.952,6
3,94,softmutate,4,2,-2011.902,-1005.951,2
3,82,Random,2,1,-1005.949,-1005.949,2
5,165,softmutate,4,2,-2011.876,-1005.938,2
4,128,Random,4,2,-2011.867,-1005.933,40
2,51,RandTop,4,2,-2011.86,-1005.93,40
6,203,Heredity,4,2,-2011.833,-1005.916,1
1,11,RandTop,2,1,-1005.899,-1005.899,1
2,37,Heredity,4,2,-2011.787,-1005.894,63
5,148,Heredity,4,2,-2011.786,-1005.893,63
4,114,softmutate,2,1,-1005.877,-1005.877,164
1,9,RandTop,2,1,-1005.862,-1005.862,6
5,168,Heredity,4,2,-2011.688,-1005.844,2
3,97,Heredity,4,2,-2011.682,-1005.841,2
2,62,softmutate,4,2,-2011.682,-1005.841,2
3,84,Heredity,4,2,-2011.655,-1005.828,11
5,164,RandTop,4,2,-2011.653,-1005.826,14
4,119,Random,4,2,-2011.594,-1005.797,31
6,198,softmutate,4,2,-2011.55,-1005.775,8
5,158,softmutate,4,2,-2011.537,-1005.769,8
3,79,softmutate,4,2,-2011.456,-1005.728,2
5,171,softmutate,4,2,-2011.456,-1005.728,2
5,173,softmutate,4,2,-2011.452,-1005.726,2
3,98,Heredity,4,2,-2011.43,-1005.715,6
2,44,Random,2,1,-1005.697,-1005.697,38
6,183,Heredity,2,1,-1005.659,-1005.659,38
