Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,182,keptBest,4,2,-2815.307,-1407.653,63
6,215,RandTop,4,2,-2815.03,-1407.515,10
1,27,Random,4,2,-2814.941,-1407.47,12
6,187,Permutate,4,2,-2814.904,-1407.452,12
5,147,keptBest,4,2,-2814.899,-1407.449,12
3,72,keptBest,4,2,-2814.899,-1407.449,12
6,184,keptBest,4,2,-2814.899,-1407.449,12
4,110,keptBest,4,2,-2814.899,-1407.449,12
2,36,Permutate,4,2,-2814.899,-1407.449,12
4,112,Permutate,4,2,-2814.878,-1407.439,12
5,158,Permutate,4,2,-2814.878,-1407.439,12
1,11,Random,4,2,-2814.869,-1407.435,12
1,23,Random,4,2,-2814.862,-1407.431,12
1,21,Random,4,2,-2814.862,-1407.431,12
1,26,Random,4,2,-2814.859,-1407.43,12
1,24,RandTop,4,2,-2814.855,-1407.428,12
1,14,RandTop,4,2,-2814.854,-1407.427,12
2,42,Heredity,4,2,-2814.829,-1407.415,1
3,92,LatMutate,4,2,-2814.804,-1407.402,2
5,176,RandTop,4,2,-2814.798,-1407.399,2
6,194,Heredity,4,2,-2814.78,-1407.39,12
1,29,RandTop,4,2,-2814.776,-1407.388,12
5,181,Random,4,2,-2814.753,-1407.377,2
3,102,Heredity,4,2,-2814.711,-1407.355,2
6,192,Heredity,4,2,-2814.686,-1407.343,12
2,45,Heredity,4,2,-2814.684,-1407.342,2
2,48,Heredity,4,2,-2814.674,-1407.337,12
6,210,softmutate,4,2,-2814.671,-1407.336,11
6,201,LatMutate,4,2,-2814.67,-1407.335,2
4,135,Random,4,2,-2814.658,-1407.329,2
5,151,Heredity,4,2,-2814.655,-1407.328,12
4,132,softmutate,4,2,-2814.649,-1407.325,2
4,113,Permutate,4,2,-2814.634,-1407.317,8
2,68,Heredity,4,2,-2814.632,-1407.316,8
4,114,keptBest,4,2,-2814.632,-1407.316,8
5,148,keptBest,4,2,-2814.632,-1407.316,8
3,73,keptBest,4,2,-2814.632,-1407.316,8
6,185,keptBest,4,2,-2814.632,-1407.316,8
2,50,Heredity,4,2,-2814.623,-1407.312,2
4,128,softmutate,4,2,-2814.621,-1407.311,12
