Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
9,288,keptBest,4,2,-3278.218,-1639.109,8
8,252,RandTop,4,2,-3278.048,-1639.024,1
3,88,keptBest,4,2,-3277.974,-1638.987,63
9,287,Permutate,4,2,-3277.938,-1638.969,69
11,350,Heredity,4,2,-3277.808,-1638.904,63
12,401,Permutate,4,2,-3277.805,-1638.903,1
10,315,Heredity,4,2,-3277.799,-1638.899,63
7,219,Heredity,4,2,-3277.796,-1638.898,69
11,349,Heredity,4,2,-3277.794,-1638.897,63
10,313,Heredity,4,2,-3277.795,-1638.897,63
10,329,Random,4,2,-3277.791,-1638.895,1
9,276,Heredity,4,2,-3277.788,-1638.894,63
10,318,Heredity,4,2,-3277.786,-1638.893,63
8,237,Heredity,4,2,-3277.786,-1638.893,63
10,320,Heredity,4,2,-3277.785,-1638.893,63
5,144,Heredity,4,2,-3277.78,-1638.89,63
7,221,Heredity,4,2,-3277.778,-1638.889,63
8,240,Heredity,4,2,-3277.77,-1638.885,69
9,275,Heredity,4,2,-3277.766,-1638.883,63
2,53,Permutate,4,2,-3277.765,-1638.882,2
5,145,Heredity,4,2,-3277.764,-1638.882,63
8,241,Heredity,4,2,-3277.762,-1638.881,69
6,192,Random,4,2,-3277.755,-1638.878,1
11,361,Random,4,2,-3277.752,-1638.876,1
5,154,Random,4,2,-3277.753,-1638.876,1
9,296,Permutate,4,2,-3277.747,-1638.874,1
4,109,Heredity,4,2,-3277.744,-1638.872,63
11,352,Heredity,4,2,-3277.737,-1638.869,63
7,218,Heredity,4,2,-3277.724,-1638.862,63
11,365,RandTop,4,2,-3277.725,-1638.862,1
9,282,Heredity,4,2,-3277.725,-1638.862,63
3,85,RandTop,4,2,-3277.717,-1638.859,1
4,113,Heredity,4,2,-3277.706,-1638.853,63
7,220,Heredity,4,2,-3277.703,-1638.851,63
2,33,Heredity,4,2,-3277.689,-1638.844,63
10,312,Heredity,4,2,-3277.682,-1638.841,63
6,183,Heredity,4,2,-3277.68,-1638.84,1
3,71,Heredity,4,2,-3277.673,-1638.837,1
5,165,LatMutate,4,2,-3277.67,-1638.835,1
8,238,Heredity,4,2,-3277.665,-1638.833,63
4,108,Heredity,4,2,-3277.662,-1638.831,63
6,179,Heredity,4,2,-3277.66,-1638.83,63
10,314,Heredity,4,2,-3277.658,-1638.829,63
10,333,Random,4,2,-3277.65,-1638.825,1
2,68,softmutate,4,2,-3277.642,-1638.821,2
10,336,RandTop,4,2,-3277.629,-1638.815,1
8,243,Heredity,4,2,-3277.63,-1638.815,12
4,127,RandTop,4,2,-3277.63,-1638.815,1
7,229,keptBest,4,2,-3277.624,-1638.812,4
6,198,keptBest,4,2,-3277.624,-1638.812,4
