Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
8,253,keptBest,4,2,-436.95,-218.475,65
6,181,keptBest,4,2,-436.924,-218.462,2
9,308,Random,2,1,-218.454,-218.454,44
5,143,keptBest,4,2,-436.818,-218.409,2
9,319,RandTop,2,1,-218.358,-218.358,65
3,73,Heredity,4,2,-436.644,-218.322,9
7,221,Heredity,4,2,-436.546,-218.273,51
9,295,Heredity,4,2,-436.517,-218.259,2
5,179,Random,2,1,-218.258,-218.258,8
3,94,keptBest,2,1,-218.247,-218.247,1
2,64,RandTop,2,1,-218.247,-218.247,1
3,91,RandTop,2,1,-218.246,-218.246,1
5,147,keptBest,4,2,-436.478,-218.239,2
4,110,keptBest,4,2,-436.478,-218.239,2
3,104,RandTop,4,2,-436.478,-218.239,2
8,258,Heredity,4,2,-436.46,-218.23,2
5,164,Heredity,4,2,-436.455,-218.228,11
4,130,Random,4,2,-436.436,-218.218,2
8,279,Random,4,2,-436.429,-218.215,1
2,54,Random,4,2,-436.425,-218.213,1
3,80,Random,4,2,-436.424,-218.212,2
5,159,Heredity,4,2,-436.417,-218.209,2
2,39,LatMutate,4,2,-436.419,-218.209,2
6,204,Heredity,4,2,-436.415,-218.208,11
3,72,Heredity,4,2,-436.414,-218.207,11
8,267,Permutate,4,2,-436.413,-218.207,2
4,135,softmutate,4,2,-436.411,-218.206,11
6,193,Random,4,2,-436.413,-218.206,11
3,84,softmutate,4,2,-436.396,-218.198,2
8,270,softmutate,4,2,-436.396,-218.198,2
9,311,Heredity,4,2,-436.394,-218.197,2
7,235,LatMutate,4,2,-436.395,-218.197,2
7,237,softmutate,4,2,-436.39,-218.195,2
5,161,Heredity,4,2,-436.39,-218.195,2
9,313,Heredity,4,2,-436.383,-218.191,2
8,266,RandTop,4,2,-436.38,-218.19,1
4,117,Heredity,4,2,-436.378,-218.189,2
4,140,Random,4,2,-436.374,-218.187,1
7,252,RandTop,4,2,-436.367,-218.184,1
4,129,Heredity,4,2,-436.365,-218.182,2
9,314,Heredity,4,2,-436.361,-218.18,2
4,128,Heredity,4,2,-436.358,-218.179,2
8,273,Heredity,4,2,-436.359,-218.179,2
4,136,softmutate,4,2,-436.359,-218.179,2
7,226,Heredity,4,2,-436.357,-218.178,2
3,97,Permutate,4,2,-436.354,-218.177,2
8,262,Heredity,4,2,-436.354,-218.177,2
2,57,RandTop,4,2,-436.353,-218.176,2
3,71,keptBest,4,2,-436.353,-218.176,2
4,111,Heredity,4,2,-436.353,-218.176,1
8,277,Random,4,2,-436.35,-218.175,2
7,243,Heredity,4,2,-436.346,-218.173,1
9,302,Permutate,4,2,-436.345,-218.173,1
3,75,Heredity,4,2,-436.334,-218.167,2
7,245,Permutate,4,2,-436.331,-218.166,12
9,303,Permutate,4,2,-436.332,-218.166,1
6,197,LatMutate,4,2,-436.332,-218.166,12
7,233,Permutate,4,2,-436.329,-218.164,12
9,323,softmutate,4,2,-436.322,-218.161,2
6,208,Permutate,4,2,-436.313,-218.156,2
2,62,softmutate,4,2,-436.309,-218.155,2
9,298,Heredity,4,2,-436.306,-218.153,2
4,132,Permutate,4,2,-436.306,-218.153,1
3,79,Heredity,4,2,-436.299,-218.15,1
5,148,Heredity,4,2,-436.299,-218.149,1
2,56,Random,4,2,-436.299,-218.149,6
2,60,softmutate,4,2,-436.293,-218.147,1
1,23,RandTop,2,1,-218.146,-218.146,2
6,207,Permutate,4,2,-436.292,-218.146,1
2,50,keptBest,2,1,-218.146,-218.146,2
9,315,RandTop,4,2,-436.289,-218.145,1
2,58,RandTop,4,2,-436.288,-218.144,2
9,320,RandTop,2,1,-218.144,-218.144,2
8,274,Heredity,4,2,-436.287,-218.143,1
5,169,Permutate,4,2,-436.282,-218.141,2
6,210,softmutate,4,2,-436.266,-218.133,2
2,40,softmutate,4,2,-436.258,-218.129,1
3,87,Random,2,1,-218.125,-218.125,1
2,37,Heredity,4,2,-436.233,-218.116,12
2,53,Heredity,4,2,-436.231,-218.115,2
5,170,LatMutate,4,2,-436.229,-218.114,8
3,83,softmutate,4,2,-436.211,-218.105,2
2,34,keptBest,4,2,-436.193,-218.097,1
8,264,Heredity,4,2,-436.194,-218.097,12
1,30,Random,4,2,-436.193,-218.097,1
2,51,Heredity,4,2,-436.193,-218.097,1
8,269,LatMutate,4,2,-436.194,-218.097,12
1,27,Random,4,2,-436.177,-218.089,1
2,35,keptBest,4,2,-436.177,-218.089,1
4,134,softmutate,4,2,-436.174,-218.087,2
6,196,LatMutate,4,2,-436.17,-218.085,2
4,141,Permutate,4,2,-436.163,-218.081,1
5,177,Permutate,4,2,-436.159,-218.08,1
7,246,softmutate,4,2,-436.133,-218.067,1
5,174,softmutate,4,2,-436.128,-218.064,2
7,231,Random,4,2,-436.127,-218.064,65
8,283,LatMutate,4,2,-436.114,-218.057,1
9,312,Heredity,4,2,-436.099,-218.049,69
3,98,LatMutate,4,2,-436.087,-218.043,12
7,222,Heredity,4,2,-436.082,-218.041,12
4,137,RandTop,2,1,-218.037,-218.037,12
3,102,RandTop,2,1,-218.03,-218.03,2
4,118,RandTop,4,2,-436.045,-218.022,1
9,299,Heredity,4,2,-436.025,-218.013,12
1,16,RandTop,4,2,-436.024,-218.012,12
9,296,Heredity,4,2,-436.021,-218.01,12
8,284,LatMutate,4,2,-436.016,-218.008,12
2,61,softmutate,4,2,-436.015,-218.008,12
3,85,softmutate,4,2,-436.004,-218.002,2
6,213,Random,4,2,-435.978,-217.989,12
6,189,Heredity,4,2,-435.968,-217.984,2
6,203,Heredity,4,2,-435.965,-217.982,2
1,22,Random,2,1,-217.974,-217.974,2
9,316,LatMutate,4,2,-435.948,-217.974,2
2,48,Random,2,1,-217.974,-217.974,2
6,205,RandTop,4,2,-435.933,-217.967,1
7,249,Random,2,1,-217.964,-217.964,1
4,139,LatMutate,2,1,-217.961,-217.961,2
2,46,Heredity,2,1,-217.96,-217.96,2
4,122,Heredity,2,1,-217.96,-217.96,2
5,149,Heredity,4,2,-435.913,-217.956,2
7,225,Heredity,4,2,-435.909,-217.954,2
6,195,LatMutate,4,2,-435.908,-217.954,8
7,236,LatMutate,4,2,-435.903,-217.951,8
9,297,Heredity,4,2,-435.9,-217.95,2
9,305,LatMutate,4,2,-435.896,-217.948,1
5,166,RandTop,4,2,-435.881,-217.941,12
9,317,Random,2,1,-217.936,-217.936,8
1,24,RandTop,2,1,-217.935,-217.935,2
5,176,Random,4,2,-435.868,-217.934,2
8,286,Random,2,1,-217.933,-217.933,69
2,42,Heredity,2,1,-217.932,-217.932,69
4,120,softmutate,4,2,-435.856,-217.928,11
5,151,Heredity,4,2,-435.855,-217.927,11
1,26,Random,4,2,-435.849,-217.924,11
3,82,softmutate,4,2,-435.827,-217.914,2
4,125,RandTop,2,1,-217.913,-217.913,12
5,150,Heredity,4,2,-435.814,-217.907,2
1,6,Random,2,1,-217.907,-217.907,35
7,229,Random,4,2,-435.811,-217.906,69
8,275,Heredity,4,2,-435.806,-217.903,11
5,155,RandTop,4,2,-435.804,-217.902,11
1,17,RandTop,4,2,-435.802,-217.901,11
2,49,RandTop,2,1,-217.899,-217.899,35
4,124,Random,2,1,-217.899,-217.899,2
5,167,RandTop,4,2,-435.793,-217.897,12
9,310,Heredity,4,2,-435.788,-217.894,1
4,121,Heredity,2,1,-217.893,-217.893,69
3,90,Random,2,1,-217.891,-217.891,69
3,89,Random,2,1,-217.889,-217.889,69
1,3,Random,2,1,-217.888,-217.888,2
6,215,RandTop,2,1,-217.887,-217.887,69
9,304,LatMutate,4,2,-435.772,-217.886,12
7,239,softmutate,4,2,-435.771,-217.886,1
2,47,Random,2,1,-217.875,-217.875,12
1,9,RandTop,2,1,-217.874,-217.874,12
8,287,LatMutate,2,1,-217.873,-217.873,42
1,15,RandTop,4,2,-435.744,-217.872,35
5,172,LatMutate,4,2,-435.739,-217.87,2
7,247,Random,2,1,-217.868,-217.868,2
9,318,RandTop,2,1,-217.866,-217.866,2
4,133,LatMutate,4,2,-435.731,-217.865,2
1,5,Random,2,1,-217.86,-217.86,2
9,300,Random,4,2,-435.719,-217.86,69
2,38,Heredity,4,2,-435.705,-217.853,2
1,13,Random,4,2,-435.705,-217.852,2
5,154,Random,4,2,-435.705,-217.852,15
3,77,Heredity,4,2,-435.699,-217.85,15
3,100,softmutate,4,2,-435.695,-217.848,2
2,55,Random,4,2,-435.685,-217.842,35
1,18,RandTop,4,2,-435.677,-217.839,11
3,96,RandTop,4,2,-435.677,-217.838,11
1,21,Random,2,1,-217.835,-217.835,1
2,67,Heredity,2,1,-217.824,-217.824,1
6,190,Heredity,4,2,-435.646,-217.823,2
4,119,softmutate,4,2,-435.644,-217.822,2
2,65,Permutate,2,1,-217.817,-217.817,42
3,106,LatMutate,2,1,-217.815,-217.815,42
4,138,Permutate,2,1,-217.814,-217.814,42
8,285,Random,2,1,-217.81,-217.81,42
6,201,softmutate,4,2,-435.614,-217.807,2
3,86,Heredity,2,1,-217.807,-217.807,12
7,250,RandTop,2,1,-217.805,-217.805,2
5,163,Heredity,4,2,-435.608,-217.804,2
2,44,Heredity,2,1,-217.803,-217.803,2
9,306,softmutate,4,2,-435.602,-217.801,74
3,81,RandTop,4,2,-435.599,-217.8,10
7,230,Random,4,2,-435.599,-217.799,74
5,178,Random,2,1,-217.799,-217.799,2
1,11,Random,4,2,-435.597,-217.798,74
1,20,RandTop,4,2,-435.591,-217.795,11
1,1,Random,2,1,-217.788,-217.788,2
3,95,Heredity,4,2,-435.568,-217.784,11
5,152,Heredity,4,2,-435.565,-217.783,2
