Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
8,279,Heredity,4,2,-289.94,-144.97,12
8,264,Permutate,4,2,-289.859,-144.93,15
6,198,Heredity,2,1,-144.818,-144.818,10
7,243,Random,4,2,-289.514,-144.757,15
7,248,softmutate,4,2,-289.514,-144.757,131
8,256,keptBest,4,2,-289.514,-144.757,15
8,255,keptBest,4,2,-289.514,-144.757,131
7,217,keptBest,4,2,-289.507,-144.753,25
6,181,keptBest,4,2,-289.507,-144.753,25
4,132,Heredity,4,2,-289.507,-144.753,25
5,144,keptBest,4,2,-289.507,-144.753,25
1,26,RandTop,4,2,-289.503,-144.752,12
6,182,keptBest,4,2,-289.504,-144.752,1
4,106,keptBest,4,2,-289.503,-144.752,12
4,105,keptBest,4,2,-289.504,-144.752,1
3,70,keptBest,4,2,-289.503,-144.752,12
2,35,keptBest,4,2,-289.503,-144.752,12
5,145,keptBest,4,2,-289.504,-144.752,1
1,19,Random,4,2,-289.504,-144.752,1
3,69,keptBest,4,2,-289.504,-144.752,1
7,218,keptBest,4,2,-289.504,-144.752,1
2,34,keptBest,4,2,-289.504,-144.752,1
3,100,Permutate,4,2,-289.501,-144.75,25
3,97,Heredity,4,2,-289.5,-144.75,25
7,238,keptBest,2,1,-144.749,-144.749,71
7,234,Heredity,2,1,-144.749,-144.749,71
6,205,keptBest,2,1,-144.749,-144.749,71
1,6,Random,2,1,-144.749,-144.749,71
5,178,Permutate,2,1,-144.749,-144.749,71
5,164,Heredity,2,1,-144.749,-144.749,71
3,84,Heredity,2,1,-144.747,-144.747,71
8,284,Permutate,2,1,-144.747,-144.747,71
3,103,softmutate,2,1,-144.747,-144.747,71
5,146,Heredity,4,2,-289.493,-144.746,2
5,158,softmutate,4,2,-289.474,-144.737,2
7,247,LatMutate,4,2,-289.472,-144.736,2
7,235,Heredity,2,1,-144.73,-144.73,12
8,275,RandTop,2,1,-144.728,-144.728,12
8,274,Random,2,1,-144.728,-144.728,12
5,163,Heredity,2,1,-144.727,-144.727,12
5,162,Heredity,2,1,-144.726,-144.726,12
3,92,Permutate,2,1,-144.726,-144.726,12
7,233,Heredity,2,1,-144.726,-144.726,12
3,91,Permutate,2,1,-144.726,-144.726,12
4,140,Permutate,2,1,-144.725,-144.725,12
4,121,Heredity,2,1,-144.725,-144.725,12
3,78,Heredity,2,1,-144.725,-144.725,12
3,79,Heredity,2,1,-144.725,-144.725,12
2,65,LatMutate,2,1,-144.725,-144.725,12
2,50,Heredity,2,1,-144.725,-144.725,12
6,200,Heredity,2,1,-144.725,-144.725,12
8,287,LatMutate,2,1,-144.725,-144.725,12
7,230,softmutate,4,2,-289.45,-144.725,2
4,108,Heredity,4,2,-289.449,-144.724,2
4,111,Heredity,4,2,-289.448,-144.724,2
3,74,LatMutate,4,2,-289.448,-144.724,2
8,283,softmutate,4,2,-289.446,-144.723,2
5,171,Random,4,2,-289.445,-144.723,2
8,266,softmutate,4,2,-289.446,-144.723,2
8,260,Heredity,4,2,-289.446,-144.723,2
8,280,Heredity,4,2,-289.445,-144.722,2
5,175,Random,2,1,-144.721,-144.721,12
8,278,Heredity,4,2,-289.443,-144.721,2
4,129,Heredity,4,2,-289.443,-144.721,2
3,90,RandTop,2,1,-144.718,-144.718,12
2,55,RandTop,2,1,-144.71,-144.71,10
2,66,RandTop,4,2,-289.411,-144.705,2
6,183,Heredity,4,2,-289.407,-144.704,2
8,277,Heredity,4,2,-289.406,-144.703,10
4,116,Permutate,4,2,-289.404,-144.702,2
8,267,softmutate,4,2,-289.377,-144.688,2
5,157,softmutate,4,2,-289.369,-144.685,15
4,133,keptBest,2,1,-144.682,-144.682,2
3,94,keptBest,2,1,-144.682,-144.682,2
1,13,RandTop,2,1,-144.682,-144.682,2
5,168,keptBest,2,1,-144.682,-144.682,2
2,56,keptBest,2,1,-144.682,-144.682,2
8,281,Permutate,4,2,-289.355,-144.678,1
6,187,Random,4,2,-289.353,-144.676,2
2,59,Heredity,4,2,-289.35,-144.675,2
4,112,Heredity,4,2,-289.346,-144.673,71
8,288,softmutate,4,2,-289.342,-144.671,1
2,63,Permutate,4,2,-289.337,-144.669,5
