Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,108,keptBest,4,2,-1539.042,-769.521,164
8,187,keptBest,2,1,-769.519,-769.519,191
5,104,Permutate,4,2,-1538.858,-769.429,2
5,113,Random,2,1,-769.397,-769.397,12
1,17,Random,2,1,-769.322,-769.322,12
1,7,Random,4,2,-1538.637,-769.318,2
2,45,LatMutate,4,2,-1538.634,-769.317,12
7,143,Heredity,4,2,-1538.628,-769.314,2
7,162,Permutate,2,1,-769.304,-769.304,8
5,102,Heredity,4,2,-1538.603,-769.302,12
5,103,Random,4,2,-1538.602,-769.301,1
5,115,RandTop,2,1,-769.295,-769.295,65
2,35,Heredity,4,2,-1538.59,-769.295,2
5,107,softmutate,4,2,-1538.579,-769.29,2
4,86,LatMutate,4,2,-1538.578,-769.289,2
1,12,RandTop,4,2,-1538.574,-769.287,10
7,141,Heredity,4,2,-1538.567,-769.284,2
8,181,Random,2,1,-769.279,-769.279,65
3,57,RandTop,4,2,-1538.557,-769.278,63
8,179,Heredity,2,1,-769.278,-769.278,12
6,122,Heredity,4,2,-1538.552,-769.276,5
8,167,Heredity,4,2,-1538.531,-769.266,12
2,34,Heredity,4,2,-1538.532,-769.266,2
6,125,softmutate,4,2,-1538.521,-769.261,12
2,36,Heredity,4,2,-1538.523,-769.261,5
2,33,Heredity,4,2,-1538.506,-769.253,1
2,51,LatMutate,2,1,-769.251,-769.251,12
7,145,Heredity,4,2,-1538.488,-769.244,2
1,15,RandTop,4,2,-1538.478,-769.239,12
4,75,Heredity,4,2,-1538.471,-769.236,15
8,175,softmutate,4,2,-1538.467,-769.234,11
6,120,Heredity,4,2,-1538.462,-769.231,5
6,124,Random,4,2,-1538.458,-769.229,12
7,142,Heredity,4,2,-1538.441,-769.22,2
1,6,Random,4,2,-1538.433,-769.217,12
5,99,Heredity,4,2,-1538.43,-769.215,2
3,58,RandTop,4,2,-1538.419,-769.209,12
5,98,Heredity,4,2,-1538.413,-769.206,2
7,144,Heredity,4,2,-1538.391,-769.195,15
8,172,softmutate,4,2,-1538.388,-769.194,2
4,88,softmutate,4,2,-1538.386,-769.193,2
5,100,Heredity,4,2,-1538.385,-769.192,11
3,60,softmutate,4,2,-1538.378,-769.189,1
4,93,Random,2,1,-769.185,-769.185,12
3,53,Heredity,4,2,-1538.357,-769.178,1
8,168,Heredity,4,2,-1538.335,-769.167,1
7,158,Heredity,2,1,-769.157,-769.157,12
2,46,softmutate,4,2,-1538.313,-769.157,13
6,129,Heredity,2,1,-769.141,-769.141,12
8,171,LatMutate,4,2,-1538.278,-769.139,1
6,132,Random,2,1,-769.125,-769.125,12
5,110,Heredity,2,1,-769.111,-769.111,2
8,186,LatMutate,2,1,-769.109,-769.109,12
4,91,Heredity,2,1,-769.107,-769.107,12
1,18,Random,2,1,-769.107,-769.107,12
8,164,Heredity,4,2,-1538.204,-769.102,2
4,78,Heredity,4,2,-1538.18,-769.09,65
7,157,Heredity,2,1,-769.084,-769.084,12
6,131,Random,2,1,-769.082,-769.082,12
7,151,LatMutate,4,2,-1538.161,-769.081,12
3,64,Heredity,2,1,-769.078,-769.078,65
1,9,RandTop,4,2,-1538.152,-769.076,11
1,24,Random,2,1,-769.075,-769.075,2
1,25,RandTop,2,1,-769.075,-769.075,12
1,28,RandTop,2,1,-769.065,-769.065,2
7,153,softmutate,4,2,-1538.12,-769.06,12
8,174,softmutate,4,2,-1538.099,-769.049,1
4,77,Heredity,4,2,-1538.094,-769.047,63
8,173,softmutate,4,2,-1538.087,-769.044,2
5,106,softmutate,4,2,-1538.081,-769.041,2
4,95,RandTop,2,1,-769.034,-769.034,12
5,112,Random,2,1,-769.028,-769.028,2
3,69,Random,2,1,-769.027,-769.027,12
6,134,RandTop,2,1,-769.017,-769.017,2
4,96,LatMutate,2,1,-769.016,-769.016,12
5,105,LatMutate,4,2,-1538.012,-769.006,2
5,114,RandTop,2,1,-768.99,-768.99,2
7,152,LatMutate,4,2,-1537.929,-768.964,74
2,32,Heredity,4,2,-1537.927,-768.963,2
6,135,RandTop,2,1,-768.944,-768.944,10
4,79,Heredity,4,2,-1537.836,-768.918,2
4,83,RandTop,4,2,-1537.828,-768.914,51
3,61,softmutate,4,2,-1537.795,-768.898,2
6,121,Heredity,4,2,-1537.795,-768.897,2
7,160,Random,2,1,-768.738,-768.738,191
2,31,Heredity,6,3,-2305.837,-768.612,1
