Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,136,keptBest,4,2,-1109.232,-554.616,166
5,111,Random,4,2,-1108.715,-554.358,12
3,70,keptBest,4,2,-1108.71,-554.355,11
2,37,Random,4,2,-1108.71,-554.355,11
6,138,keptBest,4,2,-1108.71,-554.355,11
4,94,keptBest,4,2,-1108.71,-554.355,11
8,188,keptBest,4,2,-1108.71,-554.355,11
5,118,keptBest,4,2,-1108.71,-554.355,11
7,164,keptBest,4,2,-1108.71,-554.355,11
5,99,Heredity,4,2,-1108.628,-554.314,11
1,7,RandTop,4,2,-1108.616,-554.308,11
2,43,keptBest,4,2,-1108.616,-554.308,11
7,158,softmutate,4,2,-1108.568,-554.284,2
4,87,Random,4,2,-1108.522,-554.261,2
5,112,softmutate,4,2,-1108.522,-554.261,2
7,161,softmutate,4,2,-1108.512,-554.256,2
3,62,Random,4,2,-1108.449,-554.225,12
7,150,Heredity,4,2,-1108.395,-554.198,69
6,125,Heredity,4,2,-1108.394,-554.197,69
4,91,softmutate,4,2,-1108.375,-554.187,12
7,149,Heredity,4,2,-1108.375,-554.187,69
4,85,Permutate,4,2,-1108.367,-554.184,63
7,151,Heredity,4,2,-1108.326,-554.163,69
8,181,Random,4,2,-1108.27,-554.135,63
5,101,Heredity,4,2,-1108.257,-554.129,12
4,81,Heredity,4,2,-1108.234,-554.117,12
8,183,softmutate,4,2,-1108.199,-554.1,12
1,12,RandTop,4,2,-1108.173,-554.087,65
3,71,keptBest,4,2,-1108.173,-554.087,65
2,44,keptBest,4,2,-1108.173,-554.087,65
8,175,Random,4,2,-1108.174,-554.087,65
8,177,RandTop,4,2,-1108.171,-554.086,65
6,126,Heredity,4,2,-1108.161,-554.081,8
2,31,Heredity,4,2,-1108.136,-554.068,12
8,185,softmutate,4,2,-1108.077,-554.038,12
7,152,Random,4,2,-1108.066,-554.033,1
8,174,Heredity,4,2,-1108.049,-554.025,12
4,83,Random,4,2,-1107.921,-553.96,12
6,135,softmutate,4,2,-1107.91,-553.955,12
3,61,Random,4,2,-1107.887,-553.944,11
4,82,Random,4,2,-1107.871,-553.936,11
6,134,softmutate,4,2,-1107.573,-553.786,11
4,78,Heredity,4,2,-1107.55,-553.775,11
2,35,Heredity,4,2,-1107.514,-553.757,2
4,89,softmutate,4,2,-1107.432,-553.716,11
8,184,softmutate,4,2,-1107.327,-553.663,2
5,113,softmutate,4,2,-1107.302,-553.651,11
8,171,Heredity,4,2,-1107.22,-553.61,12
7,148,Heredity,4,2,-1107.218,-553.609,12
3,57,Heredity,4,2,-1107.204,-553.602,12
7,145,Heredity,4,2,-1107.186,-553.593,12
4,80,Heredity,4,2,-1107.177,-553.589,12
8,173,Heredity,4,2,-1107.177,-553.589,12
5,106,Random,4,2,-1106.985,-553.492,38
7,160,softmutate,4,2,-1106.743,-553.372,63
6,133,softmutate,4,2,-1106.728,-553.364,63
5,114,softmutate,4,2,-1106.706,-553.353,63
7,157,LatMutate,4,2,-1106.696,-553.348,63
6,122,Heredity,4,2,-1106.216,-553.108,12
4,98,LatMutate,2,1,-553.105,-553.105,191
1,23,RandTop,2,1,-553.091,-553.091,191
1,24,RandTop,2,1,-553.091,-553.091,191
1,26,RandTop,2,1,-553.091,-553.091,191
1,15,Random,2,1,-553.091,-553.091,191
1,25,RandTop,2,1,-553.09,-553.09,191
1,17,Random,2,1,-553.09,-553.09,191
7,166,RandTop,2,1,-553.086,-553.086,191
2,45,Heredity,2,1,-553.069,-553.069,191
7,167,RandTop,2,1,-553.066,-553.066,191
4,95,Random,2,1,-553.033,-553.033,65
1,21,Random,2,1,-553.033,-553.033,65
1,20,Random,2,1,-553.032,-553.032,65
1,13,Random,2,1,-553.028,-553.028,191
4,97,RandTop,2,1,-553.022,-553.022,191
4,96,RandTop,2,1,-553.021,-553.021,191
1,27,RandTop,2,1,-552.998,-552.998,123
1,29,RandTop,2,1,-552.996,-552.996,123
1,11,RandTop,4,2,-1105.97,-552.985,71
1,16,Random,2,1,-552.975,-552.975,123
1,14,Random,2,1,-552.784,-552.784,71
1,8,RandTop,4,2,-1105.44,-552.72,191
1,1,Random,4,2,-1105.389,-552.694,191
1,4,Random,4,2,-1105.388,-552.694,191
1,5,Random,4,2,-1105.388,-552.694,191
5,105,Random,4,2,-1105.386,-552.693,191
7,159,softmutate,4,2,-1105.368,-552.684,191
3,66,softmutate,4,2,-1105.348,-552.674,10
4,90,softmutate,4,2,-1105.336,-552.668,191
1,18,Random,2,1,-552.647,-552.647,191
6,140,Random,2,1,-552.647,-552.647,191
2,49,Permutate,2,1,-552.647,-552.647,191
2,47,Random,2,1,-552.647,-552.647,191
1,28,RandTop,2,1,-552.647,-552.647,191
6,143,RandTop,2,1,-552.646,-552.646,191
2,52,LatMutate,2,1,-552.645,-552.645,191
5,119,Random,2,1,-552.645,-552.645,191
3,75,LatMutate,2,1,-552.644,-552.644,191
2,46,Heredity,2,1,-552.644,-552.644,191
3,73,RandTop,2,1,-552.644,-552.644,191
5,121,RandTop,2,1,-552.644,-552.644,191
2,51,LatMutate,2,1,-552.644,-552.644,191
5,120,RandTop,2,1,-552.643,-552.643,191
6,139,Random,2,1,-552.643,-552.643,191
1,22,Random,2,1,-552.643,-552.643,123
8,190,RandTop,2,1,-552.642,-552.642,191
6,144,Random,2,1,-552.642,-552.642,191
2,50,Permutate,2,1,-552.642,-552.642,123
4,79,Heredity,4,2,-1105.282,-552.641,191
7,165,Random,2,1,-552.641,-552.641,191
2,48,RandTop,2,1,-552.64,-552.64,123
6,142,Random,2,1,-552.64,-552.64,191
2,34,Heredity,4,2,-1105.279,-552.639,191
3,74,RandTop,2,1,-552.638,-552.638,123
1,19,Random,2,1,-552.638,-552.638,123
6,141,Random,2,1,-552.637,-552.637,123
3,59,Heredity,4,2,-1105.272,-552.636,1
8,189,Random,2,1,-552.621,-552.621,65
3,72,RandTop,2,1,-552.179,-552.179,12
