Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
9,299,keptBest,4,2,-1678.573,-839.287,166
10,333,Permutate,4,2,-1678.322,-839.161,156
7,226,keptBest,4,2,-1678.288,-839.144,6
7,217,Heredity,4,2,-1678.17,-839.085,12
7,236,LatMutate,4,2,-1678.143,-839.071,5
2,45,keptBest,4,2,-1678.111,-839.055,6
1,9,RandTop,4,2,-1678.111,-839.055,6
7,240,softmutate,4,2,-1678.093,-839.047,2
10,338,keptBest,4,2,-1678.095,-839.047,8
9,321,softmutate,4,2,-1678.095,-839.047,8
10,347,softmutate,4,2,-1678.092,-839.046,1
4,113,Random,4,2,-1678.091,-839.046,11
2,46,keptBest,4,2,-1678.077,-839.038,11
1,14,RandTop,4,2,-1678.077,-839.038,11
5,168,softmutate,4,2,-1678.062,-839.031,71
2,59,softmutate,4,2,-1678.058,-839.029,71
1,2,Random,4,2,-1678.051,-839.025,139
7,229,keptBest,4,2,-1678.051,-839.025,139
4,122,keptBest,4,2,-1678.051,-839.025,139
9,302,keptBest,4,2,-1678.051,-839.025,139
6,196,keptBest,4,2,-1678.051,-839.025,139
5,160,keptBest,4,2,-1678.051,-839.025,139
2,47,keptBest,4,2,-1678.051,-839.025,139
8,265,keptBest,4,2,-1678.051,-839.025,139
3,84,keptBest,4,2,-1678.051,-839.025,139
10,340,keptBest,4,2,-1678.051,-839.025,139
6,187,Permutate,4,2,-1678.05,-839.025,139
1,11,RandTop,4,2,-1678.048,-839.024,139
8,261,Permutate,4,2,-1678.047,-839.023,139
6,184,Heredity,4,2,-1678.046,-839.023,139
7,234,Permutate,4,2,-1678.045,-839.023,139
6,201,softmutate,4,2,-1678.044,-839.022,139
8,272,softmutate,4,2,-1678.042,-839.021,139
5,152,Random,4,2,-1678.042,-839.021,71
10,339,Permutate,4,2,-1678.042,-839.021,139
7,212,Heredity,4,2,-1678.042,-839.021,139
8,260,Permutate,4,2,-1678.039,-839.02,71
3,89,LatMutate,4,2,-1678.04,-839.02,139
2,32,Heredity,4,2,-1678.039,-839.02,139
6,182,Heredity,4,2,-1678.039,-839.02,139
4,129,softmutate,4,2,-1678.04,-839.02,139
4,115,Permutate,4,2,-1678.037,-839.019,139
2,41,Heredity,4,2,-1678.039,-839.019,139
9,286,Heredity,4,2,-1678.037,-839.019,71
2,38,Heredity,4,2,-1678.039,-839.019,71
6,192,RandTop,4,2,-1678.036,-839.018,71
10,324,Heredity,4,2,-1678.036,-839.018,139
1,3,Random,4,2,-1678.035,-839.018,71
5,165,Permutate,4,2,-1678.034,-839.017,1
4,105,Heredity,4,2,-1678.033,-839.016,139
3,77,Heredity,4,2,-1678.03,-839.015,139
2,54,softmutate,4,2,-1678.028,-839.014,71
10,325,Heredity,4,2,-1678.029,-839.014,71
10,330,Heredity,4,2,-1678.025,-839.013,139
8,252,Heredity,4,2,-1678.026,-839.013,139
8,256,Heredity,4,2,-1678.025,-839.012,1
3,74,Heredity,4,2,-1678.024,-839.012,139
5,169,softmutate,4,2,-1678.022,-839.011,1
2,37,Heredity,4,2,-1678.022,-839.011,139
8,250,Heredity,4,2,-1678.018,-839.009,71
9,290,Heredity,4,2,-1678.017,-839.008,1
2,60,softmutate,4,2,-1678.014,-839.007,12
3,90,LatMutate,4,2,-1678.01,-839.005,139
5,147,Heredity,4,2,-1678.01,-839.005,1
6,204,softmutate,4,2,-1678.005,-839.002,8
7,230,keptBest,4,2,-1678.005,-839.002,8
9,303,keptBest,4,2,-1678.005,-839.002,8
8,266,keptBest,4,2,-1678.005,-839.002,8
5,148,Heredity,4,2,-1678.002,-839.001,1
2,52,RandTop,4,2,-1678.0,-839.0,71
2,34,Heredity,4,2,-1678.001,-839.0,71
9,310,LatMutate,4,2,-1677.999,-838.999,71
3,73,Heredity,4,2,-1677.999,-838.999,8
7,218,Heredity,4,2,-1677.991,-838.995,71
8,264,Random,4,2,-1677.981,-838.99,2
4,112,Heredity,4,2,-1677.974,-838.987,71
6,188,Heredity,4,2,-1677.969,-838.985,11
2,48,Heredity,4,2,-1677.961,-838.98,71
4,140,softmutate,4,2,-1677.953,-838.976,1
4,128,LatMutate,4,2,-1677.944,-838.972,12
4,131,softmutate,4,2,-1677.939,-838.97,1
6,180,Heredity,4,2,-1677.934,-838.967,2
7,237,softmutate,4,2,-1677.899,-838.949,2
7,223,Heredity,4,2,-1677.872,-838.936,1
9,301,Permutate,4,2,-1677.871,-838.935,59
1,10,RandTop,4,2,-1677.832,-838.916,1
6,203,softmutate,4,2,-1677.818,-838.909,12
6,190,Random,4,2,-1677.772,-838.886,2
9,318,softmutate,4,2,-1677.713,-838.857,6
7,227,RandTop,4,2,-1677.653,-838.826,194
10,341,keptBest,4,2,-1677.653,-838.826,194
8,267,keptBest,4,2,-1677.653,-838.826,194
9,304,keptBest,4,2,-1677.653,-838.826,194
4,117,Heredity,4,2,-1677.615,-838.807,1
9,295,RandTop,4,2,-1677.579,-838.79,194
8,251,Heredity,4,2,-1677.523,-838.761,1
4,125,softmutate,4,2,-1677.467,-838.733,65
6,198,keptBest,4,2,-1677.437,-838.719,2
5,171,softmutate,4,2,-1677.437,-838.719,2
7,233,Permutate,4,2,-1677.421,-838.71,160
2,36,Heredity,4,2,-1677.411,-838.706,65
6,199,keptBest,4,2,-1677.393,-838.697,107
7,231,keptBest,4,2,-1677.393,-838.697,107
5,156,Permutate,4,2,-1677.393,-838.697,107
7,225,Random,4,2,-1677.393,-838.696,1
8,281,Random,2,1,-838.63,-838.63,160
7,239,Random,2,1,-838.622,-838.622,160
4,123,keptBest,4,2,-1677.215,-838.608,12
3,95,softmutate,4,2,-1677.215,-838.608,12
5,161,keptBest,4,2,-1677.215,-838.608,12
4,132,softmutate,4,2,-1677.184,-838.592,8
5,162,keptBest,4,2,-1677.184,-838.592,8
1,30,RandTop,2,1,-838.59,-838.59,166
8,255,Heredity,4,2,-1677.101,-838.55,12
