Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,144,keptBest,4,2,-2129.811,-1064.905,164
6,196,Permutate,4,2,-2129.469,-1064.734,1
4,116,Random,4,2,-2129.44,-1064.72,164
3,100,LatMutate,2,1,-1064.718,-1064.718,166
4,127,Heredity,4,2,-2129.375,-1064.687,12
1,13,RandTop,2,1,-1064.682,-1064.682,166
5,157,Permutate,4,2,-2129.361,-1064.681,1
6,206,RandTop,4,2,-2129.352,-1064.676,12
1,20,RandTop,4,2,-2129.348,-1064.674,1
4,139,Heredity,4,2,-2129.341,-1064.67,1
3,94,Permutate,4,2,-2129.326,-1064.663,166
5,165,Heredity,4,2,-2129.314,-1064.657,12
4,117,RandTop,4,2,-2129.313,-1064.656,164
3,87,Heredity,4,2,-2129.31,-1064.655,1
3,102,Heredity,4,2,-2129.299,-1064.649,12
1,15,Random,4,2,-2129.298,-1064.649,164
5,147,keptBest,4,2,-2129.299,-1064.649,12
2,34,keptBest,4,2,-2129.298,-1064.649,164
4,109,keptBest,4,2,-2129.299,-1064.649,12
4,122,Heredity,2,1,-1064.647,-1064.647,12
3,99,Permutate,2,1,-1064.644,-1064.644,164
1,5,Random,2,1,-1064.644,-1064.644,164
5,150,Heredity,4,2,-2129.28,-1064.64,166
6,218,RandTop,2,1,-1064.64,-1064.64,164
5,174,RandTop,2,1,-1064.639,-1064.639,164
3,98,RandTop,2,1,-1064.636,-1064.636,164
2,45,Heredity,2,1,-1064.635,-1064.635,166
1,14,RandTop,2,1,-1064.622,-1064.622,12
3,85,RandTop,2,1,-1064.62,-1064.62,164
1,12,RandTop,2,1,-1064.615,-1064.615,12
1,7,Random,2,1,-1064.614,-1064.614,12
3,86,keptBest,2,1,-1064.613,-1064.613,8
2,49,keptBest,2,1,-1064.613,-1064.613,8
1,11,RandTop,2,1,-1064.613,-1064.613,8
1,25,Random,4,2,-2129.219,-1064.609,11
1,26,RandTop,4,2,-2129.211,-1064.605,59
6,192,Random,4,2,-2129.199,-1064.599,59
5,164,Heredity,4,2,-2129.186,-1064.593,8
2,68,softmutate,4,2,-2129.185,-1064.593,1
3,83,Heredity,2,1,-1064.581,-1064.581,160
4,114,Heredity,4,2,-2129.156,-1064.578,166
4,140,Heredity,4,2,-2129.15,-1064.575,12
4,138,LatMutate,2,1,-1064.573,-1064.573,42
2,48,Random,2,1,-1064.571,-1064.571,164
2,61,LatMutate,2,1,-1064.569,-1064.569,8
6,203,Heredity,4,2,-2129.135,-1064.567,1
4,112,Heredity,4,2,-2129.11,-1064.555,166
2,41,Heredity,4,2,-2129.106,-1064.553,59
5,163,Heredity,4,2,-2129.1,-1064.55,8
2,37,Heredity,4,2,-2129.097,-1064.549,166
2,55,RandTop,4,2,-2129.093,-1064.547,11
4,135,RandTop,2,1,-1064.539,-1064.539,1
4,137,LatMutate,2,1,-1064.534,-1064.534,12
5,152,Heredity,4,2,-2129.063,-1064.531,12
3,76,Heredity,4,2,-2129.043,-1064.522,11
6,189,Heredity,4,2,-2129.03,-1064.515,11
4,128,Heredity,4,2,-2129.028,-1064.514,2
5,169,LatMutate,4,2,-2129.003,-1064.502,2
1,22,Random,2,1,-1064.497,-1064.497,12
5,166,Heredity,4,2,-2128.973,-1064.487,11
3,78,Heredity,4,2,-2128.971,-1064.486,11
6,195,RandTop,4,2,-2128.932,-1064.466,166
1,1,Random,4,2,-2128.927,-1064.464,11
3,95,LatMutate,4,2,-2128.919,-1064.46,12
3,92,Permutate,4,2,-2128.897,-1064.448,12
3,75,Heredity,4,2,-2128.883,-1064.441,1
3,106,RandTop,4,2,-2128.882,-1064.441,6
4,141,softmutate,4,2,-2128.879,-1064.439,1
6,201,Heredity,4,2,-2128.849,-1064.424,12
6,204,Random,4,2,-2128.839,-1064.419,166
3,101,Heredity,4,2,-2128.834,-1064.417,12
6,183,keptBest,4,2,-2128.829,-1064.414,166
5,154,RandTop,4,2,-2128.829,-1064.414,166
6,197,Permutate,4,2,-2128.801,-1064.4,25
6,184,keptBest,4,2,-2128.797,-1064.398,2
4,126,Heredity,4,2,-2128.797,-1064.398,2
5,148,keptBest,4,2,-2128.797,-1064.398,2
6,207,LatMutate,4,2,-2128.773,-1064.386,6
3,72,keptBest,4,2,-2128.735,-1064.367,65
2,64,Permutate,4,2,-2128.735,-1064.367,65
4,110,keptBest,4,2,-2128.735,-1064.367,65
1,29,Random,4,2,-2128.723,-1064.361,65
2,35,keptBest,4,2,-2128.723,-1064.361,65
5,168,RandTop,4,2,-2128.719,-1064.36,59
4,129,Random,4,2,-2128.697,-1064.348,8
5,167,Random,4,2,-2128.692,-1064.346,2
6,200,Heredity,4,2,-2128.669,-1064.334,11
4,111,keptBest,4,2,-2128.664,-1064.332,1
3,73,keptBest,4,2,-2128.664,-1064.332,1
2,63,Random,4,2,-2128.664,-1064.332,1
2,44,Random,4,2,-2128.662,-1064.331,141
6,211,RandTop,2,1,-1064.329,-1064.329,6
2,40,Heredity,4,2,-2128.654,-1064.327,2
1,24,Random,4,2,-2128.646,-1064.323,141
2,36,keptBest,4,2,-2128.646,-1064.323,141
6,217,softmutate,4,2,-2128.641,-1064.321,1
3,90,Random,4,2,-2128.638,-1064.319,141
5,155,RandTop,4,2,-2128.59,-1064.295,123
6,212,Heredity,4,2,-2128.573,-1064.286,2
6,185,keptBest,4,2,-2128.568,-1064.284,123
5,160,softmutate,4,2,-2128.568,-1064.284,123
3,89,Heredity,4,2,-2128.547,-1064.274,2
2,62,LatMutate,2,1,-1064.271,-1064.271,69
1,10,RandTop,2,1,-1064.269,-1064.269,69
4,121,Heredity,2,1,-1064.266,-1064.266,69
6,210,Random,2,1,-1064.266,-1064.266,123
5,178,softmutate,4,2,-2128.528,-1064.264,2
6,209,Random,2,1,-1064.264,-1064.264,123
1,3,Random,2,1,-1064.257,-1064.257,123
2,65,softmutate,4,2,-2128.51,-1064.255,1
2,54,RandTop,4,2,-2128.509,-1064.255,139
1,2,Random,4,2,-2128.491,-1064.246,8
5,175,Heredity,4,2,-2128.489,-1064.245,12
1,30,RandTop,4,2,-2128.486,-1064.243,1
1,23,Random,4,2,-2128.482,-1064.241,69
2,58,softmutate,4,2,-2128.475,-1064.238,8
6,186,Heredity,4,2,-2128.464,-1064.232,59
1,31,RandTop,4,2,-2128.461,-1064.231,12
4,131,RandTop,4,2,-2128.459,-1064.229,12
6,188,Heredity,4,2,-2128.44,-1064.22,12
1,21,RandTop,4,2,-2128.416,-1064.208,123
1,16,Random,4,2,-2128.414,-1064.207,123
1,17,Random,4,2,-2128.409,-1064.205,123
3,74,Heredity,4,2,-2128.387,-1064.193,1
4,133,softmutate,4,2,-2128.361,-1064.181,1
6,213,softmutate,4,2,-2128.359,-1064.179,1
6,198,LatMutate,4,2,-2128.335,-1064.168,2
4,124,Heredity,4,2,-2128.287,-1064.143,2
2,51,Heredity,4,2,-2128.274,-1064.137,11
2,43,Heredity,4,2,-2128.26,-1064.13,2
2,57,softmutate,4,2,-2128.255,-1064.128,2
5,151,Heredity,4,2,-2128.238,-1064.119,59
6,202,Heredity,4,2,-2128.228,-1064.114,2
6,199,softmutate,4,2,-2128.218,-1064.109,12
5,156,RandTop,4,2,-2128.152,-1064.076,2
1,27,RandTop,4,2,-2128.089,-1064.045,47
1,32,RandTop,4,2,-2128.072,-1064.036,6
2,42,Heredity,4,2,-2128.069,-1064.034,8
5,162,Heredity,2,1,-1064.023,-1064.023,38
6,191,Heredity,4,2,-2128.044,-1064.022,1
2,66,softmutate,4,2,-2128.043,-1064.021,2
6,187,Heredity,4,2,-2128.026,-1064.013,12
1,19,Random,4,2,-2128.025,-1064.012,11
2,46,Heredity,2,1,-1064.008,-1064.008,38
3,82,softmutate,4,2,-2128.015,-1064.007,2
6,215,softmutate,4,2,-2127.997,-1063.999,1
6,193,RandTop,4,2,-2127.999,-1063.999,38
4,123,Random,2,1,-1063.991,-1063.991,38
6,208,softmutate,4,2,-2127.979,-1063.99,1
5,161,Heredity,2,1,-1063.989,-1063.989,6
6,205,RandTop,4,2,-2127.977,-1063.988,38
3,91,RandTop,4,2,-2127.961,-1063.981,38
2,69,softmutate,4,2,-2127.931,-1063.966,1
4,115,Heredity,4,2,-2127.924,-1063.962,8
4,113,Heredity,4,2,-2127.906,-1063.953,63
6,216,softmutate,4,2,-2127.864,-1063.932,8
3,88,Heredity,4,2,-2127.864,-1063.932,1
