Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,198,Heredity,2,1,-407.056,-407.056,12
5,143,keptBest,4,2,-814.099,-407.049,59
7,232,Heredity,2,1,-407.038,-407.038,12
6,193,Permutate,4,2,-813.758,-406.879,47
7,216,Heredity,4,2,-813.71,-406.855,8
5,164,Heredity,2,1,-406.855,-406.855,47
3,90,Heredity,2,1,-406.845,-406.845,123
7,237,Random,2,1,-406.845,-406.845,123
5,144,keptBest,4,2,-813.652,-406.826,1
6,180,keptBest,4,2,-813.652,-406.826,1
4,121,softmutate,4,2,-813.652,-406.826,1
4,116,RandTop,4,2,-813.645,-406.823,59
3,77,Random,4,2,-813.642,-406.821,59
4,107,keptBest,4,2,-813.642,-406.821,59
3,70,keptBest,4,2,-813.633,-406.817,12
4,119,softmutate,4,2,-813.634,-406.817,59
2,36,Heredity,4,2,-813.633,-406.817,12
4,140,LatMutate,2,1,-406.805,-406.805,38
3,71,Heredity,4,2,-813.61,-406.805,11
3,91,Heredity,2,1,-406.803,-406.803,38
4,131,Permutate,2,1,-406.793,-406.793,6
5,148,Heredity,4,2,-813.569,-406.784,2
3,83,Permutate,4,2,-813.566,-406.783,38
7,227,Permutate,4,2,-813.567,-406.783,38
7,219,Heredity,4,2,-813.547,-406.774,36
6,211,Random,4,2,-813.543,-406.772,38
2,62,keptBest,2,1,-406.772,-406.772,38
1,26,RandTop,2,1,-406.772,-406.772,38
3,85,softmutate,4,2,-813.536,-406.768,5
5,149,Heredity,4,2,-813.528,-406.764,6
3,99,RandTop,4,2,-813.523,-406.762,1
4,112,Heredity,4,2,-813.522,-406.761,2
5,159,LatMutate,4,2,-813.522,-406.761,11
1,31,Random,4,2,-813.52,-406.76,12
2,37,Heredity,4,2,-813.519,-406.759,6
3,75,Heredity,4,2,-813.516,-406.758,12
5,177,LatMutate,2,1,-406.756,-406.756,12
2,64,softmutate,4,2,-813.512,-406.756,2
7,247,softmutate,4,2,-813.511,-406.755,2
7,229,softmutate,4,2,-813.508,-406.754,139
2,52,Random,2,1,-406.754,-406.754,38
5,168,Random,2,1,-406.753,-406.753,38
3,103,Permutate,2,1,-406.753,-406.753,47
1,32,RandTop,4,2,-813.505,-406.752,6
4,111,Heredity,4,2,-813.501,-406.751,12
2,50,Heredity,2,1,-406.751,-406.751,6
5,147,Heredity,4,2,-813.498,-406.749,139
6,183,Heredity,4,2,-813.493,-406.747,1
6,189,Heredity,4,2,-813.494,-406.747,12
7,220,Heredity,4,2,-813.489,-406.744,12
4,108,Heredity,4,2,-813.488,-406.744,1
3,76,Heredity,4,2,-813.487,-406.743,6
1,1,Random,4,2,-813.487,-406.743,2
7,230,softmutate,4,2,-813.484,-406.742,1
3,96,Heredity,4,2,-813.482,-406.741,139
2,41,Heredity,4,2,-813.481,-406.74,2
2,35,Heredity,4,2,-813.478,-406.739,2
4,122,Heredity,2,1,-406.739,-406.739,6
7,234,Heredity,2,1,-406.738,-406.738,2
3,84,LatMutate,4,2,-813.473,-406.737,12
1,30,RandTop,2,1,-406.736,-406.736,12
2,63,Heredity,4,2,-813.469,-406.734,2
1,21,RandTop,2,1,-406.734,-406.734,12
7,215,Heredity,4,2,-813.468,-406.734,12
6,192,Permutate,4,2,-813.468,-406.734,63
4,109,Heredity,4,2,-813.466,-406.733,12
5,166,Heredity,2,1,-406.731,-406.731,12
5,176,LatMutate,2,1,-406.73,-406.73,6
6,203,RandTop,2,1,-406.73,-406.73,12
7,240,RandTop,2,1,-406.727,-406.727,2
6,182,Heredity,4,2,-813.452,-406.726,139
2,66,softmutate,4,2,-813.452,-406.726,2
6,185,Heredity,4,2,-813.443,-406.722,12
4,136,Heredity,4,2,-813.44,-406.72,69
4,117,RandTop,4,2,-813.433,-406.716,123
6,191,RandTop,4,2,-813.432,-406.716,123
4,110,Heredity,4,2,-813.43,-406.715,12
2,49,softmutate,4,2,-813.424,-406.712,166
3,105,softmutate,4,2,-813.408,-406.704,12
5,174,softmutate,4,2,-813.385,-406.692,1
6,184,Heredity,4,2,-813.384,-406.692,1
