Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
8,191,keptBest,2,1,-1622.804,-1622.804,12
6,144,keptBest,2,1,-1622.796,-1622.796,12
6,141,softmutate,2,1,-1622.726,-1622.726,1
4,84,Random,2,1,-1622.701,-1622.701,65
8,179,RandTop,2,1,-1622.604,-1622.604,2
2,47,LatMutate,2,1,-1622.599,-1622.599,12
1,18,RandTop,2,1,-1622.598,-1622.598,12
4,85,Random,2,1,-1622.595,-1622.595,2
7,157,RandTop,2,1,-1622.585,-1622.585,1
2,37,Heredity,2,1,-1622.572,-1622.572,2
6,139,LatMutate,2,1,-1622.572,-1622.572,2
1,15,Random,2,1,-1622.537,-1622.537,1
2,50,softmutate,2,1,-1622.532,-1622.532,2
7,153,Random,2,1,-1622.518,-1622.518,1
5,108,Random,2,1,-1622.513,-1622.513,12
7,165,softmutate,2,1,-1622.511,-1622.511,8
4,86,RandTop,2,1,-1622.454,-1622.454,1
