Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
4,107,keptBest,4,2,-6586.668,-3293.334,71
2,58,Random,4,2,-6586.442,-3293.221,2
5,182,Random,4,2,-6586.414,-3293.207,2
4,109,keptBest,4,2,-6586.283,-3293.141,63
6,215,RandTop,4,2,-6586.258,-3293.129,63
6,202,keptBest,2,1,-3293.125,-3293.125,12
2,62,RandTop,2,1,-3293.125,-3293.125,12
4,125,keptBest,2,1,-3293.125,-3293.125,12
5,166,keptBest,2,1,-3293.125,-3293.125,12
3,83,keptBest,2,1,-3293.125,-3293.125,12
1,32,RandTop,4,2,-6586.248,-3293.124,63
1,19,RandTop,4,2,-6586.208,-3293.104,10
6,196,RandTop,2,1,-3293.102,-3293.102,12
5,159,RandTop,2,1,-3293.1,-3293.1,12
2,48,keptBest,2,1,-3293.1,-3293.1,12
1,17,RandTop,2,1,-3293.1,-3293.1,12
3,90,RandTop,2,1,-3293.098,-3293.098,12
6,210,RandTop,4,2,-6586.187,-3293.093,10
3,82,Permutate,4,2,-6586.15,-3293.075,12
4,134,LatMutate,2,1,-3293.064,-3293.064,12
1,31,RandTop,4,2,-6586.122,-3293.061,2
4,127,keptBest,2,1,-3293.059,-3293.059,164
6,206,keptBest,2,1,-3293.059,-3293.059,164
3,88,Random,2,1,-3293.059,-3293.059,164
5,167,keptBest,2,1,-3293.059,-3293.059,164
1,15,Random,2,1,-3293.057,-3293.057,12
3,86,Heredity,2,1,-3293.053,-3293.053,164
4,133,LatMutate,2,1,-3293.047,-3293.047,139
1,27,RandTop,4,2,-6586.083,-3293.042,12
6,203,Permutate,2,1,-3293.032,-3293.032,42
4,117,Heredity,2,1,-3293.028,-3293.028,69
4,136,Random,4,2,-6586.042,-3293.021,2
4,116,Heredity,2,1,-3293.02,-3293.02,12
6,189,Heredity,2,1,-3293.012,-3293.012,2
6,192,Heredity,2,1,-3293.01,-3293.01,139
5,174,Heredity,2,1,-3293.006,-3293.006,2
5,181,LatMutate,2,1,-3293.005,-3293.005,12
5,158,RandTop,2,1,-3293.002,-3293.002,139
3,74,keptBest,4,2,-6585.994,-3292.997,12
2,35,keptBest,4,2,-6585.994,-3292.997,12
1,14,Random,4,2,-6585.994,-3292.997,12
3,105,RandTop,4,2,-6585.992,-3292.996,12
1,22,Random,4,2,-6585.991,-3292.996,65
2,36,keptBest,4,2,-6585.991,-3292.996,65
4,137,RandTop,4,2,-6585.972,-3292.986,12
4,138,RandTop,4,2,-6585.972,-3292.986,12
1,20,RandTop,4,2,-6585.971,-3292.985,12
5,157,Random,2,1,-3292.978,-3292.978,12
1,18,Random,4,2,-6585.955,-3292.977,12
1,10,Random,2,1,-3292.973,-3292.973,12
2,60,RandTop,2,1,-3292.969,-3292.969,12
2,42,Heredity,2,1,-3292.964,-3292.964,71
3,87,Heredity,2,1,-3292.962,-3292.962,12
1,23,Random,4,2,-6585.92,-3292.96,139
1,25,RandTop,4,2,-6585.906,-3292.953,65
1,1,Random,2,1,-3292.952,-3292.952,139
2,41,Heredity,2,1,-3292.951,-3292.951,139
2,64,Random,4,2,-6585.891,-3292.945,63
2,67,Random,4,2,-6585.872,-3292.936,12
6,204,Permutate,2,1,-3292.936,-3292.936,139
1,12,RandTop,2,1,-3292.932,-3292.932,12
4,120,Random,2,1,-3292.93,-3292.93,12
4,140,RandTop,4,2,-6585.852,-3292.926,11
6,205,LatMutate,2,1,-3292.924,-3292.924,2
6,193,Heredity,2,1,-3292.917,-3292.917,139
6,218,RandTop,4,2,-6585.823,-3292.911,1
5,165,RandTop,4,2,-6585.811,-3292.905,139
1,13,RandTop,2,1,-3292.893,-3292.893,2
6,213,Random,4,2,-6585.781,-3292.891,59
5,175,Heredity,2,1,-3292.887,-3292.887,71
1,29,Random,4,2,-6585.763,-3292.882,12
2,63,Random,4,2,-6585.762,-3292.881,12
5,173,LatMutate,2,1,-3292.88,-3292.88,12
4,141,LatMutate,2,1,-3292.877,-3292.877,139
