Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
3,98,RandTop,4,2,-7356.059,-3678.029,129
1,19,RandTop,4,2,-7355.919,-3677.96,164
4,108,keptBest,4,2,-7355.646,-3677.823,11
3,93,Permutate,4,2,-7355.646,-3677.823,11
5,163,Permutate,4,2,-7355.646,-3677.823,11
5,149,Random,2,1,-3677.822,-3677.822,164
2,59,LatMutate,2,1,-3677.807,-3677.807,160
7,220,keptBest,4,2,-7355.592,-3677.796,129
6,183,keptBest,4,2,-7355.592,-3677.796,129
5,169,Permutate,4,2,-7355.592,-3677.796,129
7,245,LatMutate,2,1,-3677.777,-3677.777,12
3,70,keptBest,4,2,-7355.525,-3677.763,2
4,109,keptBest,4,2,-7355.525,-3677.763,2
2,54,Permutate,4,2,-7355.525,-3677.763,2
5,165,LatMutate,2,1,-3677.756,-3677.756,8
3,71,keptBest,4,2,-7355.471,-3677.735,139
5,145,keptBest,4,2,-7355.471,-3677.735,139
1,18,RandTop,4,2,-7355.471,-3677.735,139
7,221,keptBest,4,2,-7355.471,-3677.735,139
4,110,keptBest,4,2,-7355.471,-3677.735,139
6,184,keptBest,4,2,-7355.471,-3677.735,139
2,34,keptBest,4,2,-7355.471,-3677.735,139
7,234,Permutate,2,1,-3677.712,-3677.712,139
6,199,Permutate,2,1,-3677.711,-3677.711,139
3,78,Permutate,2,1,-3677.711,-3677.711,139
6,189,Heredity,2,1,-3677.708,-3677.708,12
7,235,LatMutate,2,1,-3677.707,-3677.707,160
6,198,Permutate,4,2,-7355.413,-3677.706,139
7,242,Permutate,4,2,-7355.393,-3677.696,139
3,72,keptBest,4,2,-7355.382,-3677.691,12
1,31,Random,4,2,-7355.382,-3677.691,12
2,35,keptBest,4,2,-7355.382,-3677.691,12
2,43,Random,2,1,-3677.683,-3677.683,139
3,86,keptBest,2,1,-3677.683,-3677.683,139
5,158,Permutate,2,1,-3677.68,-3677.68,139
1,21,RandTop,4,2,-7355.349,-3677.674,139
6,187,Heredity,2,1,-3677.663,-3677.663,139
7,244,LatMutate,2,1,-3677.662,-3677.662,8
6,191,Random,2,1,-3677.66,-3677.66,139
6,201,LatMutate,2,1,-3677.634,-3677.634,12
5,159,LatMutate,2,1,-3677.631,-3677.631,12
4,114,RandTop,2,1,-3677.61,-3677.61,139
1,15,RandTop,4,2,-7355.215,-3677.607,69
2,36,keptBest,4,2,-7355.215,-3677.607,69
2,37,keptBest,2,1,-3677.599,-3677.599,164
1,10,RandTop,2,1,-3677.599,-3677.599,164
6,197,RandTop,4,2,-7355.198,-3677.599,69
2,68,RandTop,4,2,-7355.182,-3677.591,139
1,26,Random,4,2,-7355.135,-3677.567,63
3,97,Random,4,2,-7355.13,-3677.565,69
5,160,Random,2,1,-3677.564,-3677.564,12
1,22,Random,4,2,-7355.129,-3677.564,42
5,168,Random,4,2,-7355.102,-3677.551,69
6,209,Random,4,2,-7355.091,-3677.545,69
7,249,Random,4,2,-7355.061,-3677.531,69
3,80,LatMutate,2,1,-3677.519,-3677.519,12
4,112,Heredity,2,1,-3677.51,-3677.51,12
3,99,Permutate,4,2,-7355.014,-3677.507,1
1,13,Random,4,2,-7354.988,-3677.494,5
1,12,Random,4,2,-7354.987,-3677.493,69
7,253,LatMutate,2,1,-3677.489,-3677.489,8
5,146,keptBest,4,2,-7354.976,-3677.488,5
6,185,keptBest,4,2,-7354.976,-3677.488,5
7,222,keptBest,4,2,-7354.976,-3677.488,5
4,125,Random,4,2,-7354.976,-3677.488,5
1,14,RandTop,4,2,-7354.961,-3677.481,11
1,27,RandTop,4,2,-7354.954,-3677.477,11
2,64,Random,4,2,-7354.938,-3677.469,8
3,105,RandTop,4,2,-7354.905,-3677.453,6
6,210,Random,4,2,-7354.9,-3677.45,69
7,228,RandTop,2,1,-3677.449,-3677.449,12
4,137,Permutate,4,2,-7354.885,-3677.443,1
3,104,Random,4,2,-7354.882,-3677.441,8
3,84,RandTop,2,1,-3677.439,-3677.439,12
7,248,Random,4,2,-7354.874,-3677.437,69
1,25,RandTop,4,2,-7354.865,-3677.433,12
1,20,RandTop,4,2,-7354.85,-3677.425,12
5,178,Permutate,4,2,-7354.849,-3677.424,1
6,217,RandTop,4,2,-7354.801,-3677.4,2
2,56,RandTop,2,1,-3677.4,-3677.4,12
4,111,Heredity,2,1,-3677.398,-3677.398,12
7,250,RandTop,4,2,-7354.793,-3677.397,11
4,133,Random,4,2,-7354.759,-3677.379,69
1,32,RandTop,4,2,-7354.753,-3677.377,139
4,122,LatMutate,2,1,-3677.374,-3677.374,2
4,126,Permutate,4,2,-7354.745,-3677.373,12
6,188,Heredity,2,1,-3677.371,-3677.371,12
7,251,Permutate,4,2,-7354.742,-3677.371,12
6,211,Permutate,4,2,-7354.739,-3677.37,12
6,205,Permutate,4,2,-7354.733,-3677.367,12
5,180,RandTop,4,2,-7354.716,-3677.358,8
3,81,Heredity,2,1,-3677.338,-3677.338,69
3,85,RandTop,2,1,-3677.331,-3677.331,12
6,214,Random,4,2,-7354.656,-3677.328,11
1,24,Random,4,2,-7354.637,-3677.319,2
