Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,159,keptBest,2,1,-3532.822,-3532.822,164
6,210,Random,4,2,-7065.499,-3532.749,129
6,193,Permutate,2,1,-3532.644,-3532.644,8
3,104,RandTop,4,2,-7065.192,-3532.596,59
4,108,keptBest,4,2,-7065.192,-3532.596,59
5,145,keptBest,4,2,-7065.192,-3532.596,59
6,182,keptBest,4,2,-7065.192,-3532.596,59
6,197,Permutate,4,2,-7065.183,-3532.591,59
5,146,keptBest,4,2,-7065.139,-3532.57,38
4,132,RandTop,4,2,-7065.139,-3532.57,38
6,183,keptBest,4,2,-7065.139,-3532.57,38
6,217,RandTop,4,2,-7065.099,-3532.549,8
5,169,Permutate,4,2,-7065.09,-3532.545,38
6,184,Heredity,2,1,-3532.533,-3532.533,12
3,70,keptBest,4,2,-7065.013,-3532.507,59
1,26,Random,4,2,-7065.013,-3532.507,59
2,33,keptBest,4,2,-7065.013,-3532.507,59
6,212,Random,4,2,-7064.941,-3532.471,8
6,216,Random,4,2,-7064.766,-3532.383,160
1,25,Random,4,2,-7064.756,-3532.378,2
4,119,Permutate,2,1,-3532.35,-3532.35,38
6,194,LatMutate,2,1,-3532.342,-3532.342,38
1,3,Random,2,1,-3532.335,-3532.335,164
6,204,keptBest,2,1,-3532.335,-3532.335,164
2,52,keptBest,2,1,-3532.335,-3532.335,164
3,91,keptBest,2,1,-3532.335,-3532.335,164
5,161,keptBest,2,1,-3532.335,-3532.335,164
4,126,keptBest,2,1,-3532.335,-3532.335,164
6,209,Random,4,2,-7064.657,-3532.328,38
4,141,Random,4,2,-7064.631,-3532.315,12
6,186,Heredity,2,1,-3532.308,-3532.308,6
1,22,RandTop,4,2,-7064.614,-3532.307,63
5,173,RandTop,4,2,-7064.613,-3532.307,8
4,111,Heredity,2,1,-3532.303,-3532.303,12
3,71,keptBest,4,2,-7064.596,-3532.298,1
4,109,keptBest,4,2,-7064.596,-3532.298,1
2,34,keptBest,4,2,-7064.596,-3532.298,1
1,30,RandTop,4,2,-7064.596,-3532.298,1
3,101,LatMutate,2,1,-3532.278,-3532.278,8
3,80,Heredity,2,1,-3532.276,-3532.276,38
5,149,Heredity,2,1,-3532.274,-3532.274,1
3,77,Heredity,2,1,-3532.269,-3532.269,6
4,112,Heredity,2,1,-3532.266,-3532.266,38
5,180,RandTop,4,2,-7064.526,-3532.263,1
3,78,Heredity,2,1,-3532.26,-3532.26,8
6,207,RandTop,2,1,-3532.26,-3532.26,12
1,20,Random,4,2,-7064.512,-3532.256,2
1,27,Random,4,2,-7064.505,-3532.253,4
2,69,RandTop,4,2,-7064.477,-3532.239,31
5,165,keptBest,2,1,-3532.209,-3532.209,8
6,205,keptBest,2,1,-3532.209,-3532.209,8
4,133,LatMutate,2,1,-3532.209,-3532.209,8
2,61,Permutate,4,2,-7064.404,-3532.202,6
4,143,RandTop,4,2,-7064.221,-3532.111,12
3,72,keptBest,4,2,-7064.121,-3532.06,43
1,21,Random,4,2,-7064.121,-3532.06,43
2,35,keptBest,4,2,-7064.121,-3532.06,43
4,110,keptBest,4,2,-7064.121,-3532.06,43
6,192,Permutate,2,1,-3532.036,-3532.036,69
3,89,Permutate,2,1,-3532.029,-3532.029,69
5,157,Permutate,2,1,-3532.023,-3532.023,69
5,151,Heredity,2,1,-3532.016,-3532.016,69
6,185,Heredity,2,1,-3532.015,-3532.015,69
2,40,Random,2,1,-3532.011,-3532.011,69
3,74,Heredity,2,1,-3532.01,-3532.01,69
5,170,LatMutate,2,1,-3532.003,-3532.003,2
4,123,Permutate,2,1,-3532.001,-3532.001,69
5,156,Permutate,2,1,-3532.001,-3532.001,69
1,8,Random,2,1,-3531.983,-3531.983,12
1,32,RandTop,4,2,-7063.966,-3531.983,139
5,155,Permutate,2,1,-3531.974,-3531.974,69
1,2,Random,2,1,-3531.968,-3531.968,123
1,24,RandTop,4,2,-7063.921,-3531.96,156
1,10,Random,2,1,-3531.956,-3531.956,123
5,168,Random,4,2,-7063.905,-3531.953,139
6,189,Random,2,1,-3531.937,-3531.937,123
1,4,Random,2,1,-3531.935,-3531.935,123
4,114,Heredity,2,1,-3531.928,-3531.928,12
1,31,Random,4,2,-7063.832,-3531.916,2
5,152,Random,2,1,-3531.899,-3531.899,123
5,177,Random,4,2,-7063.79,-3531.895,139
1,23,Random,4,2,-7063.789,-3531.895,12
