Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
8,177,keptBest,4,2,-1888.66,-944.33,8
3,67,keptBest,4,2,-1888.471,-944.236,20
7,158,LatMutate,4,2,-1888.19,-944.095,1
5,101,Heredity,4,2,-1888.082,-944.041,1
7,154,RandTop,4,2,-1888.003,-944.001,12
1,18,RandTop,4,2,-1887.983,-943.992,2
5,113,keptBest,4,2,-1887.983,-943.992,2
4,92,keptBest,4,2,-1887.983,-943.992,2
3,68,keptBest,4,2,-1887.983,-943.992,2
2,44,keptBest,4,2,-1887.983,-943.992,2
1,12,RandTop,4,2,-1887.89,-943.945,8
9,211,keptBest,2,1,-943.916,-943.916,166
2,51,Permutate,2,1,-943.916,-943.916,166
5,119,keptBest,2,1,-943.916,-943.916,166
3,75,keptBest,2,1,-943.916,-943.916,166
6,143,keptBest,2,1,-943.916,-943.916,166
5,117,Permutate,2,1,-943.916,-943.916,166
4,98,keptBest,2,1,-943.916,-943.916,166
9,209,Permutate,2,1,-943.916,-943.916,166
7,164,keptBest,2,1,-943.916,-943.916,166
8,186,Permutate,2,1,-943.916,-943.916,166
8,188,keptBest,2,1,-943.916,-943.916,166
4,82,Heredity,4,2,-1887.825,-943.913,2
6,140,Random,2,1,-943.907,-943.907,166
9,205,Heredity,2,1,-943.905,-943.905,1
5,114,Heredity,2,1,-943.903,-943.903,12
4,78,Heredity,4,2,-1887.803,-943.901,1
2,36,Random,4,2,-1887.794,-943.897,166
3,62,Permutate,4,2,-1887.788,-943.894,166
3,60,Permutate,4,2,-1887.789,-943.894,166
8,171,RandTop,4,2,-1887.782,-943.891,194
9,196,Permutate,4,2,-1887.782,-943.891,166
6,129,RandTop,4,2,-1887.781,-943.89,194
8,182,Random,2,1,-943.889,-943.889,166
9,204,Heredity,2,1,-943.887,-943.887,166
8,184,RandTop,2,1,-943.886,-943.886,166
8,187,LatMutate,2,1,-943.882,-943.882,166
6,125,Heredity,4,2,-1887.764,-943.882,1
9,206,Random,2,1,-943.881,-943.881,166
3,71,Random,2,1,-943.879,-943.879,166
3,72,Random,2,1,-943.879,-943.879,166
2,49,Random,2,1,-943.878,-943.878,166
2,45,Heredity,2,1,-943.878,-943.878,166
7,163,Random,2,1,-943.875,-943.875,166
2,52,LatMutate,2,1,-943.874,-943.874,166
4,93,Random,2,1,-943.863,-943.863,166
1,6,Random,4,2,-1887.707,-943.854,5
7,148,Heredity,4,2,-1887.709,-943.854,166
4,96,LatMutate,2,1,-943.853,-943.853,166
6,142,LatMutate,2,1,-943.851,-943.851,12
7,162,Random,2,1,-943.85,-943.85,12
6,122,Heredity,4,2,-1887.685,-943.843,166
7,151,Heredity,4,2,-1887.669,-943.834,1
6,132,Permutate,4,2,-1887.669,-943.834,1
4,83,Heredity,4,2,-1887.628,-943.814,1
1,26,Random,2,1,-943.806,-943.806,12
2,53,keptBest,2,1,-943.806,-943.806,12
7,153,RandTop,4,2,-1887.608,-943.804,12
4,94,Random,2,1,-943.8,-943.8,12
1,5,Random,4,2,-1887.599,-943.799,166
4,95,Random,2,1,-943.792,-943.792,12
1,20,Random,2,1,-943.775,-943.775,12
8,168,Heredity,4,2,-1887.539,-943.77,5
1,30,RandTop,2,1,-943.752,-943.752,12
3,63,LatMutate,4,2,-1887.479,-943.74,8
4,88,Permutate,4,2,-1887.478,-943.739,1
3,61,Permutate,4,2,-1887.475,-943.737,1
6,130,RandTop,4,2,-1887.47,-943.735,1
2,42,softmutate,4,2,-1887.469,-943.735,1
1,25,Random,2,1,-943.729,-943.729,12
2,37,RandTop,4,2,-1887.422,-943.711,15
9,194,Random,4,2,-1887.41,-943.705,15
5,111,softmutate,4,2,-1887.405,-943.703,8
4,86,RandTop,4,2,-1887.394,-943.697,38
6,128,Random,4,2,-1887.39,-943.695,1
4,90,softmutate,4,2,-1887.37,-943.685,1
2,35,Heredity,4,2,-1887.363,-943.682,12
7,144,Heredity,4,2,-1887.358,-943.679,2
5,106,Random,4,2,-1887.345,-943.673,1
7,157,LatMutate,4,2,-1887.298,-943.649,2
4,80,Heredity,4,2,-1887.285,-943.643,1
3,64,LatMutate,4,2,-1887.281,-943.641,2
9,192,Heredity,4,2,-1887.267,-943.634,1
1,16,RandTop,4,2,-1887.268,-943.634,44
6,126,Heredity,4,2,-1887.249,-943.624,1
8,172,Permutate,4,2,-1887.22,-943.61,8
9,191,Heredity,4,2,-1887.207,-943.603,1
9,189,Heredity,4,2,-1887.205,-943.603,2
8,169,Heredity,4,2,-1887.195,-943.598,2
5,100,Heredity,4,2,-1887.132,-943.566,2
8,174,softmutate,4,2,-1887.072,-943.536,12
3,69,Heredity,2,1,-943.53,-943.53,5
1,11,RandTop,4,2,-1887.031,-943.515,8
3,56,Heredity,4,2,-1887.025,-943.512,1
4,77,Heredity,4,2,-1886.965,-943.483,1
7,152,Random,4,2,-1886.947,-943.473,15
8,167,Heredity,4,2,-1886.915,-943.458,1
6,123,Heredity,4,2,-1886.907,-943.453,2
9,195,RandTop,4,2,-1886.902,-943.451,58
1,15,RandTop,4,2,-1886.901,-943.45,58
7,159,softmutate,4,2,-1886.871,-943.436,12
2,39,Permutate,4,2,-1886.865,-943.432,5
2,38,RandTop,4,2,-1886.769,-943.385,5
4,87,Permutate,4,2,-1886.728,-943.364,8
4,76,Heredity,4,2,-1886.643,-943.322,15
2,41,softmutate,4,2,-1886.59,-943.295,1
5,102,Heredity,4,2,-1886.57,-943.285,2
2,34,Heredity,4,2,-1886.564,-943.282,1
6,134,softmutate,4,2,-1886.54,-943.27,2
5,115,Random,2,1,-943.223,-943.223,1
3,54,Heredity,4,2,-1886.443,-943.221,1
8,181,Random,2,1,-943.187,-943.187,8
4,97,LatMutate,2,1,-943.183,-943.183,8
9,210,LatMutate,2,1,-943.179,-943.179,8
8,170,Random,4,2,-1886.356,-943.178,44
1,23,Random,2,1,-943.176,-943.176,8
8,180,Random,2,1,-943.176,-943.176,8
6,139,Random,2,1,-943.175,-943.175,8
2,46,Heredity,2,1,-943.175,-943.175,8
3,70,Heredity,2,1,-943.173,-943.173,8
1,21,Random,2,1,-943.17,-943.17,8
3,55,Heredity,4,2,-1886.327,-943.163,15
3,74,RandTop,2,1,-943.158,-943.158,8
1,4,Random,4,2,-1886.313,-943.157,1
1,2,Random,4,2,-1886.31,-943.155,9
1,28,Random,2,1,-943.154,-943.154,8
5,116,Random,2,1,-943.137,-943.137,8
9,199,softmutate,4,2,-1886.271,-943.136,1
1,29,RandTop,2,1,-943.128,-943.128,8
8,165,Heredity,4,2,-1886.242,-943.121,2
1,27,Random,2,1,-943.112,-943.112,8
9,207,Random,2,1,-943.103,-943.103,8
1,8,RandTop,4,2,-1886.104,-943.052,6
9,200,softmutate,4,2,-1886.062,-943.031,12
6,135,softmutate,4,2,-1886.062,-943.031,2
3,65,softmutate,4,2,-1886.021,-943.011,1
8,175,softmutate,4,2,-1886.015,-943.007,1
8,173,LatMutate,4,2,-1885.981,-942.991,1
8,183,Random,2,1,-942.98,-942.98,12
7,147,Heredity,4,2,-1885.887,-942.944,8
6,131,Permutate,4,2,-1885.871,-942.936,2
2,40,LatMutate,4,2,-1885.87,-942.935,8
2,50,RandTop,2,1,-942.935,-942.935,12
1,22,Random,2,1,-942.929,-942.929,12
