Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
2,36,softmutate,4,2,-1451.204,-725.602,6
5,99,Heredity,4,2,-1450.881,-725.441,8
5,95,Heredity,4,2,-1450.769,-725.385,11
6,130,keptBest,4,2,-1450.769,-725.385,11
5,105,keptBest,4,2,-1450.626,-725.313,2
4,80,LatMutate,4,2,-1450.626,-725.313,2
6,120,Heredity,4,2,-1450.564,-725.282,6
6,123,RandTop,4,2,-1450.479,-725.239,1
2,46,Permutate,2,1,-725.208,-725.208,119
4,93,keptBest,2,1,-725.208,-725.208,119
3,72,keptBest,2,1,-725.208,-725.208,119
5,113,keptBest,2,1,-725.208,-725.208,119
6,136,keptBest,2,1,-725.208,-725.208,119
3,68,Heredity,2,1,-725.207,-725.207,119
1,19,Random,2,1,-725.206,-725.206,119
2,48,keptBest,2,1,-725.206,-725.206,119
4,86,Heredity,2,1,-725.206,-725.206,119
2,27,Heredity,4,2,-1450.411,-725.206,119
4,89,Random,2,1,-725.205,-725.205,119
2,42,Random,2,1,-725.205,-725.205,119
3,66,Heredity,2,1,-725.205,-725.205,119
1,22,RandTop,2,1,-725.204,-725.204,119
4,91,RandTop,2,1,-725.191,-725.191,119
4,81,softmutate,4,2,-1450.377,-725.188,1
6,117,Heredity,4,2,-1450.373,-725.187,1
4,85,keptBest,4,2,-1450.305,-725.153,119
1,7,Random,4,2,-1450.305,-725.153,119
3,64,keptBest,4,2,-1450.305,-725.153,119
2,37,keptBest,4,2,-1450.305,-725.153,119
6,114,Heredity,4,2,-1450.291,-725.146,119
4,76,Heredity,4,2,-1450.147,-725.074,22
3,56,Permutate,4,2,-1450.059,-725.029,1
6,118,Heredity,4,2,-1450.0,-725.0,8
2,38,keptBest,4,2,-1449.89,-724.945,10
1,12,RandTop,4,2,-1449.89,-724.945,10
6,124,Permutate,4,2,-1449.888,-724.944,1
4,75,Heredity,4,2,-1449.879,-724.94,1
2,31,Heredity,4,2,-1449.873,-724.936,5
5,103,softmutate,4,2,-1449.856,-724.928,2
3,51,Heredity,4,2,-1449.795,-724.897,2
1,2,Random,4,2,-1449.784,-724.892,1
6,126,LatMutate,4,2,-1449.758,-724.879,1
4,74,Heredity,4,2,-1449.752,-724.876,10
1,3,Random,4,2,-1449.75,-724.875,5
6,125,Permutate,4,2,-1449.742,-724.871,1
2,35,softmutate,4,2,-1449.704,-724.852,2
5,97,Heredity,4,2,-1449.675,-724.838,1
6,128,softmutate,4,2,-1449.647,-724.824,5
3,59,softmutate,4,2,-1449.63,-724.815,1
2,40,Heredity,2,1,-724.782,-724.782,1
6,133,Random,2,1,-724.78,-724.78,1
1,16,Random,2,1,-724.763,-724.763,1
3,53,Random,4,2,-1449.523,-724.761,7
4,88,Random,2,1,-724.76,-724.76,1
4,82,softmutate,4,2,-1449.516,-724.758,2
4,87,Heredity,2,1,-724.756,-724.756,1
3,65,Heredity,2,1,-724.746,-724.746,1
3,67,Heredity,2,1,-724.74,-724.74,8
2,43,Random,2,1,-724.739,-724.739,1
6,122,Heredity,4,2,-1449.479,-724.739,10
2,41,Heredity,2,1,-724.734,-724.734,1
2,34,softmutate,4,2,-1449.441,-724.72,1
6,119,Heredity,4,2,-1449.433,-724.716,12
1,5,Random,4,2,-1449.419,-724.709,1
2,39,Heredity,2,1,-724.701,-724.701,1
4,92,LatMutate,2,1,-724.699,-724.699,1
5,110,Permutate,2,1,-724.694,-724.694,1
4,83,softmutate,4,2,-1449.388,-724.694,8
5,106,Heredity,2,1,-724.693,-724.693,1
5,112,LatMutate,2,1,-724.69,-724.69,8
5,98,Heredity,4,2,-1449.348,-724.674,2
2,47,LatMutate,2,1,-724.673,-724.673,1
1,10,Random,4,2,-1449.312,-724.656,1
1,9,Random,4,2,-1449.278,-724.639,2
2,28,Heredity,4,2,-1449.212,-724.606,1
3,62,softmutate,4,2,-1449.206,-724.603,1
1,17,Random,2,1,-724.599,-724.599,1
1,24,RandTop,2,1,-724.587,-724.587,1
4,78,RandTop,4,2,-1449.145,-724.573,2
3,57,LatMutate,4,2,-1449.117,-724.559,2
3,61,softmutate,4,2,-1449.114,-724.557,2
4,79,Permutate,4,2,-1449.105,-724.553,1
6,115,Heredity,4,2,-1449.1,-724.55,1
3,58,LatMutate,4,2,-1449.072,-724.536,8
1,25,RandTop,2,1,-724.512,-724.512,1
5,101,RandTop,4,2,-1448.949,-724.475,15
5,100,Random,4,2,-1448.925,-724.462,118
2,32,Random,4,2,-1448.916,-724.458,118
2,30,Heredity,4,2,-1448.899,-724.45,15
1,13,RandTop,4,2,-1448.857,-724.428,2
4,77,Heredity,4,2,-1448.825,-724.412,2
4,73,Heredity,4,2,-1448.822,-724.411,118
3,52,Random,4,2,-1448.801,-724.4,12
1,1,Random,4,2,-1448.777,-724.388,1
6,116,Heredity,4,2,-1448.732,-724.366,1
6,127,softmutate,4,2,-1448.704,-724.352,1
5,102,Permutate,4,2,-1448.69,-724.345,38
3,49,Heredity,4,2,-1448.678,-724.339,1
3,60,softmutate,4,2,-1448.65,-724.325,1
1,8,Random,4,2,-1448.619,-724.31,1
1,4,Random,4,2,-1448.607,-724.303,1
1,11,Random,4,2,-1448.593,-724.296,1
1,14,Random,2,1,-724.257,-724.257,6
2,29,Heredity,4,2,-1448.431,-724.216,3
3,50,Heredity,4,2,-1448.281,-724.14,8
2,33,Permutate,4,2,-1448.276,-724.138,1
6,121,Heredity,4,2,-1448.198,-724.099,1
3,70,Random,2,1,-724.086,-724.086,115
3,55,Permutate,4,2,-1448.065,-724.032,1
5,111,LatMutate,2,1,-723.976,-723.976,5
1,18,Random,2,1,-723.971,-723.971,5
1,20,RandTop,2,1,-723.969,-723.969,5
4,90,Random,2,1,-723.966,-723.966,5
5,94,Heredity,4,2,-1447.888,-723.944,1
5,96,Heredity,4,2,-1447.888,-723.944,1
3,54,RandTop,4,2,-1447.878,-723.939,38
1,6,Random,4,2,-1447.724,-723.862,17
3,69,Random,2,1,-723.693,-723.693,156
2,44,RandTop,2,1,-723.691,-723.691,156
1,21,RandTop,2,1,-723.669,-723.669,6
2,45,RandTop,2,1,-723.642,-723.642,6
5,108,Random,2,1,-722.563,-722.563,42
6,131,Random,2,1,-722.561,-722.561,166
6,134,RandTop,2,1,-721.722,-721.722,8
