Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
2,49,Permutate,4,2,-2462.128,-1231.064,1
6,207,Random,4,2,-2461.824,-1230.912,2
2,33,keptBest,4,2,-2461.72,-1230.86,2
3,70,keptBest,4,2,-2461.72,-1230.86,2
1,22,RandTop,4,2,-2461.72,-1230.86,2
1,31,Random,4,2,-2461.675,-1230.838,2
2,62,Heredity,4,2,-2461.589,-1230.794,1
6,198,Permutate,4,2,-2461.536,-1230.768,1
6,212,Random,4,2,-2461.509,-1230.755,1
4,139,RandTop,4,2,-2461.508,-1230.754,1
4,108,keptBest,4,2,-2461.5,-1230.75,1
3,104,Random,4,2,-2461.5,-1230.75,1
5,145,keptBest,4,2,-2461.5,-1230.75,1
6,181,keptBest,4,2,-2461.5,-1230.75,1
5,161,Permutate,4,2,-2461.482,-1230.741,1
5,173,Permutate,4,2,-2461.345,-1230.673,1
3,101,Permutate,4,2,-2460.816,-1230.408,1
1,19,Random,4,2,-2460.806,-1230.403,2
4,109,keptBest,4,2,-2460.806,-1230.403,2
3,71,keptBest,4,2,-2460.806,-1230.403,2
6,182,keptBest,4,2,-2460.806,-1230.403,2
2,34,keptBest,4,2,-2460.806,-1230.403,2
5,146,keptBest,4,2,-2460.806,-1230.403,2
4,111,Permutate,4,2,-2460.789,-1230.395,2
3,83,Permutate,4,2,-2460.788,-1230.394,2
3,73,Permutate,4,2,-2460.787,-1230.394,2
1,20,Random,4,2,-2460.753,-1230.376,2
2,35,keptBest,4,2,-2460.753,-1230.376,2
1,24,RandTop,4,2,-2460.751,-1230.376,2
5,179,RandTop,4,2,-2460.584,-1230.292,1
4,137,RandTop,4,2,-2460.577,-1230.288,1
4,123,Heredity,4,2,-2460.547,-1230.274,2
4,110,keptBest,4,2,-2460.437,-1230.219,1
2,64,RandTop,4,2,-2460.437,-1230.219,1
5,147,keptBest,4,2,-2460.437,-1230.219,1
6,183,keptBest,4,2,-2460.437,-1230.219,1
3,72,keptBest,4,2,-2460.437,-1230.219,1
5,174,Permutate,4,2,-2460.434,-1230.217,1
3,97,Permutate,4,2,-2460.406,-1230.203,1
1,25,Random,4,2,-2460.407,-1230.203,1
4,138,RandTop,4,2,-2460.316,-1230.158,1
4,121,Heredity,4,2,-2460.245,-1230.123,1
1,28,RandTop,4,2,-2460.243,-1230.121,1
2,54,Heredity,4,2,-2460.189,-1230.095,1
6,184,keptBest,2,1,-1230.094,-1230.094,12
5,178,LatMutate,2,1,-1230.094,-1230.094,12
5,148,keptBest,2,1,-1230.075,-1230.075,2
4,113,Heredity,2,1,-1230.075,-1230.075,2
4,118,Random,2,1,-1230.052,-1230.052,12
4,127,keptBest,2,1,-1230.048,-1230.048,2
3,74,Heredity,2,1,-1230.048,-1230.048,2
3,89,keptBest,2,1,-1230.047,-1230.047,2
2,42,Heredity,2,1,-1230.047,-1230.047,2
5,150,Random,2,1,-1230.043,-1230.043,12
2,45,Random,2,1,-1230.041,-1230.041,12
2,57,LatMutate,2,1,-1230.04,-1230.04,2
6,187,Random,2,1,-1230.04,-1230.04,2
5,165,RandTop,2,1,-1230.038,-1230.038,2
6,188,Random,2,1,-1230.033,-1230.033,2
3,77,Random,2,1,-1230.032,-1230.032,2
2,44,Random,2,1,-1230.03,-1230.03,2
3,100,LatMutate,2,1,-1230.03,-1230.03,2
2,41,Heredity,2,1,-1230.028,-1230.028,12
5,154,Random,2,1,-1230.025,-1230.025,2
4,132,LatMutate,2,1,-1230.021,-1230.021,12
6,204,LatMutate,2,1,-1230.021,-1230.021,12
5,151,Random,2,1,-1230.014,-1230.014,2
3,88,RandTop,2,1,-1230.008,-1230.008,2
2,43,Random,2,1,-1230.003,-1230.003,12
5,153,Random,2,1,-1230.001,-1230.001,12
3,76,Random,2,1,-1229.999,-1229.999,2
6,205,Heredity,4,2,-2459.996,-1229.998,1
3,91,Heredity,4,2,-2459.99,-1229.995,1
4,117,Heredity,2,1,-1229.992,-1229.992,2
1,1,Random,2,1,-1229.983,-1229.983,12
2,38,keptBest,2,1,-1229.983,-1229.983,12
2,48,keptBest,2,1,-1229.978,-1229.978,2
1,2,Random,2,1,-1229.978,-1229.978,2
4,116,Heredity,2,1,-1229.976,-1229.976,2
2,59,softmutate,4,2,-2459.918,-1229.959,2
4,114,Heredity,2,1,-1229.948,-1229.948,65
2,46,Random,2,1,-1229.948,-1229.948,166
3,93,Heredity,4,2,-2459.868,-1229.934,2
6,203,Permutate,2,1,-1229.934,-1229.934,2
1,27,RandTop,4,2,-2459.867,-1229.934,1
4,140,LatMutate,4,2,-2459.868,-1229.934,2
6,186,Heredity,2,1,-1229.93,-1229.93,12
2,40,Heredity,2,1,-1229.929,-1229.929,2
4,131,Permutate,2,1,-1229.927,-1229.927,2
5,152,Random,2,1,-1229.923,-1229.923,12
3,75,Random,2,1,-1229.909,-1229.909,12
2,39,Heredity,2,1,-1229.907,-1229.907,12
5,149,Heredity,2,1,-1229.907,-1229.907,12
6,185,Heredity,2,1,-1229.906,-1229.906,12
1,4,Random,2,1,-1229.905,-1229.905,12
4,142,Heredity,4,2,-2459.803,-1229.901,1
6,210,Random,4,2,-2459.8,-1229.9,1
4,133,LatMutate,2,1,-1229.896,-1229.896,12
4,125,Heredity,4,2,-2459.784,-1229.892,2
4,115,Heredity,2,1,-1229.889,-1229.889,12
6,200,softmutate,4,2,-2459.761,-1229.881,2
1,21,Random,4,2,-2459.76,-1229.88,2
3,103,softmutate,4,2,-2459.753,-1229.876,1
6,202,RandTop,2,1,-1229.875,-1229.875,2
4,128,softmutate,4,2,-2459.745,-1229.872,12
2,52,RandTop,2,1,-1229.863,-1229.863,65
1,9,RandTop,2,1,-1229.863,-1229.863,187
3,106,softmutate,4,2,-2459.717,-1229.859,2
1,10,RandTop,2,1,-1229.856,-1229.856,6
4,124,Heredity,4,2,-2459.713,-1229.856,12
3,86,RandTop,2,1,-1229.855,-1229.855,2
3,80,Heredity,4,2,-2459.707,-1229.854,1
5,166,RandTop,2,1,-1229.852,-1229.852,65
6,208,Random,4,2,-2459.663,-1229.831,1
4,119,Random,2,1,-1229.829,-1229.829,65
6,213,Permutate,4,2,-2459.641,-1229.82,1
5,170,Heredity,4,2,-2459.621,-1229.811,2
3,102,Permutate,4,2,-2459.599,-1229.799,1
1,12,Random,4,2,-2459.503,-1229.751,51
1,15,RandTop,2,1,-1229.747,-1229.747,2
1,3,Random,2,1,-1229.738,-1229.738,10
1,8,RandTop,2,1,-1229.726,-1229.726,65
2,51,RandTop,2,1,-1229.723,-1229.723,123
6,211,LatMutate,4,2,-2459.447,-1229.723,1
2,66,RandTop,4,2,-2459.436,-1229.718,6
5,155,Heredity,4,2,-2459.43,-1229.715,1
3,87,RandTop,2,1,-1229.708,-1229.708,123
1,11,Random,4,2,-2459.369,-1229.685,4
5,158,Heredity,4,2,-2459.361,-1229.68,1
2,47,Heredity,4,2,-2459.344,-1229.672,2
1,16,Random,4,2,-2459.316,-1229.658,4
5,171,Heredity,4,2,-2459.312,-1229.656,2
4,129,softmutate,4,2,-2459.299,-1229.649,2
2,67,RandTop,4,2,-2459.297,-1229.648,1
3,84,LatMutate,4,2,-2459.292,-1229.646,1
4,120,Heredity,4,2,-2459.292,-1229.646,8
1,14,Random,2,1,-1229.642,-1229.642,2
5,156,Heredity,4,2,-2459.278,-1229.639,2
3,82,Heredity,4,2,-2459.268,-1229.634,5
1,26,Random,4,2,-2459.265,-1229.633,1
5,169,Heredity,4,2,-2459.259,-1229.63,2
