Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
7,222,RandTop,4,2,-1156.526,-578.263,5
8,265,RandTop,4,2,-1156.35,-578.175,2
10,332,keptBest,4,2,-1156.185,-578.092,2
11,353,Heredity,4,2,-1156.119,-578.06,2
8,260,keptBest,4,2,-1156.109,-578.054,35
9,297,keptBest,4,2,-1156.109,-578.054,35
4,110,keptBest,4,2,-1156.109,-578.054,35
7,223,keptBest,4,2,-1156.109,-578.054,35
6,183,keptBest,4,2,-1156.109,-578.054,35
5,147,keptBest,4,2,-1156.109,-578.054,35
3,72,keptBest,4,2,-1156.109,-578.054,35
1,1,Random,4,2,-1156.109,-578.054,35
10,333,keptBest,4,2,-1156.109,-578.054,35
11,368,keptBest,4,2,-1156.109,-578.054,35
2,40,keptBest,4,2,-1156.109,-578.054,35
8,254,Random,4,2,-1156.106,-578.053,1
9,298,keptBest,4,2,-1156.106,-578.053,1
5,153,softmutate,4,2,-1156.094,-578.047,2
5,152,softmutate,4,2,-1156.09,-578.045,2
3,73,keptBest,4,2,-1156.066,-578.033,1
1,11,RandTop,4,2,-1156.066,-578.033,1
4,111,keptBest,4,2,-1156.066,-578.033,1
5,148,keptBest,4,2,-1156.066,-578.033,1
2,41,keptBest,4,2,-1156.066,-578.033,1
11,348,Heredity,4,2,-1156.052,-578.026,2
2,45,RandTop,4,2,-1156.045,-578.022,2
7,224,keptBest,4,2,-1156.038,-578.019,2
6,184,keptBest,4,2,-1156.038,-578.019,2
4,102,Random,4,2,-1156.038,-578.019,2
5,149,keptBest,4,2,-1156.038,-578.019,2
8,261,keptBest,4,2,-1156.038,-578.019,2
4,105,Heredity,4,2,-1156.036,-578.018,2
10,319,Heredity,4,2,-1156.02,-578.01,2
5,144,Random,4,2,-1156.019,-578.01,2
4,118,LatMutate,4,2,-1156.01,-578.005,2
8,251,RandTop,4,2,-1156.01,-578.005,1
11,360,Random,4,2,-1155.978,-577.989,1
7,213,Random,4,2,-1155.966,-577.983,5
2,46,keptBest,4,2,-1155.965,-577.982,9
1,10,Random,4,2,-1155.965,-577.982,9
2,37,Heredity,4,2,-1155.956,-577.978,1
4,104,Heredity,4,2,-1155.952,-577.976,9
8,250,Random,4,2,-1155.95,-577.975,1
7,210,Heredity,4,2,-1155.934,-577.967,1
3,85,Permutate,4,2,-1155.928,-577.964,1
2,35,Random,4,2,-1155.924,-577.962,9
