Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
1,9,RandTop,4,2,-2020.565,-1010.282,31
3,71,keptBest,2,1,-1010.249,-1010.249,160
5,103,Permutate,4,2,-2020.387,-1010.193,2
5,108,Heredity,2,1,-1010.13,-1010.13,8
3,70,Permutate,2,1,-1010.082,-1010.082,8
4,78,Random,4,2,-2020.145,-1010.072,59
5,116,softmutate,2,1,-1010.048,-1010.048,1
1,23,Random,2,1,-1009.947,-1009.947,1
2,39,keptBest,4,2,-2019.813,-1009.907,2
1,14,RandTop,4,2,-2019.813,-1009.907,2
4,80,RandTop,4,2,-2019.674,-1009.837,12
1,11,RandTop,4,2,-2019.547,-1009.773,6
2,34,Random,4,2,-2019.459,-1009.73,1
1,1,Random,4,2,-2019.421,-1009.711,1
5,102,Random,4,2,-2019.36,-1009.68,1
1,13,RandTop,4,2,-2019.351,-1009.676,2
1,2,Random,4,2,-2019.195,-1009.597,1
1,4,Random,4,2,-2019.182,-1009.591,1
4,82,Permutate,4,2,-2019.024,-1009.512,1
1,15,RandTop,4,2,-2018.969,-1009.485,1
4,81,Permutate,4,2,-2018.9,-1009.45,1
2,31,Heredity,4,2,-2018.851,-1009.425,1
2,28,Heredity,4,2,-2018.836,-1009.418,1
5,99,Heredity,4,2,-2018.717,-1009.359,1
5,100,Heredity,4,2,-2018.673,-1009.337,1
4,85,softmutate,4,2,-2018.605,-1009.302,2
5,97,Heredity,4,2,-2018.467,-1009.234,1
4,73,Heredity,6,3,-3027.407,-1009.136,1
4,92,LatMutate,2,1,-1009.135,-1009.135,1
3,56,Random,4,2,-2018.115,-1009.058,6
2,42,Random,2,1,-1009.031,-1009.031,44
5,98,Heredity,4,2,-2018.054,-1009.027,1
4,77,Heredity,4,2,-2018.019,-1009.01,6
2,33,Heredity,4,2,-2018.002,-1009.001,2
1,18,Random,2,1,-1009.0,-1009.0,6
1,20,Random,2,1,-1008.994,-1008.994,6
1,16,Random,2,1,-1008.989,-1008.989,6
3,62,softmutate,4,2,-2017.954,-1008.977,1
4,75,Heredity,4,2,-2017.951,-1008.975,2
3,51,Heredity,4,2,-2017.917,-1008.958,6
3,55,Heredity,4,2,-2017.897,-1008.949,13
5,109,Random,2,1,-1008.949,-1008.949,1
1,19,Random,2,1,-1008.901,-1008.901,1
2,32,Heredity,4,2,-2017.768,-1008.884,1
3,61,softmutate,4,2,-2017.708,-1008.854,2
3,59,LatMutate,4,2,-2017.682,-1008.841,1
5,105,softmutate,4,2,-2017.604,-1008.802,1
4,79,Random,4,2,-2017.556,-1008.778,2
4,83,softmutate,4,2,-2017.506,-1008.753,1
3,50,Heredity,6,3,-3026.011,-1008.67,1
3,60,LatMutate,4,2,-2017.3,-1008.65,1
3,57,Random,4,2,-2017.272,-1008.636,2
2,35,Random,4,2,-2017.271,-1008.636,3
4,84,softmutate,4,2,-2017.076,-1008.538,2
3,58,RandTop,4,2,-2017.043,-1008.521,38
1,12,RandTop,4,2,-2016.996,-1008.498,2
2,30,Heredity,4,2,-2016.993,-1008.497,1
1,3,Random,4,2,-2016.928,-1008.464,2
1,8,Random,4,2,-2016.925,-1008.463,2
3,53,Heredity,4,2,-2016.909,-1008.455,1
5,96,Heredity,6,3,-3025.353,-1008.451,1
1,5,Random,4,2,-2016.823,-1008.412,2
4,74,Heredity,4,2,-2016.624,-1008.312,2
2,29,Heredity,4,2,-2016.484,-1008.242,1
3,52,Heredity,4,2,-2016.298,-1008.149,1
3,54,Heredity,4,2,-2015.488,-1007.744,1
5,104,softmutate,4,2,-2015.463,-1007.732,1
4,86,softmutate,4,2,-2015.398,-1007.699,1
3,68,RandTop,2,1,-1007.655,-1007.655,6
5,101,Random,4,2,-2015.008,-1007.504,1
4,76,Heredity,4,2,-2014.803,-1007.401,13
1,27,RandTop,2,1,-1007.24,-1007.24,5
2,36,RandTop,4,2,-2014.086,-1007.043,1
1,6,Random,4,2,-2013.772,-1006.886,2
4,89,Heredity,2,1,-1006.742,-1006.742,1
2,44,Permutate,2,1,-1005.722,-1005.722,166
5,112,Permutate,2,1,-1005.7,-1005.7,166
2,45,Permutate,2,1,-1005.695,-1005.695,166
3,69,Permutate,2,1,-1005.502,-1005.502,166
4,93,LatMutate,2,1,-1005.418,-1005.418,10
4,91,RandTop,2,1,-1004.603,-1004.603,47
1,10,RandTop,4,2,-2009.197,-1004.599,47
