Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
6,177,keptBest,4,2,-6317.914,-3158.957,1
1,22,RandTop,4,2,-6317.9,-3158.95,65
5,158,Random,4,2,-6317.846,-3158.923,139
3,70,keptBest,4,2,-6317.558,-3158.779,194
1,20,Random,4,2,-6317.553,-3158.776,38
4,131,Permutate,2,1,-3158.755,-3158.755,12
3,83,Random,2,1,-3158.746,-3158.746,12
2,34,keptBest,4,2,-6317.481,-3158.741,59
1,25,RandTop,4,2,-6317.481,-3158.741,59
5,160,LatMutate,2,1,-3158.736,-3158.736,69
6,179,keptBest,4,2,-6317.471,-3158.735,1
5,171,Random,4,2,-6317.471,-3158.735,1
5,154,Permutate,2,1,-3158.734,-3158.734,123
4,120,Heredity,2,1,-3158.734,-3158.734,12
1,28,Random,4,2,-6317.461,-3158.731,59
4,134,Random,4,2,-6317.461,-3158.731,12
4,129,RandTop,4,2,-6317.449,-3158.724,25
2,35,keptBest,4,2,-6317.438,-3158.719,12
1,27,Random,4,2,-6317.438,-3158.719,12
4,119,Heredity,2,1,-3158.718,-3158.718,12
6,202,LatMutate,2,1,-3158.714,-3158.714,2
2,61,LatMutate,2,1,-3158.713,-3158.713,1
6,210,Random,4,2,-6317.418,-3158.709,12
1,19,RandTop,2,1,-3158.703,-3158.703,12
1,31,Random,4,2,-6317.405,-3158.702,2
1,4,Random,2,1,-3158.698,-3158.698,1
2,54,RandTop,2,1,-3158.682,-3158.682,2
6,208,RandTop,4,2,-6317.326,-3158.663,11
1,5,Random,2,1,-3158.66,-3158.66,6
1,21,Random,4,2,-6317.313,-3158.656,63
1,23,RandTop,4,2,-6317.308,-3158.654,36
5,173,Random,4,2,-6317.308,-3158.654,2
4,127,Random,4,2,-6317.248,-3158.624,63
1,13,RandTop,2,1,-3158.591,-3158.591,65
6,186,Random,2,1,-3158.586,-3158.586,2
4,126,Random,4,2,-6317.15,-3158.575,63
3,101,RandTop,4,2,-6317.121,-3158.56,11
1,2,Random,2,1,-3158.558,-3158.558,123
6,185,Random,2,1,-3158.552,-3158.552,123
5,152,RandTop,2,1,-3158.551,-3158.551,123
4,110,Heredity,2,1,-3158.549,-3158.549,123
3,74,RandTop,4,2,-6317.089,-3158.545,123
1,15,Random,4,2,-6317.085,-3158.543,140
1,26,Random,4,2,-6317.085,-3158.542,140
5,161,Heredity,2,1,-3158.539,-3158.539,2
4,135,RandTop,4,2,-6317.074,-3158.537,123
6,183,Heredity,2,1,-3158.53,-3158.53,123
5,144,Heredity,2,1,-3158.528,-3158.528,123
4,108,Heredity,2,1,-3158.526,-3158.526,123
3,79,Heredity,2,1,-3158.525,-3158.525,123
5,146,Heredity,2,1,-3158.525,-3158.525,123
2,40,Heredity,2,1,-3158.523,-3158.523,123
2,39,Heredity,2,1,-3158.523,-3158.523,123
1,16,RandTop,4,2,-6317.045,-3158.522,123
5,168,Random,4,2,-6317.041,-3158.521,140
3,77,Heredity,2,1,-3158.519,-3158.519,2
4,121,keptBest,2,1,-3158.519,-3158.519,2
5,164,keptBest,2,1,-3158.519,-3158.519,2
4,107,Heredity,2,1,-3158.517,-3158.517,123
2,41,Heredity,2,1,-3158.517,-3158.517,6
1,8,Random,4,2,-6317.025,-3158.512,12
2,37,Heredity,2,1,-3158.505,-3158.505,123
5,142,Heredity,2,1,-3158.501,-3158.501,123
6,189,RandTop,2,1,-3158.497,-3158.497,123
3,84,Random,2,1,-3158.496,-3158.496,123
6,188,RandTop,2,1,-3158.492,-3158.492,123
4,105,RandTop,4,2,-6316.975,-3158.487,123
1,30,RandTop,4,2,-6316.973,-3158.487,12
3,85,RandTop,2,1,-3158.484,-3158.484,123
5,150,Random,2,1,-3158.475,-3158.475,123
4,113,LatMutate,2,1,-3158.474,-3158.474,2
3,78,Heredity,2,1,-3158.471,-3158.471,123
2,38,Heredity,2,1,-3158.471,-3158.471,123
4,138,RandTop,4,2,-6316.933,-3158.466,123
4,122,Heredity,2,1,-3158.456,-3158.456,10
2,42,Random,2,1,-3158.447,-3158.447,123
5,145,Heredity,2,1,-3158.44,-3158.44,123
6,184,Random,2,1,-3158.438,-3158.438,10
5,149,Random,2,1,-3158.423,-3158.423,47
6,207,Random,4,2,-6316.825,-3158.413,47
6,212,LatMutate,2,1,-3158.412,-3158.412,12
2,56,Heredity,2,1,-3158.405,-3158.405,10
6,211,Random,4,2,-6316.805,-3158.402,63
4,139,Random,4,2,-6316.76,-3158.38,12
6,203,Heredity,2,1,-3158.367,-3158.367,10
4,123,Random,2,1,-3158.338,-3158.338,12
3,94,LatMutate,2,1,-3158.338,-3158.338,2
6,195,Permutate,4,2,-6316.666,-3158.333,12
3,95,LatMutate,2,1,-3158.297,-3158.297,123
1,7,RandTop,2,1,-3158.278,-3158.278,12
5,151,Random,2,1,-3158.243,-3158.243,123
1,11,Random,2,1,-3158.235,-3158.235,12
2,50,Random,4,2,-6316.408,-3158.204,225
2,58,RandTop,2,1,-3158.154,-3158.154,12
3,81,Random,2,1,-3158.13,-3158.13,12
6,206,Random,4,2,-6316.218,-3158.109,2
2,60,RandTop,2,1,-3158.08,-3158.08,65
6,192,Heredity,4,2,-6316.14,-3158.07,12
