Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
8,189,keptBest,2,1,-4087.165,-4087.165,191
8,190,keptBest,2,1,-4087.019,-4087.019,139
7,147,Heredity,2,1,-4086.977,-4086.977,12
3,67,Permutate,2,1,-4086.964,-4086.964,12
3,60,Heredity,2,1,-4086.96,-4086.96,12
8,175,Random,2,1,-4086.958,-4086.958,12
3,71,LatMutate,2,1,-4086.956,-4086.956,12
3,58,Heredity,2,1,-4086.951,-4086.951,139
8,185,softmutate,2,1,-4086.95,-4086.95,12
8,187,softmutate,2,1,-4086.948,-4086.948,12
5,117,softmutate,2,1,-4086.948,-4086.948,12
8,184,LatMutate,2,1,-4086.941,-4086.941,2
5,122,keptBest,2,1,-4086.929,-4086.929,2
4,93,LatMutate,2,1,-4086.929,-4086.929,2
2,35,Heredity,2,1,-4086.924,-4086.924,12
2,53,keptBest,2,1,-4086.919,-4086.919,2
1,14,Random,2,1,-4086.919,-4086.919,2
6,129,Heredity,2,1,-4086.916,-4086.916,1
7,157,Permutate,2,1,-4086.913,-4086.913,69
7,158,Permutate,2,1,-4086.912,-4086.912,69
4,87,Random,2,1,-4086.91,-4086.91,12
2,45,Permutate,2,1,-4086.909,-4086.909,69
8,172,Heredity,2,1,-4086.905,-4086.905,12
7,152,Random,2,1,-4086.893,-4086.893,12
7,163,softmutate,2,1,-4086.891,-4086.891,2
2,47,LatMutate,2,1,-4086.883,-4086.883,12
3,72,softmutate,2,1,-4086.877,-4086.877,12
2,36,Heredity,2,1,-4086.877,-4086.877,1
4,99,keptBest,2,1,-4086.874,-4086.874,12
3,73,softmutate,2,1,-4086.874,-4086.874,12
2,48,LatMutate,2,1,-4086.871,-4086.871,12
7,164,softmutate,2,1,-4086.871,-4086.871,12
2,49,softmutate,2,1,-4086.87,-4086.87,12
2,33,Heredity,2,1,-4086.869,-4086.869,12
7,161,softmutate,2,1,-4086.867,-4086.867,12
5,110,RandTop,2,1,-4086.862,-4086.862,12
5,115,LatMutate,2,1,-4086.861,-4086.861,12
8,186,softmutate,2,1,-4086.859,-4086.859,12
