Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
12,282,keptBest,2,1,-2758.37,-2758.37,12
13,291,Random,2,1,-2758.243,-2758.243,69
2,50,softmutate,2,1,-2758.168,-2758.168,191
8,183,LatMutate,2,1,-2758.167,-2758.167,1
13,285,Heredity,2,1,-2758.167,-2758.167,12
4,95,softmutate,2,1,-2758.166,-2758.166,69
5,115,LatMutate,2,1,-2758.165,-2758.165,139
4,96,softmutate,2,1,-2758.165,-2758.165,12
10,217,Heredity,2,1,-2758.164,-2758.164,191
11,257,softmutate,2,1,-2758.161,-2758.161,139
6,123,Heredity,2,1,-2758.16,-2758.16,139
1,4,Random,2,1,-2758.159,-2758.159,139
13,287,Heredity,2,1,-2758.158,-2758.158,139
13,286,Heredity,2,1,-2758.155,-2758.155,139
7,153,Random,2,1,-2758.155,-2758.155,139
11,251,LatMutate,2,1,-2758.154,-2758.154,139
1,5,Random,2,1,-2758.153,-2758.153,191
5,114,LatMutate,2,1,-2758.153,-2758.153,12
9,205,LatMutate,2,1,-2758.152,-2758.152,12
1,1,Random,2,1,-2758.152,-2758.152,139
4,90,LatMutate,2,1,-2758.15,-2758.15,71
2,49,softmutate,2,1,-2758.14,-2758.14,12
8,191,keptBest,2,1,-2758.14,-2758.14,12
4,99,keptBest,2,1,-2758.14,-2758.14,12
7,168,keptBest,2,1,-2758.14,-2758.14,12
3,76,keptBest,2,1,-2758.14,-2758.14,12
9,211,softmutate,2,1,-2758.14,-2758.14,12
6,145,keptBest,2,1,-2758.14,-2758.14,12
5,122,keptBest,2,1,-2758.14,-2758.14,12
1,17,Random,2,1,-2758.137,-2758.137,12
9,207,softmutate,2,1,-2758.137,-2758.137,2
12,280,softmutate,2,1,-2758.132,-2758.132,1
11,244,Random,2,1,-2758.125,-2758.125,12
13,288,Heredity,2,1,-2758.121,-2758.121,65
5,102,Heredity,2,1,-2758.12,-2758.12,12
1,7,Random,2,1,-2758.118,-2758.118,12
7,163,LatMutate,2,1,-2758.116,-2758.116,12
3,69,LatMutate,2,1,-2758.116,-2758.116,12
3,72,softmutate,2,1,-2758.116,-2758.116,69
11,239,Heredity,2,1,-2758.115,-2758.115,12
7,156,Random,2,1,-2758.107,-2758.107,139
10,229,LatMutate,2,1,-2758.101,-2758.101,12
7,154,Random,2,1,-2758.101,-2758.101,12
2,32,Heredity,2,1,-2758.083,-2758.083,12
9,200,Random,2,1,-2758.077,-2758.077,12
4,92,softmutate,2,1,-2758.075,-2758.075,12
