Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
7,216,keptBest,4,2,-5199.831,-2599.916,191
6,180,keptBest,4,2,-5199.823,-2599.911,63
7,245,Random,4,2,-5199.515,-2599.758,15
4,116,Random,2,1,-2599.712,-2599.712,191
6,191,Random,2,1,-2599.71,-2599.71,191
2,62,Random,4,2,-5199.399,-2599.7,63
8,254,keptBest,4,2,-5199.361,-2599.68,15
6,181,keptBest,4,2,-5199.361,-2599.68,15
7,218,keptBest,4,2,-5199.361,-2599.68,15
5,173,Random,4,2,-5199.361,-2599.68,15
5,148,Heredity,2,1,-2599.669,-2599.669,191
6,189,Heredity,2,1,-2599.66,-2599.66,65
5,147,Heredity,2,1,-2599.658,-2599.658,191
3,73,Heredity,2,1,-2599.657,-2599.657,65
2,40,Heredity,2,1,-2599.645,-2599.645,191
1,3,Random,2,1,-2599.642,-2599.642,12
4,115,Heredity,2,1,-2599.642,-2599.642,65
2,51,keptBest,2,1,-2599.642,-2599.642,12
3,87,RandTop,4,2,-5199.226,-2599.613,63
8,274,Random,4,2,-5199.219,-2599.609,10
4,108,keptBest,4,2,-5199.212,-2599.606,10
5,144,keptBest,4,2,-5199.212,-2599.606,10
3,86,Random,4,2,-5199.212,-2599.606,10
7,219,keptBest,4,2,-5199.212,-2599.606,10
8,255,keptBest,4,2,-5199.212,-2599.606,10
6,182,keptBest,4,2,-5199.212,-2599.606,10
6,197,RandTop,4,2,-5199.204,-2599.602,63
4,136,Random,4,2,-5199.19,-2599.595,10
1,19,Random,4,2,-5199.167,-2599.583,12
2,34,keptBest,4,2,-5199.167,-2599.583,12
3,71,keptBest,4,2,-5199.167,-2599.583,12
3,92,LatMutate,2,1,-2599.571,-2599.571,65
3,100,Random,4,2,-5199.137,-2599.569,2
1,12,Random,2,1,-2599.557,-2599.557,12
7,247,Random,4,2,-5199.101,-2599.55,191
8,256,keptBest,4,2,-5199.076,-2599.538,164
7,244,Random,4,2,-5199.076,-2599.538,164
1,25,Random,4,2,-5199.061,-2599.531,65
2,35,keptBest,4,2,-5199.061,-2599.531,65
7,246,Permutate,4,2,-5199.054,-2599.527,11
4,141,RandTop,4,2,-5199.046,-2599.523,47
1,29,RandTop,4,2,-5199.032,-2599.516,11
6,186,Heredity,2,1,-2599.515,-2599.515,65
7,250,RandTop,4,2,-5199.028,-2599.514,10
1,23,Random,2,1,-2599.512,-2599.512,65
1,21,RandTop,4,2,-5199.018,-2599.509,164
1,1,Random,4,2,-5198.991,-2599.495,191
8,267,Random,4,2,-5198.963,-2599.481,191
6,212,LatMutate,2,1,-2599.476,-2599.476,65
3,89,Permutate,4,2,-5198.951,-2599.475,65
2,37,Heredity,4,2,-5198.947,-2599.473,15
8,285,Random,4,2,-5198.943,-2599.472,12
7,235,Random,4,2,-5198.928,-2599.464,191
5,146,Heredity,2,1,-2599.463,-2599.463,65
8,275,Permutate,4,2,-5198.904,-2599.452,65
2,54,Permutate,4,2,-5198.894,-2599.447,12
8,268,Permutate,4,2,-5198.858,-2599.429,12
2,55,Permutate,4,2,-5198.852,-2599.426,12
5,156,Random,4,2,-5198.845,-2599.423,2
6,187,Heredity,2,1,-2599.416,-2599.416,65
5,174,Random,4,2,-5198.825,-2599.413,65
6,183,keptBest,4,2,-5198.825,-2599.413,65
7,230,Heredity,4,2,-5198.821,-2599.411,63
8,276,Random,2,1,-2599.405,-2599.405,10
3,95,Heredity,2,1,-2599.403,-2599.403,65
1,30,Random,4,2,-5198.762,-2599.381,10
2,42,Random,2,1,-2599.381,-2599.381,12
6,210,LatMutate,2,1,-2599.371,-2599.371,12
7,221,keptBest,2,1,-2599.371,-2599.371,12
5,172,LatMutate,2,1,-2599.37,-2599.37,12
1,31,RandTop,4,2,-5198.734,-2599.367,10
1,28,RandTop,4,2,-5198.732,-2599.366,6
5,160,keptBest,2,1,-2599.357,-2599.357,65
2,60,RandTop,2,1,-2599.357,-2599.357,65
3,93,keptBest,2,1,-2599.357,-2599.357,65
4,110,keptBest,2,1,-2599.357,-2599.357,65
8,261,Heredity,4,2,-5198.712,-2599.356,2
5,162,RandTop,2,1,-2599.35,-2599.35,1
1,18,Random,4,2,-5198.689,-2599.345,38
2,41,Heredity,2,1,-2599.343,-2599.343,1
7,220,Heredity,4,2,-5198.679,-2599.34,15
6,214,Random,4,2,-5198.678,-2599.339,11
4,124,Heredity,4,2,-5198.675,-2599.338,2
6,213,RandTop,2,1,-2599.337,-2599.337,1
1,8,Random,4,2,-5198.667,-2599.333,38
7,226,RandTop,2,1,-2599.33,-2599.33,123
7,227,RandTop,2,1,-2599.329,-2599.329,123
5,151,RandTop,2,1,-2599.327,-2599.327,123
4,133,Heredity,4,2,-5198.647,-2599.324,2
6,202,softmutate,4,2,-5198.617,-2599.308,2
2,44,Random,2,1,-2599.302,-2599.302,65
8,263,Heredity,4,2,-5198.566,-2599.283,2
2,39,Heredity,4,2,-5198.551,-2599.275,2
4,118,Random,2,1,-2599.273,-2599.273,12
8,279,RandTop,2,1,-2599.27,-2599.27,65
5,166,Random,4,2,-5198.535,-2599.267,6
3,104,Random,4,2,-5198.509,-2599.255,1
8,270,softmutate,4,2,-5198.492,-2599.246,2
1,16,RandTop,2,1,-2599.226,-2599.226,12
6,194,Heredity,4,2,-5198.45,-2599.225,11
