Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
8,183,keptBest,4,2,-2558.708,-1279.354,12
10,223,RandTop,4,2,-2557.966,-1278.983,58
2,47,keptBest,4,2,-2557.961,-1278.981,58
3,70,keptBest,4,2,-2557.961,-1278.981,58
5,118,keptBest,4,2,-2557.961,-1278.981,58
6,143,keptBest,4,2,-2557.961,-1278.981,58
7,161,keptBest,4,2,-2557.961,-1278.981,58
8,184,keptBest,4,2,-2557.961,-1278.981,58
9,208,keptBest,4,2,-2557.961,-1278.981,58
10,232,keptBest,4,2,-2557.961,-1278.981,58
4,90,keptBest,4,2,-2557.961,-1278.981,58
1,7,Random,4,2,-2557.961,-1278.981,58
1,2,Random,4,2,-2557.952,-1278.976,58
1,11,Random,4,2,-2557.952,-1278.976,58
1,6,Random,4,2,-2557.951,-1278.975,58
9,197,Random,4,2,-2557.95,-1278.975,58
5,112,Permutate,4,2,-2557.945,-1278.973,58
10,225,Permutate,4,2,-2557.947,-1278.973,58
3,63,Permutate,4,2,-2557.942,-1278.971,58
4,84,Random,4,2,-2557.939,-1278.97,1
5,119,keptBest,4,2,-2557.939,-1278.97,1
5,109,RandTop,4,2,-2557.938,-1278.969,58
1,14,RandTop,4,2,-2557.933,-1278.967,58
2,42,RandTop,4,2,-2557.929,-1278.964,58
1,8,Random,4,2,-2557.929,-1278.964,58
9,194,Heredity,4,2,-2557.831,-1278.916,58
4,82,Heredity,4,2,-2557.826,-1278.913,58
10,216,Heredity,4,2,-2557.827,-1278.913,58
4,79,Heredity,4,2,-2557.824,-1278.912,58
8,170,Heredity,4,2,-2557.825,-1278.912,58
2,35,Heredity,4,2,-2557.816,-1278.908,58
6,129,Heredity,4,2,-2557.817,-1278.908,58
10,214,Heredity,4,2,-2557.811,-1278.906,58
9,196,Heredity,4,2,-2557.81,-1278.905,58
10,217,Heredity,4,2,-2557.809,-1278.904,58
8,175,RandTop,4,2,-2557.808,-1278.904,58
6,124,Heredity,4,2,-2557.805,-1278.903,58
10,215,Heredity,4,2,-2557.805,-1278.903,58
7,148,Heredity,4,2,-2557.802,-1278.901,58
10,218,Heredity,4,2,-2557.797,-1278.899,58
5,120,keptBest,4,2,-2557.788,-1278.894,118
6,144,keptBest,4,2,-2557.788,-1278.894,118
8,185,keptBest,4,2,-2557.788,-1278.894,118
2,40,Random,4,2,-2557.788,-1278.894,118
3,71,keptBest,4,2,-2557.788,-1278.894,118
10,233,keptBest,4,2,-2557.788,-1278.894,118
7,162,keptBest,4,2,-2557.788,-1278.894,118
4,91,keptBest,4,2,-2557.788,-1278.894,118
9,209,keptBest,4,2,-2557.788,-1278.894,118
5,101,Heredity,4,2,-2557.774,-1278.887,58
4,88,LatMutate,4,2,-2557.748,-1278.874,58
9,200,LatMutate,4,2,-2557.686,-1278.843,58
3,68,softmutate,4,2,-2557.675,-1278.838,14
8,174,Random,4,2,-2557.607,-1278.803,14
10,226,LatMutate,4,2,-2557.595,-1278.798,14
2,39,Random,4,2,-2557.593,-1278.796,1
3,72,keptBest,4,2,-2557.593,-1278.796,1
4,92,keptBest,4,2,-2557.593,-1278.796,1
1,16,RandTop,4,2,-2557.569,-1278.785,166
4,97,Permutate,2,1,-1278.784,-1278.784,166
4,95,Random,2,1,-1278.783,-1278.783,166
3,58,Heredity,4,2,-2557.565,-1278.783,14
8,187,Random,2,1,-1278.783,-1278.783,166
1,9,Random,4,2,-2557.556,-1278.778,194
1,10,Random,4,2,-2557.551,-1278.775,166
1,21,Random,2,1,-1278.774,-1278.774,166
1,26,RandTop,2,1,-1278.774,-1278.774,166
3,75,RandTop,2,1,-1278.771,-1278.771,166
5,106,Random,4,2,-2557.539,-1278.77,166
5,121,Random,2,1,-1278.769,-1278.769,166
2,51,Permutate,2,1,-1278.768,-1278.768,166
1,15,RandTop,4,2,-2557.535,-1278.768,166
1,3,Random,4,2,-2557.534,-1278.767,166
1,13,Random,4,2,-2557.529,-1278.765,166
2,50,Heredity,2,1,-1278.764,-1278.764,166
2,43,RandTop,4,2,-2557.521,-1278.761,166
4,99,softmutate,2,1,-1278.759,-1278.759,166
4,96,Random,2,1,-1278.758,-1278.758,166
4,87,Permutate,4,2,-2557.515,-1278.757,1
7,164,Heredity,2,1,-1278.752,-1278.752,166
10,235,Random,2,1,-1278.75,-1278.75,12
8,189,LatMutate,2,1,-1278.748,-1278.748,166
1,19,Random,2,1,-1278.745,-1278.745,166
1,30,RandTop,2,1,-1278.744,-1278.744,166
1,25,RandTop,2,1,-1278.744,-1278.744,166
8,186,Random,2,1,-1278.742,-1278.742,166
1,20,Random,2,1,-1278.739,-1278.739,166
5,123,LatMutate,2,1,-1278.736,-1278.736,166
6,145,Random,2,1,-1278.736,-1278.736,166
5,122,RandTop,2,1,-1278.734,-1278.734,166
9,192,Heredity,4,2,-2557.438,-1278.719,58
2,53,LatMutate,2,1,-1278.706,-1278.706,12
9,193,Heredity,4,2,-2557.4,-1278.7,166
2,34,Heredity,4,2,-2557.379,-1278.69,166
8,180,softmutate,4,2,-2557.37,-1278.685,1
7,150,Heredity,4,2,-2557.364,-1278.682,166
10,230,softmutate,4,2,-2557.363,-1278.681,12
5,102,Heredity,4,2,-2557.359,-1278.679,166
3,76,LatMutate,2,1,-1278.673,-1278.673,12
10,221,Heredity,4,2,-2557.342,-1278.671,166
4,80,Heredity,4,2,-2557.327,-1278.663,1
8,182,softmutate,4,2,-2557.316,-1278.658,12
4,83,Heredity,4,2,-2557.313,-1278.657,12
7,159,softmutate,4,2,-2557.298,-1278.649,166
2,33,Heredity,4,2,-2557.287,-1278.644,12
6,132,Random,4,2,-2557.285,-1278.643,5
6,135,RandTop,4,2,-2557.287,-1278.643,5
2,48,keptBest,4,2,-2557.282,-1278.641,5
1,4,Random,4,2,-2557.282,-1278.641,5
10,222,Random,4,2,-2557.281,-1278.641,10
1,27,RandTop,2,1,-1278.64,-1278.64,12
3,57,Heredity,4,2,-2557.279,-1278.639,166
3,64,Permutate,4,2,-2557.271,-1278.635,1
5,110,RandTop,4,2,-2557.265,-1278.633,58
8,177,Permutate,4,2,-2557.262,-1278.631,1
7,152,Random,4,2,-2557.257,-1278.629,5
7,146,Heredity,4,2,-2557.243,-1278.621,14
7,149,Heredity,4,2,-2557.24,-1278.62,12
5,103,Heredity,4,2,-2557.231,-1278.616,12
2,37,Heredity,4,2,-2557.227,-1278.613,12
10,220,Heredity,4,2,-2557.225,-1278.612,12
3,73,Heredity,2,1,-1278.61,-1278.61,5
3,59,Heredity,4,2,-2557.219,-1278.609,12
1,22,Random,2,1,-1278.609,-1278.609,5
7,163,Heredity,2,1,-1278.604,-1278.604,12
6,126,Heredity,4,2,-2557.194,-1278.597,12
10,234,Random,2,1,-1278.595,-1278.595,5
6,138,LatMutate,4,2,-2557.18,-1278.59,12
9,206,softmutate,4,2,-2557.157,-1278.578,12
6,127,Heredity,4,2,-2557.148,-1278.574,194
1,18,RandTop,4,2,-2557.112,-1278.556,2
2,45,softmutate,4,2,-2557.111,-1278.555,12
4,86,RandTop,4,2,-2557.086,-1278.543,5
8,190,LatMutate,2,1,-1278.535,-1278.535,5
3,61,Random,4,2,-2557.069,-1278.534,1
1,28,RandTop,2,1,-1278.524,-1278.524,1
3,54,Heredity,4,2,-2557.042,-1278.521,1
3,62,RandTop,4,2,-2557.028,-1278.514,58
9,213,RandTop,2,1,-1278.508,-1278.508,12
5,104,Heredity,4,2,-2557.003,-1278.501,5
4,81,Heredity,4,2,-2556.972,-1278.486,12
10,228,softmutate,4,2,-2556.97,-1278.485,12
5,107,Random,4,2,-2556.969,-1278.484,1
9,202,softmutate,4,2,-2556.945,-1278.473,1
