Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,145,keptBest,4,2,-2679.104,-1339.552,12
5,146,keptBest,4,2,-2678.988,-1339.494,51
5,162,Heredity,4,2,-2678.856,-1339.428,2
5,147,keptBest,4,2,-2678.82,-1339.41,15
5,161,Heredity,4,2,-2678.701,-1339.35,31
5,153,Permutate,4,2,-2678.7,-1339.35,12
3,76,Permutate,4,2,-2678.698,-1339.349,12
4,123,Heredity,4,2,-2678.696,-1339.348,31
4,118,RandTop,2,1,-1339.347,-1339.347,44
5,163,Heredity,4,2,-2678.693,-1339.346,2
5,151,RandTop,2,1,-1339.346,-1339.346,44
4,124,Heredity,4,2,-2678.683,-1339.341,2
3,91,softmutate,4,2,-2678.667,-1339.334,2
3,89,Heredity,4,2,-2678.65,-1339.325,2
3,93,Heredity,4,2,-2678.582,-1339.291,2
3,98,softmutate,4,2,-2678.571,-1339.285,2
4,111,keptBest,4,2,-2678.564,-1339.282,2
3,74,keptBest,4,2,-2678.564,-1339.282,2
2,50,Random,4,2,-2678.564,-1339.282,2
2,69,Random,4,2,-2678.555,-1339.278,2
5,165,Permutate,4,2,-2678.506,-1339.253,8
2,46,Permutate,4,2,-2678.479,-1339.24,2
1,12,RandTop,4,2,-2678.472,-1339.236,59
4,139,softmutate,4,2,-2678.469,-1339.235,2
4,127,Permutate,4,2,-2678.464,-1339.232,1
2,59,softmutate,4,2,-2678.464,-1339.232,2
4,122,Heredity,4,2,-2678.434,-1339.217,8
1,23,RandTop,4,2,-2678.426,-1339.213,44
2,37,keptBest,4,2,-2678.426,-1339.213,44
1,25,Random,4,2,-2678.42,-1339.21,7
5,169,RandTop,2,1,-1339.208,-1339.208,5
1,4,Random,2,1,-1339.208,-1339.208,5
5,155,softmutate,4,2,-2678.411,-1339.206,2
1,3,Random,2,1,-1339.206,-1339.206,5
2,41,Random,2,1,-1339.204,-1339.204,5
5,152,Heredity,4,2,-2678.407,-1339.203,2
5,154,softmutate,4,2,-2678.403,-1339.201,2
4,120,RandTop,2,1,-1339.201,-1339.201,8
1,29,RandTop,4,2,-2678.394,-1339.197,63
3,79,RandTop,2,1,-1339.197,-1339.197,8
3,95,Heredity,4,2,-2678.388,-1339.194,5
3,99,softmutate,4,2,-2678.384,-1339.192,2
2,64,RandTop,4,2,-2678.377,-1339.189,1
1,9,RandTop,2,1,-1339.176,-1339.176,38
5,160,Heredity,4,2,-2678.348,-1339.174,2
3,88,Heredity,4,2,-2678.341,-1339.171,1
3,104,softmutate,4,2,-2678.339,-1339.169,2
3,90,LatMutate,4,2,-2678.337,-1339.168,2
1,7,Random,2,1,-1339.164,-1339.164,1
1,24,RandTop,4,2,-2678.32,-1339.16,5
4,136,Heredity,4,2,-2678.317,-1339.159,2
4,142,Heredity,4,2,-2678.319,-1339.159,2
1,18,RandTop,4,2,-2678.318,-1339.159,7
1,15,Random,4,2,-2678.301,-1339.151,5
