Generation,ID,GenMode,A,B,enthalpy,fitness,spacegroup
5,123,keptBest,2,1,-1093.551,-1093.551,123
2,36,Random,4,2,-2186.946,-1093.473,127
5,112,keptBest,4,2,-2186.857,-1093.429,2
5,116,Random,2,1,-1093.395,-1093.395,166
1,5,Random,4,2,-2186.652,-1093.326,38
2,39,Permutate,4,2,-2186.625,-1093.313,71
4,81,Random,4,2,-2186.622,-1093.311,71
1,12,RandTop,4,2,-2186.623,-1093.311,71
2,37,Random,4,2,-2186.623,-1093.311,71
1,6,Random,4,2,-2186.614,-1093.307,71
1,16,Random,2,1,-1093.307,-1093.307,38
2,46,Heredity,2,1,-1093.305,-1093.305,38
1,25,RandTop,2,1,-1093.305,-1093.305,38
2,45,Heredity,2,1,-1093.304,-1093.304,38
1,21,Random,2,1,-1093.298,-1093.298,12
5,119,Permutate,2,1,-1093.296,-1093.296,12
5,120,Permutate,2,1,-1093.296,-1093.296,12
2,47,Heredity,2,1,-1093.294,-1093.294,2
5,106,Random,4,2,-2186.576,-1093.288,12
1,1,Random,4,2,-2186.576,-1093.288,15
3,74,RandTop,2,1,-1093.286,-1093.286,2
1,4,Random,4,2,-2186.57,-1093.285,15
4,97,LatMutate,2,1,-1093.281,-1093.281,12
1,19,Random,2,1,-1093.277,-1093.277,2
3,61,Random,4,2,-2186.551,-1093.275,15
1,20,Random,2,1,-1093.271,-1093.271,38
1,18,Random,2,1,-1093.27,-1093.27,38
3,72,Random,2,1,-1093.267,-1093.267,38
1,30,RandTop,2,1,-1093.266,-1093.266,38
3,73,Random,2,1,-1093.266,-1093.266,38
2,51,LatMutate,2,1,-1093.265,-1093.265,38
1,24,RandTop,2,1,-1093.264,-1093.264,71
5,114,Heredity,2,1,-1093.264,-1093.264,38
4,94,Heredity,2,1,-1093.264,-1093.264,38
4,95,RandTop,2,1,-1093.263,-1093.263,38
1,28,RandTop,2,1,-1093.262,-1093.262,71
2,48,RandTop,2,1,-1093.261,-1093.261,38
4,98,LatMutate,2,1,-1093.26,-1093.26,38
5,121,LatMutate,2,1,-1093.259,-1093.259,38
1,10,RandTop,4,2,-2186.503,-1093.252,10
1,2,Random,4,2,-2186.493,-1093.246,140
1,7,Random,4,2,-2186.483,-1093.242,12
4,76,Heredity,4,2,-2186.45,-1093.225,2
3,54,Heredity,4,2,-2186.426,-1093.213,2
1,9,RandTop,4,2,-2186.427,-1093.213,63
1,29,RandTop,2,1,-1093.2,-1093.2,12
4,82,Random,4,2,-2186.391,-1093.195,8
1,13,RandTop,4,2,-2186.386,-1093.193,2
3,58,Heredity,4,2,-2186.352,-1093.176,2
3,62,RandTop,4,2,-2186.351,-1093.176,47
2,32,Heredity,4,2,-2186.345,-1093.173,2
3,66,LatMutate,4,2,-2186.306,-1093.153,12
4,80,Random,4,2,-2186.305,-1093.153,12
3,56,Heredity,4,2,-2186.296,-1093.148,2
1,3,Random,4,2,-2186.27,-1093.135,12
5,107,Random,4,2,-2186.182,-1093.091,12
3,59,Heredity,4,2,-2186.18,-1093.09,15
4,87,softmutate,4,2,-2186.12,-1093.06,2
3,53,Heredity,4,2,-2186.108,-1093.054,15
3,60,Random,4,2,-2186.101,-1093.05,1
4,88,softmutate,4,2,-2186.099,-1093.05,2
5,101,Heredity,4,2,-2186.084,-1093.042,2
5,110,softmutate,4,2,-2186.07,-1093.035,1
4,83,RandTop,4,2,-2185.982,-1092.991,8
2,33,Heredity,4,2,-2185.976,-1092.988,2
3,65,LatMutate,4,2,-2185.934,-1092.967,1
3,67,softmutate,4,2,-2185.931,-1092.966,1
2,40,LatMutate,4,2,-2185.924,-1092.962,2
5,105,Random,4,2,-2185.836,-1092.918,2
4,96,Permutate,2,1,-1092.891,-1092.891,12
3,57,Heredity,4,2,-2185.776,-1092.888,1
2,38,RandTop,4,2,-2185.751,-1092.876,12
3,68,softmutate,4,2,-2185.444,-1092.722,1
4,79,Heredity,4,2,-2185.315,-1092.658,1
5,109,softmutate,4,2,-2185.268,-1092.634,8
2,41,softmutate,4,2,-2185.159,-1092.579,1
3,69,softmutate,4,2,-2184.092,-1092.046,12
4,86,softmutate,4,2,-2184.033,-1092.017,2
1,17,Random,2,1,-1091.954,-1091.954,123
2,49,RandTop,2,1,-1091.954,-1091.954,123
5,111,softmutate,4,2,-2182.377,-1091.188,127
